k	rep	MSE
1	1	0.8851172579686453
2	1	0.8654486844891534
3	1	0.8352041942932261
4	1	0.8323642328188235
5	1	0.8237814599425626
6	1	0.826869058827309
7	1	0.8240995397237714
8	1	0.8054236989299347
9	1	0.8037147557274916
10	1	0.8157000778706733
11	1	0.7916857163454649
12	1	0.814975809623761
13	1	0.790738194047655
14	1	0.8027891245632373
15	1	0.8133039987715837
16	1	0.812543247372555
17	1	0.8394029125878036
18	1	0.8051152933428691
19	1	0.8129983801632732
20	1	0.829499580371969
1	2	0.8845036490921931
2	2	0.8643854133157503
3	2	0.8350241832679822
4	2	0.8375921777172954
5	2	0.8254586427719798
6	2	0.8184615907870278
7	2	0.8220065706009587
8	2	0.8130165610466258
9	2	0.819526176577664
10	2	0.8175609107574461
11	2	0.817901713341538
12	2	0.817970865732313
13	2	0.8056260320811839
14	2	0.8098286376658006
15	2	0.8135376149312884
16	2	0.8153919068406789
17	2	0.812043140287347
18	2	0.8247621828892036
19	2	0.8172781776618316
20	2	0.8245160531330249
1	3	0.8998637365281197
2	3	0.8827704390560148
3	3	0.846947106409777
4	3	0.8396458223621227
5	3	0.8367671376613638
6	3	0.8313393658765684
7	3	0.8337116962423492
8	3	0.820269106678673
9	3	0.8277647144074192
10	3	0.8268452615983797
11	3	0.8342502508302138
12	3	0.8312735717325144
13	3	0.8153218626824441
14	3	0.8146893053636403
15	3	0.8158284133418041
16	3	0.8318609306104865
17	3	0.8286276570484257
18	3	0.8489671303376877
19	3	0.8239911554327016
20	3	0.8295328432260043
