k	rep	MSE
1	1	2021.7338481587137
2	1	1665.7045118589535
3	1	1533.0017273325332
4	1	1472.2837507955498
5	1	1441.8897532541237
6	1	1388.895980532764
7	1	1375.9231891979941
8	1	1338.3808185007777
9	1	1322.5020626831142
10	1	1304.2140293092127
11	1	1325.0351407107046
12	1	1325.898991743767
13	1	1306.716759071269
14	1	1288.0749817720496
15	1	1276.3264462956631
16	1	1290.4921767664946
17	1	1278.7388052523654
18	1	1264.4609124700185
19	1	1261.8616781369283
20	1	1274.193097922333
21	1	1275.1158276245478
22	1	1263.9788716748328
23	1	1281.0516746580106
24	1	1295.0715855902429
25	1	1279.6639638489248
26	1	1259.808263835791
27	1	1247.2810491676469
28	1	1275.8300299264608
29	1	1268.3770540444054
30	1	1286.770125279307
31	1	1301.9930269927527
32	1	1307.5979472326578
33	1	1315.4354614734677
34	1	1322.4512349781296
35	1	1291.4391930688168
36	1	1312.3549030151707
37	1	1301.9780931870432
38	1	1318.652419822157
39	1	1330.9061979965986
40	1	1351.079703381247
41	1	1344.9532509115727
42	1	1348.0374329036197
43	1	1328.2643423383624
44	1	1337.8349514658112
45	1	1337.3023409221864
46	1	1364.737373215218
47	1	1386.6677070789785
48	1	1386.202678111414
49	1	1359.9301912028434
50	1	1351.5628466195772
1	2	2033.8483282907682
2	2	1657.243510832727
3	2	1544.5270083879109
4	2	1494.833323805457
5	2	1418.40019674479
6	2	1403.8194914784524
7	2	1380.2273487163648
8	2	1337.9206987752013
9	2	1352.3572212872161
10	2	1344.2582425244402
11	2	1316.2019099992685
12	2	1305.0169291391385
13	2	1283.9963768123564
14	2	1280.600077052793
15	2	1279.7542293896531
16	2	1272.341104879791
17	2	1242.9452365825196
18	2	1266.0072089240161
19	2	1279.6410411336806
20	2	1286.034696823
21	2	1283.902115740317
22	2	1247.533516621574
23	2	1285.948695643086
24	2	1308.698149450759
25	2	1312.3874319793929
26	2	1302.0244236510991
27	2	1273.2780555207542
28	2	1289.2576777604993
29	2	1299.0656491086847
30	2	1314.3370191725282
31	2	1308.7207587353814
32	2	1308.6896424185766
33	2	1341.991526989905
34	2	1339.9096609179608
35	2	1331.324541840546
36	2	1344.1048372112098
37	2	1323.8980589704736
38	2	1351.9247598301417
39	2	1318.5885276471643
40	2	1359.1568035856908
41	2	1344.1294733262316
42	2	1344.4001665263015
43	2	1359.4778321428257
44	2	1378.608972140783
45	2	1383.6184091886641
46	2	1347.9372666012066
47	2	1367.880483444709
48	2	1390.1934988091468
49	2	1392.4203727210497
50	2	1364.7553699455395
1	3	2025.9965140833606
2	3	1687.2534093255758
3	3	1579.3516820201667
4	3	1502.576487376293
5	3	1469.9611472174265
6	3	1432.4270460522764
7	3	1410.8848368097226
8	3	1386.0723403522147
9	3	1382.976545720365
10	3	1351.902077469948
11	3	1361.689617757782
12	3	1336.5821532874288
13	3	1345.0937964704933
14	3	1345.3401353420256
15	3	1337.9437621185884
16	3	1322.5625575300562
17	3	1316.2362355998634
18	3	1329.6299859660294
19	3	1307.1982905503005
20	3	1304.4787441368444
21	3	1343.954765898618
22	3	1321.9981841290428
23	3	1340.3303186200803
24	3	1304.7728632997632
25	3	1345.1226252346978
26	3	1320.0537974644087
27	3	1323.5714888432726
28	3	1320.0474693307474
29	3	1330.941876709393
30	3	1327.9131072402458
31	3	1355.8070803278767
32	3	1348.4232931938225
33	3	1362.3131408618106
34	3	1352.2434139177465
35	3	1337.0632542353562
36	3	1354.3926326941541
37	3	1333.8469660113365
38	3	1340.6385331561578
39	3	1340.756114484027
40	3	1403.2441775465325
41	3	1392.874555299793
42	3	1395.8131101232582
43	3	1381.8610254106056
44	3	1393.393456351114
45	3	1393.2137488539565
46	3	1403.512647617625
47	3	1389.432784321136
48	3	1425.715608807475
49	3	1416.9305809608163
50	3	1416.287799635166
