k	rep	MSE
1	1	0.9467703664152435
2	1	0.7814996860647808
3	1	0.7179230044610715
4	1	0.6840263677114271
5	1	0.6624559250949881
6	1	0.6366358907459307
7	1	0.6216935173023843
8	1	0.608800671151517
9	1	0.5993825733683024
10	1	0.58566261303725
11	1	0.5916471217179151
12	1	0.5996727337845544
13	1	0.5859280763008817
14	1	0.5770017136704901
15	1	0.5715957353000666
16	1	0.5738095107282787
17	1	0.5717185576355709
18	1	0.5652435896096247
19	1	0.5697917211211856
20	1	0.5779769417453496
21	1	0.5737155387531017
22	1	0.5683530218879171
23	1	0.5836888245997562
24	1	0.5812996870101825
25	1	0.5772667806288589
26	1	0.5669932017866981
27	1	0.5740274053834856
28	1	0.5780172220513314
29	1	0.577970476057778
30	1	0.5914137602818574
31	1	0.5781117887051879
32	1	0.5972394722364944
33	1	0.5955564123067741
34	1	0.6004387160378815
35	1	0.5875268947024226
36	1	0.5992860939902634
37	1	0.5940416015840569
38	1	0.6011169209722915
39	1	0.6075499687265504
40	1	0.6235486084595986
41	1	0.615496782250694
42	1	0.6275304906454741
43	1	0.6283987004257962
44	1	0.6219037580029557
45	1	0.602831923299593
46	1	0.636026274085845
47	1	0.6349740639664925
48	1	0.6544512550368533
49	1	0.6273660932401841
50	1	0.6382275733310315
1	2	0.95587111054252
2	2	0.7775811791905105
3	2	0.721682934884866
4	2	0.6918700492963635
5	2	0.6547515762478631
6	2	0.6406912989812173
7	2	0.634793416296824
8	2	0.6134372359565464
9	2	0.6135016199302302
10	2	0.6121089962160764
11	2	0.5936116609458947
12	2	0.5941815827700347
13	2	0.5796343710744541
14	2	0.5723924938972728
15	2	0.5733024173842275
16	2	0.5773247081712317
17	2	0.5713460484172407
18	2	0.5614188824287185
19	2	0.5718112177557513
20	2	0.5864585453311982
21	2	0.5815345133475553
22	2	0.5752439942870793
23	2	0.588168420483921
24	2	0.593391518831738
25	2	0.586674649688035
26	2	0.5928566515890351
27	2	0.5841372182372958
28	2	0.5954487017818598
29	2	0.5966615078142209
30	2	0.592280573666175
31	2	0.6036562388542176
32	2	0.6063107846006299
33	2	0.6167887259724671
34	2	0.6110684066531668
35	2	0.6083869081978616
36	2	0.609647713101903
37	2	0.6066519216082705
38	2	0.6227311296805372
39	2	0.6197780852623362
40	2	0.6408541300696171
41	2	0.6163619073378491
42	2	0.6306336046116982
43	2	0.6297689004110482
44	2	0.6431659985020749
45	2	0.6363630033321077
46	2	0.6378352609087251
47	2	0.6338104893124488
48	2	0.6482726555146092
49	2	0.6562686217850238
50	2	0.6338012386255474
1	3	0.9494402301508288
2	3	0.7900198598692392
3	3	0.7331737088343031
4	3	0.6959863068657072
5	3	0.6757858407863236
6	3	0.658572365030199
7	3	0.6409880599083173
8	3	0.6304577125494095
9	3	0.6219514187105742
10	3	0.6016004151561356
11	3	0.6069734709223041
12	3	0.6051637191503093
13	3	0.6045466662557696
14	3	0.6107488036751739
15	3	0.5964781584723605
16	3	0.5876301730123545
17	3	0.5940282423350078
18	3	0.593585781836428
19	3	0.5940447898145529
20	3	0.5894768582089349
21	3	0.602878867092288
22	3	0.5893866309786432
23	3	0.610448547757598
24	3	0.5735786289443143
25	3	0.6014414274053409
26	3	0.5959454135553945
27	3	0.5990726342880904
28	3	0.6020493696996189
29	3	0.6020947863620574
30	3	0.6062523889384087
31	3	0.6223073276844965
32	3	0.6150309910886078
33	3	0.6036223057004286
34	3	0.615288342033187
35	3	0.6120987252658437
36	3	0.6250764954931058
37	3	0.5982536170024744
38	3	0.6324239389178852
39	3	0.6294560276447277
40	3	0.6363941668830662
41	3	0.6418208263530694
42	3	0.6563611430097488
43	3	0.652101936425689
44	3	0.6463496404889075
45	3	0.6419782810950081
46	3	0.6441353519461802
47	3	0.6495779072430132
48	3	0.6729250086454655
49	3	0.6414398881819007
50	3	0.6685612198287075
