k	rep	MSE
1	1	1.134059807255906
2	1	1.0071602691076988
3	1	0.9583829840717676
4	1	0.8560442390615737
5	1	0.8223030421378609
6	1	0.7928248427624353
7	1	0.7848643785553487
8	1	0.7336369794727438
9	1	0.7170229420935977
10	1	0.6950529878715563
11	1	0.6820559847171068
12	1	0.6724022623878754
13	1	0.6555091376313993
14	1	0.6417340342695712
15	1	0.6324132672432848
16	1	0.6247610258321984
17	1	0.6182621396200978
18	1	0.6116335834262837
19	1	0.6055231572327063
20	1	0.5971187561397505
21	1	0.5934069982339643
22	1	0.5929919264330406
23	1	0.5866057473430073
24	1	0.5860263718037589
25	1	0.5835616274409237
26	1	0.5769101582089257
27	1	0.5709114336772368
28	1	0.5722531201207027
29	1	0.5656918520168154
30	1	0.5659419801692909
31	1	0.5638249840089259
32	1	0.5661400745583365
33	1	0.5638809304193797
34	1	0.565189450078865
35	1	0.5537314723625579
36	1	0.5602548679830873
37	1	0.5612460176008913
38	1	0.5541651575183061
39	1	0.5572864227541888
40	1	0.5548423124566289
41	1	0.555817838564241
42	1	0.5601719811012521
43	1	0.5533088744851878
44	1	0.5570551813809224
45	1	0.5493590063748096
46	1	0.5470373728826385
47	1	0.5559376967226998
48	1	0.5570601558704893
49	1	0.5512716492505815
50	1	0.5336251805489456
1	2	1.1413545974326873
2	2	1.0150725002518353
3	2	0.9642173392859774
4	2	0.8594272080823115
5	2	0.8239395329287688
6	2	0.7920752352406619
7	2	0.7849288268644263
8	2	0.7399860279805781
9	2	0.724666087972548
10	2	0.7018505176239972
11	2	0.6877459847870466
12	2	0.677383218598726
13	2	0.6594278650825907
14	2	0.6456736909690449
15	2	0.6396907622812572
16	2	0.6331105375551164
17	2	0.626684399418948
18	2	0.6200845180094098
19	2	0.6130760736046446
20	2	0.6047774582577117
21	2	0.5996556671731785
22	2	0.5973617626304711
23	2	0.5955704185343307
24	2	0.5888106190674413
25	2	0.5927244760293982
26	2	0.5856102763750669
27	2	0.5798999394273409
28	2	0.5788682892407933
29	2	0.577327502017856
30	2	0.5710397354947103
31	2	0.5756834488553837
32	2	0.5680526784915128
33	2	0.5679859448845664
34	2	0.5715549177571492
35	2	0.5671444735630763
36	2	0.5699334841616839
37	2	0.5694375855351994
38	2	0.5636623151550556
39	2	0.5640154669452457
40	2	0.5667859288364114
41	2	0.5520787038153463
42	2	0.562607517197356
43	2	0.5574638891571206
44	2	0.5568588527434264
45	2	0.5550916491356453
46	2	0.5560019151814002
47	2	0.5534214654405499
48	2	0.5569175536783607
49	2	0.551247187026071
50	2	0.5594139353211709
1	3	1.1433395178842949
2	3	1.0136132840083576
3	3	0.9617281973421854
4	3	0.8609771671380486
5	3	0.8287940301763514
6	3	0.7982216854930125
7	3	0.7810966781367422
8	3	0.7443813635817721
9	3	0.7256725706455442
10	3	0.7051066667613581
11	3	0.6891528892495199
12	3	0.6789450635387669
13	3	0.6630259715528832
14	3	0.6544836625057785
15	3	0.6453206680163908
16	3	0.6406891406876927
17	3	0.6300907215518159
18	3	0.6276979506470907
19	3	0.6177810222312934
20	3	0.6107741942341613
21	3	0.6050623839825381
22	3	0.6067709972945909
23	3	0.604356596540888
24	3	0.5952006386306774
25	3	0.6004738674188653
26	3	0.5953333244367917
27	3	0.5870657606238142
28	3	0.584100370692292
29	3	0.5834615916328221
30	3	0.5835658539573344
31	3	0.5859609199556098
32	3	0.5815927190313028
33	3	0.576255746560829
34	3	0.5823724274864578
35	3	0.5754339093312623
36	3	0.572150459126496
37	3	0.5749169140195256
38	3	0.569801003022249
39	3	0.5713222306130166
40	3	0.5782972776425741
41	3	0.5763930233372481
42	3	0.5819434672407662
43	3	0.5716425229611766
44	3	0.5659105949163508
45	3	0.57109206116496
46	3	0.560390565798969
47	3	0.5652420603161881
48	3	0.5711152274939202
49	3	0.5676049149812173
50	3	0.5709136161327331
