k	rep	MSE
1	1	0.9209265085259459
2	1	0.867206608458386
3	1	0.8541487919937548
4	1	0.8342468166147268
5	1	0.8293709048397465
6	1	0.8137294621921679
7	1	0.8206855422170449
8	1	0.8000627373198599
9	1	0.8015186209757845
10	1	0.7982005063508325
11	1	0.8035587563092937
12	1	0.7991208711312477
13	1	0.7848688135726549
14	1	0.7912433681449471
15	1	0.79968146906691
16	1	0.7814318914272839
17	1	0.7862563776650916
18	1	0.7813136867766752
19	1	0.7940192066243059
20	1	0.7823545763633196
1	2	0.9274144329911275
2	2	0.8686615410114795
3	2	0.8576706808778063
4	2	0.8389939379129593
5	2	0.8243376169135788
6	2	0.8173874608671446
7	2	0.8178890806188668
8	2	0.8104184014909733
9	2	0.800478187185084
10	2	0.8022021073595085
11	2	0.7935708460848451
12	2	0.7973954712472515
13	2	0.7912549391358301
14	2	0.7907780948099408
15	2	0.7936139931166919
16	2	0.7803438808154072
17	2	0.7826251159458216
18	2	0.783994163913178
19	2	0.9894510028366991
20	2	0.7834457306957519
1	3	0.9158413653327363
2	3	0.8648739322334905
3	3	0.8502197454563799
4	3	0.8251352192042863
5	3	0.8114793056925879
6	3	0.8065686907113773
7	3	0.8075081258945762
8	3	0.8049697527886666
9	3	0.7976086534067659
10	3	0.7965937500476024
11	3	0.7961242437611655
12	3	0.7868557907487386
13	3	0.7828585445253033
14	3	0.7805031664521678
15	3	0.7783263523376627
16	3	0.7804351319611935
17	3	0.7885304831724609
18	3	0.7789069922785317
19	3	0.7817543521055577
20	3	0.7922965500830345
