k	rep	MSE
1	1	1999.7515959803388
2	1	1561.6617792010609
3	1	1394.9800288681174
4	1	1312.2486414655161
5	1	1243.8974794828346
6	1	1206.1010946208362
7	1	1157.197292672703
8	1	1122.6755502357933
9	1	1099.2686422323413
10	1	1069.040079432946
11	1	1060.414361362631
12	1	1031.9913787224639
13	1	1038.8103877061958
14	1	992.9466274115728
15	1	986.7742040735087
16	1	984.4318630975533
17	1	971.1746237380404
18	1	945.9697701651432
19	1	952.5996076978992
20	1	947.8787120733496
21	1	935.6281713995305
22	1	935.1668493426652
23	1	923.7577024975067
24	1	932.3613874008723
25	1	912.1899577079064
26	1	920.3685839857723
27	1	903.5246627439687
28	1	907.2399833964482
29	1	926.3509237845276
30	1	908.8783026917496
31	1	901.6397776287705
32	1	893.6905044770501
33	1	894.4127487974145
34	1	883.6819138752257
35	1	892.0006521913056
36	1	888.4601532861454
37	1	899.8763033727192
38	1	920.8891718383982
39	1	895.2278001898508
40	1	913.8654972688555
41	1	889.7409028035469
42	1	905.9457283673298
43	1	916.0214226937505
44	1	887.954139807256
45	1	885.7841851198158
46	1	904.0626855318953
47	1	891.5069541053792
48	1	899.3282136367972
49	1	906.6484132066071
50	1	907.4730296840429
1	2	2017.4918776322743
2	2	1561.5310179397154
3	2	1390.1915065524395
4	2	1321.5266499218003
5	2	1236.1054833638425
6	2	1212.299375880767
7	2	1140.5566417163395
8	2	1110.2949465310285
9	2	1098.0662021306744
10	2	1074.504213460289
11	2	1054.7597235289322
12	2	1023.3765164252113
13	2	1016.4063416531374
14	2	1002.7150578099865
15	2	999.8784702300383
16	2	984.646866829883
17	2	979.2803304292544
18	2	957.8455821327955
19	2	960.0785528249686
20	2	956.0816819994546
21	2	942.8697485666593
22	2	938.8494030390543
23	2	923.9939700460209
24	2	935.8827087696591
25	2	916.5356850862788
26	2	938.1265699359719
27	2	917.228544146483
28	2	915.5382007227486
29	2	929.5570999826201
30	2	915.2306216643566
31	2	910.9884707518934
32	2	907.1997874124979
33	2	905.1620486757861
34	2	895.0338213085059
35	2	919.2105649440845
36	2	908.2132661028047
37	2	901.5947403493035
38	2	904.7661556911166
39	2	900.1727109411673
40	2	901.7617629348001
41	2	907.8292040780852
42	2	897.0964458193778
43	2	921.6152940896328
44	2	904.6850890087554
45	2	910.4041668493103
46	2	924.8689430599296
47	2	902.2074581025079
48	2	920.4490675854295
49	2	918.6426132462414
50	2	912.9343933209003
1	3	1989.9045719220549
2	3	1543.7377244334878
3	3	1362.201526896834
4	3	1277.3027183474337
5	3	1210.2837643660853
6	3	1184.8681102561509
7	3	1133.4450174569834
8	3	1098.490042696815
9	3	1076.359133588574
10	3	1051.8313798592103
11	3	1035.1834913416371
12	3	1001.8555149740271
13	3	1003.2153971758004
14	3	993.0133846142488
15	3	973.7569749253203
16	3	961.9703341117499
17	3	953.7674239722313
18	3	937.7215522720996
19	3	948.0727234651486
20	3	931.2861532009067
21	3	908.5060464702884
22	3	926.7383369383451
23	3	904.9154390881586
24	3	916.2237667229671
25	3	900.4896469155258
26	3	903.2387440825944
27	3	897.5220033995471
28	3	891.0137867543117
29	3	901.8416807611519
30	3	892.1420499074809
31	3	878.5612174311318
32	3	897.5872765434401
33	3	901.0598944127672
34	3	889.2750505573835
35	3	901.8632662176728
36	3	887.7089735656045
37	3	906.6275882022809
38	3	895.8885312341448
39	3	885.4711195041294
40	3	894.8142147340517
41	3	880.9231266399753
42	3	888.5469609212387
43	3	896.4472551379
44	3	888.8800579318365
45	3	890.8564522392534
46	3	897.616335517289
47	3	893.2163533447477
48	3	909.845507195919
49	3	887.6151946881263
50	3	905.5160884249616
