k	rep	MSE
1	1	0.9871727971693808
2	1	0.7729685884711223
3	1	0.6801425338559366
4	1	0.6363937116825823
5	1	0.6072974059110713
6	1	0.5790053574658975
7	1	0.5509393852439568
8	1	0.5309574454970525
9	1	0.5154434956426499
10	1	0.5059848635982371
11	1	0.488710071798124
12	1	0.4719865462207174
13	1	0.4719953772477381
14	1	0.45839147086649185
15	1	0.4529031188942499
16	1	0.44499342942945036
17	1	0.44424016466064564
18	1	0.43186490833622987
19	1	0.43106505576001297
20	1	0.427507506477475
21	1	0.4220471106971902
22	1	0.42314656663791156
23	1	0.41407477909132784
24	1	0.4166580080389034
25	1	0.4087327906357825
26	1	0.4160892881614322
27	1	0.409645472387422
28	1	0.4121725686310986
29	1	0.4191850686424882
30	1	0.4083365208145657
31	1	0.40542151223714235
32	1	0.40595705573038715
33	1	0.40690919810488546
34	1	0.39933425051105226
35	1	0.4059760102489736
36	1	0.40883466534998864
37	1	0.4078054658361221
38	1	0.41329161860946806
39	1	0.40476086803882255
40	1	0.41406045463155233
41	1	0.41170744440924756
42	1	0.4145026194121768
43	1	0.4129615291891404
44	1	0.40102355963938346
45	1	0.40151024035759575
46	1	0.4135862751588014
47	1	0.40926378209005654
48	1	0.41253124459907237
49	1	0.41025426668082404
50	1	0.42053659868063487
1	2	0.9901030253338116
2	2	0.7661330626885263
3	2	0.674309647377935
4	2	0.6387910455005013
5	2	0.6060921483874249
6	2	0.5807155699485951
7	2	0.5382939066629953
8	2	0.5247008490570617
9	2	0.5106600701466156
10	2	0.4935712682960794
11	2	0.4885445085791069
12	2	0.46173453005079973
13	2	0.4659397788693452
14	2	0.4555587147057634
15	2	0.4518434017368359
16	2	0.45300032048075967
17	2	0.4459756439975413
18	2	0.43543900635271837
19	2	0.4329186548953434
20	2	0.435713295635177
21	2	0.4227261941082962
22	2	0.4239798948937235
23	2	0.41427111565468583
24	2	0.41982714999691106
25	2	0.409433247545475
26	2	0.4188932644252374
27	2	0.4166731391918279
28	2	0.414249258652336
29	2	0.4128436369975223
30	2	0.41530627157149586
31	2	0.407558753038822
32	2	0.40940136512900616
33	2	0.410332196040861
34	2	0.40820129659178733
35	2	0.41421370008217495
36	2	0.4108867332032699
37	2	0.4070834583867085
38	2	0.4085854419647902
39	2	0.4036947731934204
40	2	0.4123710896967531
41	2	0.41493952186216015
42	2	0.4111931701081102
43	2	0.41887634165230764
44	2	0.40445819278030093
45	2	0.41771540877786706
46	2	0.4164573517897644
47	2	0.4171804747110158
48	2	0.42509483525802255
49	2	0.412188810853828
50	2	0.4125149121385327
1	3	0.9789093542473064
2	3	0.7599718003091849
3	3	0.6567075276980635
4	3	0.6133769545691574
5	3	0.5863487903054282
6	3	0.5605739770161835
7	3	0.5378654052293449
8	3	0.5203610304508431
9	3	0.49984411702231135
10	3	0.48597355126931335
11	3	0.47624486439299674
12	3	0.45172367966227694
13	3	0.45191868936174767
14	3	0.4554467371015185
15	3	0.4449177987160821
16	3	0.4292749395452878
17	3	0.43103929766614113
18	3	0.4230355196036028
19	3	0.4240105136850551
20	3	0.4183321584107789
21	3	0.41177553027428737
22	3	0.41617224125611607
23	3	0.4073357929226986
24	3	0.4112044435318012
25	3	0.4031598471647294
26	3	0.40679985179966544
27	3	0.40598089166515927
28	3	0.39574966393527833
29	3	0.40480209719747423
30	3	0.4034158767628358
31	3	0.3964120772440539
32	3	0.40196520248589684
33	3	0.40926303572474954
34	3	0.3986564334091185
35	3	0.4016748578410582
36	3	0.40042055590054937
37	3	0.4055686514307091
38	3	0.40835903886978564
39	3	0.4043588761946745
40	3	0.4069420257454044
41	3	0.3989406940250931
42	3	0.40734083534029314
43	3	0.4015964185719026
44	3	0.40208236463111346
45	3	0.403363879539667
46	3	0.4039901762439662
47	3	0.40686598746385966
48	3	0.4152443054144502
49	3	0.40611216247321813
50	3	0.422169842079479
