k	rep	MSE
1	1	0.9040738723579419
2	1	0.8934959994918888
3	1	0.8705525697528554
4	1	0.8650305725152375
5	1	0.8618809766569373
6	1	0.8597432708018712
7	1	0.8575867424072157
8	1	0.860181822266635
9	1	0.8469598971102168
10	1	0.844821445298803
11	1	0.8404637865056338
12	1	0.8297361785198132
13	1	0.8509725750299926
14	1	0.8329589653132958
15	1	0.848405207093545
16	1	0.839911160755127
17	1	0.8650168654004464
18	1	0.8497423532128753
19	1	0.8358846721920165
20	1	0.8475798780931382
1	2	0.8818705529083389
2	2	0.8684211382521114
3	2	0.8449413858473306
4	2	0.8427684011564517
5	2	0.8390020546806108
6	2	0.835527458635134
7	2	0.8343212584576142
8	2	0.8336436542146124
9	2	0.8127127557660859
10	2	0.8107140910532497
11	2	0.8176386257536722
12	2	0.8008653564781681
13	2	0.807188712391359
14	2	0.797068192490161
15	2	0.8132431073177548
16	2	0.8059112198806109
17	2	0.8033451476089714
18	2	0.7986341951947834
19	2	0.8061609087752714
20	2	0.8074225172779946
1	3	0.8887455723543493
2	3	0.8772868045586648
3	3	0.8505941912642208
4	3	0.8461451755365056
5	3	0.8444807712544218
6	3	0.8443027885432085
7	3	0.8386532701704995
8	3	0.8305218993673998
9	3	0.8309319628056527
10	3	0.8199238311053326
11	3	0.8195877337268489
12	3	0.8207655691184678
13	3	0.8176417057334742
14	3	0.8176992130466394
15	3	0.8090049397079622
16	3	0.8197371034705186
17	3	0.8225817034824592
18	3	0.8383325334922942
19	3	0.8289960731695579
20	3	0.8161936624900253
