k	rep	MSE
1	1	1857.4028880246108
2	1	1484.1734848210199
3	1	1404.367371197759
4	1	1342.560265538382
5	1	1282.7356649655205
6	1	1259.0295853802363
7	1	1209.7855588766622
8	1	1197.4613703604666
9	1	1164.30130746726
10	1	1163.4387348403977
11	1	1158.157390016642
12	1	1132.9380172820254
13	1	1113.8490834598713
14	1	1110.3497446971926
15	1	1106.953496540598
16	1	1093.4761513820279
17	1	1074.0392996267317
18	1	1072.9996981434554
19	1	1060.1707547474734
20	1	1066.7612770405938
21	1	1076.1965681381266
22	1	1105.1646581698378
23	1	1079.6129568964348
24	1	1085.8972612193336
25	1	1095.1584467436717
26	1	1080.87934496537
27	1	1094.2898829378466
28	1	1100.9373981974275
29	1	1086.59599939424
30	1	1087.170720232405
31	1	1077.5840792283955
32	1	1072.974800170118
33	1	1089.294918193697
34	1	1105.3370637574708
35	1	1113.7775724560508
36	1	1122.6107263358633
37	1	1129.701367130428
38	1	1120.8152616849727
39	1	1153.0275092295035
40	1	1127.276337525048
41	1	1133.6882364727664
42	1	1129.1684469566972
43	1	1127.211279660849
44	1	1120.975271860906
45	1	1159.1377598209315
46	1	1122.1143668532113
47	1	1157.9950331105188
48	1	1164.9977572856983
49	1	1163.4518028896255
50	1	1176.3075376342078
1	2	1819.2632018956065
2	2	1420.00597764781
3	2	1324.3360271234303
4	2	1251.6963657933488
5	2	1204.8036704989229
6	2	1190.424478072953
7	2	1147.864319943745
8	2	1134.3479093920869
9	2	1120.3044937710195
10	2	1094.6431470913783
11	2	1081.8866362352273
12	2	1089.5580686232868
13	2	1051.5012148126912
14	2	1043.0234699500566
15	2	1046.742613434622
16	2	1071.917862652189
17	2	1039.139795411885
18	2	1041.5437749171688
19	2	1028.6082934186852
20	2	1032.780351097817
21	2	1012.5087915784109
22	2	1022.2209546823339
23	2	1015.4848344075305
24	2	1056.0956367740744
25	2	1060.8873569452437
26	2	1004.5024202922112
27	2	1038.6297687884282
28	2	1072.3496186249129
29	2	1060.9513409460942
30	2	1038.3447957635676
31	2	1060.617093549245
32	2	1031.7285319223638
33	2	1045.6405351955084
34	2	1038.5969966800847
35	2	1036.1098859987135
36	2	1041.6258008041834
37	2	1051.3618542893773
38	2	1071.9011399261683
39	2	1079.4102436704798
40	2	1102.4919898120327
41	2	1095.9888558248467
42	2	1066.1415632879753
43	2	1095.3106561909542
44	2	1099.8218268767282
45	2	1098.8736680043867
46	2	1095.6995788823663
47	2	1097.668271701506
48	2	1099.126143759342
49	2	1119.7582662248076
50	2	1127.878767084471
1	3	1884.0376001987868
2	3	1487.1790976812442
3	3	1403.096480935356
4	3	1329.9992535543822
5	3	1301.521945161441
6	3	1263.4434940882081
7	3	1224.397114824773
8	3	1209.3982317721045
9	3	1177.47525928952
10	3	1133.7411904324167
11	3	1117.0087089634483
12	3	1134.2755710524461
13	3	1106.7052228647901
14	3	1084.6836939869422
15	3	1103.5104893700218
16	3	1094.0114417330756
17	3	1050.287535125057
18	3	1082.783261971775
19	3	1073.0381017491593
20	3	1055.5544433380708
21	3	1049.8163222855057
22	3	1061.7841779920025
23	3	1072.3985340905979
24	3	1068.226875644856
25	3	1074.7619912335063
26	3	1057.5526812007104
27	3	1069.1686580471442
28	3	1065.3072149800373
29	3	1095.1037019663313
30	3	1063.6236924878647
31	3	1086.501160840313
32	3	1074.1745594032284
33	3	1102.5276633366002
34	3	1085.1912081482046
35	3	1084.5489715595988
36	3	1060.9394432062477
37	3	1113.8574378045546
38	3	1107.6192295450016
39	3	1107.4643606791194
40	3	1125.3502773613438
41	3	1121.1546386098953
42	3	1118.6984919575073
43	3	1136.4192388111662
44	3	1136.8627374832
45	3	1127.81888608461
46	3	1130.4060999271342
47	3	1156.0997679594902
48	3	1114.4055239022346
49	3	1141.3649677400126
50	3	1163.5905476133946
