k	rep	MSE
1	1	0.9500632179671219
2	1	0.7573045548582776
3	1	0.7083301414772862
4	1	0.6799147938833789
5	1	0.6424074780268034
6	1	0.6282767150611588
7	1	0.6055538732531673
8	1	0.591041398562716
9	1	0.5737996227767511
10	1	0.5689423413811631
11	1	0.5573761000900223
12	1	0.5507009253745456
13	1	0.538568781047194
14	1	0.5426980799013373
15	1	0.5303118774670643
16	1	0.5241568763371807
17	1	0.5189595393131791
18	1	0.5224288301092986
19	1	0.5176138935892465
20	1	0.5187723998864971
21	1	0.5198916217633174
22	1	0.5276972607729113
23	1	0.525917840644005
24	1	0.537832511892247
25	1	0.5342051004637807
26	1	0.5334919310368217
27	1	0.5288733391324261
28	1	0.5485695554948803
29	1	0.5387309897940901
30	1	0.5344603317829558
31	1	0.5320388465275641
32	1	0.5396579254598005
33	1	0.5347154964898506
34	1	0.5531374213461222
35	1	0.5485647360165176
36	1	0.5539667545038799
37	1	0.5617814731710958
38	1	0.5505309453960193
39	1	0.5521846213058198
40	1	0.5568857601087206
41	1	0.574678651935575
42	1	0.5664740305075305
43	1	0.5927779659638712
44	1	0.5733270682557977
45	1	0.5692604935376084
46	1	0.5696744922178467
47	1	0.5948631920600154
48	1	0.5765160294029716
49	1	0.5871865534016515
50	1	0.5879286640645215
1	2	0.9351533591500693
2	2	0.7328890183018699
3	2	0.6716593385526367
4	2	0.6339818514496317
5	2	0.6055763778601203
6	2	0.5961716349435264
7	2	0.5810318300018271
8	2	0.5491089337755676
9	2	0.5605343320671529
10	2	0.531832663757132
11	2	0.527882427275619
12	2	0.5206367022433369
13	2	0.516340986282008
14	2	0.5077701922312928
15	2	0.5068902267919447
16	2	0.5118799453606092
17	2	0.5226952262097267
18	2	0.5063130065822545
19	2	0.49692789112247643
20	2	0.5024014080232628
21	2	0.4927910804527335
22	2	0.5014076501482855
23	2	0.5003333308157001
24	2	0.5121013836437257
25	2	0.512203691208923
26	2	0.5008723844244881
27	2	0.5115573856135914
28	2	0.5216173184600337
29	2	0.5195308497407525
30	2	0.5069739412205972
31	2	0.5171633878384161
32	2	0.5054966173645631
33	2	0.5062903734370392
34	2	0.5202814533836646
35	2	0.5192749917663885
36	2	0.5297054873735456
37	2	0.5321354707181342
38	2	0.5443568592580322
39	2	0.5322014252968902
40	2	0.5400606857157556
41	2	0.5448999373192391
42	2	0.5472499630895598
43	2	0.5357389198068859
44	2	0.553986419764072
45	2	0.5482271034322015
46	2	0.5670386701893405
47	2	0.55934841430149
48	2	0.5496740131440266
49	2	0.5565154359831203
50	2	0.5804951998486423
1	3	0.9557750851293362
2	3	0.7493981106799371
3	3	0.6963502452205951
4	3	0.6644434113342926
5	3	0.6441793398544262
6	3	0.6210492278042742
7	3	0.5941084683596619
8	3	0.5782698667146303
9	3	0.5643484076650309
10	3	0.5435295807587396
11	3	0.5339660259442452
12	3	0.5329723546400243
13	3	0.52637030713305
14	3	0.5129822631545629
15	3	0.5131718696896705
16	3	0.5303487524029327
17	3	0.5052014852539436
18	3	0.514212465249519
19	3	0.5121474090037011
20	3	0.5020124347180206
21	3	0.49544379353508006
22	3	0.510011348178208
23	3	0.4996853741367172
24	3	0.5156065783248404
25	3	0.5073273888894476
26	3	0.5108684620071778
27	3	0.5131814002699923
28	3	0.5198180717578714
29	3	0.5232357545481137
30	3	0.5210943555981769
31	3	0.5217837868242691
32	3	0.5135801912297409
33	3	0.5261317772838713
34	3	0.5377848954421176
35	3	0.5282743525326589
36	3	0.5138286740503696
37	3	0.5380967744946846
38	3	0.5394029360238161
39	3	0.5313109500276253
40	3	0.5458226298683021
41	3	0.538240195980428
42	3	0.544889666037027
43	3	0.5608496424029004
44	3	0.5583946333589358
45	3	0.5607843499761882
46	3	0.5526006420325206
47	3	0.5712598630189789
48	3	0.5659669888391281
49	3	0.569217208291856
50	3	0.5755806034097448
