k	rep	MSE
1	1	1.219518679657142
2	1	1.0417403140310926
3	1	0.9751512063400973
4	1	0.8783581763469206
5	1	0.8228378989764537
6	1	0.7846116941617897
7	1	0.7647306505556711
8	1	0.729745744183921
9	1	0.7108270857061239
10	1	0.6984840487903482
11	1	0.6776674998969008
12	1	0.6525283979501657
13	1	0.6382220346231757
14	1	0.631219521863718
15	1	0.6245725876348999
16	1	0.6113787127815182
17	1	0.593645988373533
18	1	0.5975443958978408
19	1	0.5842006401410538
20	1	0.5764962354148391
21	1	0.5694975343414617
22	1	0.5672126190230694
23	1	0.5664089918947914
24	1	0.5605529149615748
25	1	0.5619219554988127
26	1	0.5480768117639032
27	1	0.5491355676561689
28	1	0.5462000142233541
29	1	0.5409314948045821
30	1	0.5327095376063272
31	1	0.5306980854458344
32	1	0.5315100796303444
33	1	0.5283796672171529
34	1	0.5275342149967945
35	1	0.5275263254135034
36	1	0.5266127926599458
37	1	0.5229806416827619
38	1	0.5234812029929794
39	1	0.5291116215770727
40	1	0.521310469819919
41	1	0.5196098199931031
42	1	0.5185371405066181
43	1	0.5232702374239915
44	1	0.5202637693478822
45	1	0.5182077159191306
46	1	0.5095575167808405
47	1	0.5181359995590221
48	1	0.5172415867048853
49	1	0.518161645306494
50	1	0.5151633192557998
1	2	1.21127735602629
2	2	1.0307516838224522
3	2	0.9652250338139139
4	2	0.8634248272378128
5	2	0.8045210077167267
6	2	0.7630750803100697
7	2	0.7419195474863994
8	2	0.7040678381138457
9	2	0.6853771797151909
10	2	0.6732649080004616
11	2	0.6499663823956632
12	2	0.6245184707312057
13	2	0.6083554369124343
14	2	0.5977300077897171
15	2	0.5959247960318914
16	2	0.5819865977788254
17	2	0.5737637078483194
18	2	0.5711546641967739
19	2	0.5568063226410941
20	2	0.5468989400616432
21	2	0.5400064162022052
22	2	0.5374966154674933
23	2	0.5401322399634788
24	2	0.5309923466045771
25	2	0.5338052972845321
26	2	0.5173181142544201
27	2	0.5211404948488397
28	2	0.5203009215172782
29	2	0.5192691984617689
30	2	0.5116349636012936
31	2	0.5103812352526419
32	2	0.505681366925199
33	2	0.5046621445454499
34	2	0.5035296409492968
35	2	0.500301550564099
36	2	0.501416572504215
37	2	0.4964280472093927
38	2	0.49562822045170285
39	2	0.4974567899339613
40	2	0.4971030241286516
41	2	0.4972144924545909
42	2	0.49267958022408437
43	2	0.49339015212527193
44	2	0.4892587647478094
45	2	0.4922712572499525
46	2	0.49089504605866857
47	2	0.4885104099965871
48	2	0.48771758709327695
49	2	0.4908259269006327
50	2	0.49410914125343297
1	3	1.2361325355544643
2	3	1.054674732054621
3	3	0.9880886875465726
4	3	0.8837847540786682
5	3	0.8232850909597691
6	3	0.7808715370182279
7	3	0.7590127849885999
8	3	0.734164163728046
9	3	0.7077003068294178
10	3	0.69333047494067
11	3	0.668701553451398
12	3	0.651101131707156
13	3	0.6296294821843001
14	3	0.6199515223194368
15	3	0.6177375383992837
16	3	0.602856477920319
17	3	0.5842883128644294
18	3	0.5874722468522634
19	3	0.575839913231727
20	3	0.5668332015280222
21	3	0.5573342248324579
22	3	0.5534945290896959
23	3	0.5520512137128887
24	3	0.5469737964989054
25	3	0.5408197266989592
26	3	0.5329684796700265
27	3	0.5341494998333103
28	3	0.5318040873739611
29	3	0.5315442872245119
30	3	0.5214902118785553
31	3	0.5197207229356484
32	3	0.5140469216057072
33	3	0.5199284056040917
34	3	0.5127686135792159
35	3	0.5069621874586858
36	3	0.5074880126154462
37	3	0.5078026427412201
38	3	0.5098317635285146
39	3	0.5018043182125006
40	3	0.5033923317731133
41	3	0.5024725057356735
42	3	0.5017084138978175
43	3	0.505469977898576
44	3	0.5043718562269881
45	3	0.5057380657027725
46	3	0.5024720437225131
47	3	0.5066850740413172
48	3	0.5018270416112096
49	3	0.5005596390588349
50	3	0.5006178923792985
