k	rep	MSE
1	1	0.8869286540519754
2	1	0.8336252090505967
3	1	0.8277962999564352
4	1	0.8202083382844287
5	1	0.8221331770896751
6	1	0.8251596154571885
7	1	0.8263710218163326
8	1	0.8156627441691262
9	1	0.8157213430151199
10	1	0.8136130407419212
11	1	0.8127534069727167
12	1	0.8234242364365603
13	1	0.8129590367068634
14	1	0.8148431419242338
15	1	0.8039843196649863
16	1	0.8497461315485265
17	1	1.0720753029272962
18	1	0.8206778346079036
19	1	0.8140798884207006
20	1	0.8212534479124547
1	2	0.931912770273306
2	2	0.8609747844657074
3	2	0.8499903843930516
4	2	0.8494242269555239
5	2	0.8554800738078606
6	2	0.8461001226084263
7	2	0.8377887518272087
8	2	0.8443768420996686
9	2	0.8273262322432465
10	2	0.8312617173375447
11	2	0.8327907552460374
12	2	0.8375713937986856
13	2	0.8292438538145105
14	2	0.8560908939916921
15	2	0.8319366548307384
16	2	0.8363667276906052
17	2	0.8505790679597356
18	2	0.8348176843017117
19	2	0.836034281635761
20	2	0.8376068354244632
1	3	0.8908326209825512
2	3	0.8139007489908556
3	3	0.8126727914631562
4	3	0.8052825781359239
5	3	0.8011757527544691
6	3	0.7982826599346242
7	3	0.7891691220736566
8	3	0.7841018343025655
9	3	0.7958112661121477
10	3	0.7818260285346862
11	3	0.7889159281348908
12	3	0.79705419221933
13	3	0.7847122474273951
14	3	0.7886332040336779
15	3	0.7853412782485454
16	3	0.7925118900114535
17	3	0.7876495187205428
18	3	0.7926597894379437
19	3	0.7871598598588014
20	3	0.8113404350894036
