k	rep	MSE
1	1	2041.0847520582918
2	1	1550.9385138755317
3	1	1477.1722081770672
4	1	1409.7681108066756
5	1	1399.5887428401077
6	1	1377.4017809572852
7	1	1313.1973225124636
8	1	1293.8108019528065
9	1	1310.7195656758663
10	1	1275.6636947735856
11	1	1297.62436317823
12	1	1270.663596343069
13	1	1263.5634851296604
14	1	1220.7584357093633
15	1	1262.3272607205147
16	1	1259.3965129359058
17	1	1252.848525971338
18	1	1285.921326452543
19	1	1273.8928676337553
20	1	1281.2327710715215
21	1	1280.4126306559986
22	1	1323.4298054778271
23	1	1268.1084223630658
24	1	1242.7162032033345
25	1	1260.0335250309115
26	1	1266.598494579377
27	1	1302.6201463262828
28	1	1282.2894708455722
29	1	1357.014441435945
30	1	1283.2662477909253
31	1	1344.7263892036233
32	1	1335.921531848735
33	1	1291.5401130720904
34	1	1323.330041260419
35	1	1365.8025975147075
36	1	1392.5160915664922
37	1	1413.6999501793284
38	1	1338.142269781339
39	1	1350.895273677656
40	1	1358.9484791806938
41	1	1395.9002811383657
42	1	1340.4996348919117
43	1	1385.95230968116
44	1	1363.0196284010055
45	1	1329.8614964811636
46	1	1417.4860932661186
47	1	1360.058012272835
48	1	1337.3454215321904
49	1	1405.0270805544671
50	1	1496.7763086496216
1	2	2047.4200400650923
2	2	1504.3081828756813
3	2	1405.1190552826374
4	2	1355.2240446899757
5	2	1333.2127094471186
6	2	1277.7102125846302
7	2	1288.4199284355898
8	2	1282.6482231404646
9	2	1260.0609246722743
10	2	1246.6051751180223
11	2	1244.5622237770835
12	2	1252.0488553607806
13	2	1269.1682885074886
14	2	1246.501025337232
15	2	1230.5315043070448
16	2	1272.0397370566552
17	2	1274.8720344069068
18	2	1267.879908942966
19	2	1222.499589604012
20	2	1341.6573579170167
21	2	1249.3986033585795
22	2	1277.2303904820449
23	2	1275.2472648877315
24	2	1278.360414406376
25	2	1256.1221239761885
26	2	1295.0729601108185
27	2	1322.5618965663434
28	2	1325.9901887315682
29	2	1345.249833660846
30	2	1331.3499273369846
31	2	1374.9726553050577
32	2	1322.1772247152592
33	2	1322.4043343124924
34	2	1349.083534057624
35	2	1370.1435633958822
36	2	1405.057460252926
37	2	1376.710327323606
38	2	1414.7997253108933
39	2	1424.4516391251393
40	2	1389.6857926836105
41	2	1355.164117048347
42	2	1389.7828442138284
43	2	1416.6322649962392
44	2	1414.9482912065187
45	2	1427.3745592235919
46	2	1435.8407446923306
47	2	1416.2108344349997
48	2	1471.1925998271859
49	2	1428.2688884869174
50	2	1442.7338793039116
1	3	1973.2528816977215
2	3	1522.3664290899483
3	3	1461.6901300166521
4	3	1407.7853297110855
5	3	1383.9044694404333
6	3	1334.5216220726372
7	3	1319.4965445871608
8	3	1285.3538220406895
9	3	1262.8537484564185
10	3	1299.6622520316346
11	3	1273.3123522624596
12	3	1264.5237479698412
13	3	1264.868672170087
14	3	1243.8101629231096
15	3	1279.906399360419
16	3	1259.6037102020985
17	3	1255.1288450106154
18	3	1252.3572376967568
19	3	1228.6459373109908
20	3	1248.7986671450672
21	3	1286.0098292581552
22	3	1274.1082373399092
23	3	1272.0482672189385
24	3	1272.0483571308444
25	3	1283.9888496020621
26	3	1318.531891761499
27	3	1308.9874740614184
28	3	1327.4633582494348
29	3	1300.1950677916861
30	3	1248.5568154861855
31	3	1312.2019501893367
32	3	1297.5684299680627
33	3	1347.6678640463792
34	3	1361.1416609986431
35	3	1353.7947120760095
36	3	1304.7059027179746
37	3	1339.1339839500504
38	3	1340.1490111876665
39	3	1374.766084130104
40	3	1353.2406413806782
41	3	1423.8422165285085
42	3	1356.8888654258092
43	3	1443.92124067447
44	3	1372.9185862840259
45	3	1423.7033095329846
46	3	1486.7510014130337
47	3	1473.0704748699793
48	3	1402.6450917886575
49	3	1453.2995076865132
50	3	1441.0334642476073
