k	rep	MSE
1	1	2041.1055279347352
2	1	1551.0562923851091
3	1	1477.4925586229829
4	1	1410.3342091646991
5	1	1400.784619507272
6	1	1378.1579737886914
7	1	1314.1857054213924
8	1	1295.0408800180426
9	1	1311.413394963933
10	1	1276.8860322740065
11	1	1298.337341648848
12	1	1272.2220428806484
13	1	1263.8780061016428
14	1	1222.2524838700808
15	1	1262.8790006722966
16	1	1259.7322229944984
17	1	1253.3571946962782
18	1	1286.1711458986292
19	1	1274.436758419475
20	1	1281.2442791889198
21	1	1280.8945115047097
22	1	1323.5173680278613
23	1	1267.685727004693
24	1	1243.7530326264675
25	1	1260.473291188044
26	1	1266.786326972101
27	1	1302.1827637794663
28	1	1282.1929155644677
29	1	1358.767307577137
30	1	1283.9040592033787
31	1	1344.3915849324912
32	1	1336.1740922111603
33	1	1291.0727839576643
34	1	1322.0254861684364
35	1	1366.7671648847354
36	1	1392.7416201448295
37	1	1413.4816173514916
38	1	1336.1681185201392
39	1	1349.7030660564983
40	1	1359.4863928675857
41	1	1396.9651878963236
42	1	1338.8562326881179
43	1	1384.492824876071
44	1	1363.813778946304
45	1	1330.219951236489
46	1	1416.4846243555892
47	1	1359.7286204029733
48	1	1336.3268500259007
49	1	1406.1490367733386
50	1	1495.3889592321518
1	2	2047.4256121965302
2	2	1504.4071035753166
3	2	1405.4546283859374
4	2	1355.7872718665772
5	2	1334.2679577003955
6	2	1278.7763562255027
7	2	1289.6388593202505
8	2	1283.6235117808744
9	2	1260.9516479544766
10	2	1247.688142261512
11	2	1245.675058155979
12	2	1253.2638359118062
13	2	1269.0331630271078
14	2	1247.2103707533597
15	2	1231.9691749083033
16	2	1272.8811446593363
17	2	1275.1236162290722
18	2	1268.2041166538966
19	2	1222.3297330737973
20	2	1342.4687515562382
21	2	1249.4660402846316
22	2	1276.646847727623
23	2	1276.6850571154127
24	2	1279.3335856878791
25	2	1256.3104401238174
26	2	1295.2175282697417
27	2	1321.9256414951856
28	2	1324.8384074662906
29	2	1346.199375181351
30	2	1330.6018932969973
31	2	1375.2653159652864
32	2	1323.1373057888675
33	2	1323.6149944404701
34	2	1348.421753693706
35	2	1367.3300559388515
36	2	1403.523268239481
37	2	1376.370793978841
38	2	1413.123678682173
39	2	1423.819541868169
40	2	1391.0101142704148
41	2	1352.8267948209898
42	2	1388.07321180782
43	2	1416.7050313582304
44	2	1411.874436336376
45	2	1424.16200520072
46	2	1435.737552675823
47	2	1418.040874610834
48	2	1470.3774913966938
49	2	1428.255062605028
50	2	1439.7537641309739
1	3	1973.2981534496773
2	3	1522.4553618346713
3	3	1462.1142936191723
4	3	1408.1982310968992
5	3	1384.6006067732878
6	3	1335.4007559975075
7	3	1320.5312743974207
8	3	1286.2511884864152
9	3	1263.6693805325383
10	3	1300.6803486489437
11	3	1274.156528443859
12	3	1265.3927195267554
13	3	1266.0950335926218
14	3	1244.13554242428
15	3	1281.5399432759766
16	3	1260.1750753891695
17	3	1256.247479805974
18	3	1252.1965234623137
19	3	1228.5984374586194
20	3	1248.9854655807255
21	3	1286.5929961093711
22	3	1274.0054615036804
23	3	1271.9632700267687
24	3	1272.6606172964416
25	3	1283.5704899348216
26	3	1318.911976786474
27	3	1308.8818934650617
28	3	1326.2245548695541
29	3	1301.3959285211079
30	3	1246.2783569261017
31	3	1311.9473026540154
32	3	1297.4550626576358
33	3	1334.4429468001902
34	3	1360.256569584924
35	3	1353.5421779634296
36	3	1306.7388161173387
37	3	1337.9871320307325
38	3	1340.1777490754866
39	3	1372.601361406793
40	3	1352.4580812549138
41	3	1420.9296186545014
42	3	1356.5452411924068
43	3	1443.600949136525
44	3	1372.4077155220739
45	3	1424.0463924407295
46	3	1487.1873664897978
47	3	1470.8152478601653
48	3	1401.6118757472625
49	3	1449.0501706246205
50	3	1441.1265787143943
