k	rep	MSE
1	1	0.9476757327006242
2	1	0.7171277214713287
3	1	0.6823320929374689
4	1	0.653356096716255
5	1	0.6460177518745037
6	1	0.6268780753128308
7	1	0.6116243506952094
8	1	0.6056790585904334
9	1	0.6187826692138834
10	1	0.5987344306545462
11	1	0.6084717777495017
12	1	0.5938848806725464
13	1	0.5789416478631803
14	1	0.5746272519744439
15	1	0.5929083726009365
16	1	0.5851790423043991
17	1	0.5924306173125473
18	1	0.591888327799319
19	1	0.5881034254839137
20	1	0.5935804037573549
21	1	0.590485498278836
22	1	0.6189194411476397
23	1	0.5777621638593854
24	1	0.5826136356925761
25	1	0.5896200859190484
26	1	0.5988801090611572
27	1	0.5948499122497463
28	1	0.5948731961899862
29	1	0.6272869200031314
30	1	0.5932690498622775
31	1	0.608080163260121
32	1	0.6232161686765838
33	1	0.595160151844039
34	1	0.6083161949844731
35	1	0.6030093698734744
36	1	0.6548621908960119
37	1	0.6515164021697757
38	1	0.6274032156758838
39	1	0.6393039504907689
40	1	0.6303187660276017
41	1	0.6584889476501418
42	1	0.6209257319197324
43	1	0.6421629840683343
44	1	0.6488710927309067
45	1	0.6252514276548877
46	1	0.6730766056126598
47	1	0.6583674095962674
48	1	0.6543096347366705
49	1	0.6354042674878544
50	1	0.6799038211142214
1	2	0.9701686117621807
2	2	0.7137268510062004
3	2	0.6668264592790925
4	2	0.6496025872929561
5	2	0.6378132864823703
6	2	0.6084508870411982
7	2	0.6036056604723237
8	2	0.5998887903889173
9	2	0.59042841876787
10	2	0.5916605743002933
11	2	0.5858182497252779
12	2	0.5997365864441587
13	2	0.6019274365154825
14	2	0.5812358661682049
15	2	0.5839526682834519
16	2	0.6026617728668057
17	2	0.6045964029663696
18	2	0.5863447355944954
19	2	0.5884002851166982
20	2	0.6274610749528815
21	2	0.5823018649792969
22	2	0.5934828956188717
23	2	0.6033644987895573
24	2	0.5972620314963113
25	2	0.5831564549890973
26	2	0.6143109516463178
27	2	0.6232986682595617
28	2	0.6196395633684184
29	2	0.632427819921646
30	2	0.6223724445731534
31	2	0.6448730912227596
32	2	0.6250911638950887
33	2	0.6341579796168532
34	2	0.6441480227496069
35	2	0.6394357645627762
36	2	0.6479491290181872
37	2	0.6462735511518629
38	2	0.6410371176080705
39	2	0.6671189547599728
40	2	0.6429835880171235
41	2	0.6368883352220701
42	2	0.6492551804255553
43	2	0.6677702799571795
44	2	0.6477320197224298
45	2	0.6725016542840752
46	2	0.6917250286642938
47	2	0.7115731911595895
48	2	0.6749795160991611
49	2	0.6802640448073366
50	2	0.6704257511261742
1	3	0.9421567418682036
2	3	0.7253802964403415
3	3	0.6912619070422895
4	3	0.6730625989911511
5	3	0.65496386904071
6	3	0.6363016472481126
7	3	0.6245759670882791
8	3	0.6082116116784048
9	3	0.5949201215248767
10	3	0.6118100019819335
11	3	0.5966109005097022
12	3	0.5958423005639092
13	3	0.5980449605560401
14	3	0.5770336232220483
15	3	0.5993304365927494
16	3	0.5957128428456833
17	3	0.5875329291301146
18	3	0.5780282372307153
19	3	0.5634076010026496
20	3	0.5736827711150521
21	3	0.6022671788502172
22	3	0.5859936096677131
23	3	0.5951813358340245
24	3	0.5890776731299558
25	3	0.585761945463786
26	3	0.6181254640505868
27	3	0.594063407824019
28	3	0.6105633092120616
29	3	0.605675264645942
30	3	0.5685712936078017
31	3	0.616674924903317
32	3	0.5991498728053013
33	3	0.6143731420622225
34	3	0.6392517744527845
35	3	0.6330097561310566
36	3	0.6217321135883851
37	3	0.6210142295221136
38	3	0.6559391811987033
39	3	0.6407033937656181
40	3	0.6219086050377698
41	3	0.6579962611550011
42	3	0.61986352208748
43	3	0.6739835979929469
44	3	0.6390503862528968
45	3	0.6838805926705093
46	3	0.6593562977783258
47	3	0.6541280826141818
48	3	0.6581746009824434
49	3	0.6809887615182606
50	3	0.6583925919250178
