k	rep	MSE
1	1	0.995579650302485
2	1	0.8061173827273033
3	1	0.7634909084517008
4	1	0.7313657676594607
5	1	0.7155873006935196
6	1	0.7135783094129708
7	1	0.7100395178457878
8	1	0.7067188144256723
9	1	0.71818777094718
10	1	0.7231196070288446
11	1	0.7092903147302656
12	1	0.7338203395528134
13	1	0.7478469033048218
14	1	0.7630955869694634
15	1	0.7702315931101278
1	2	0.9643129246569947
2	2	0.8118594691075335
3	2	0.762639137883096
4	2	0.7250176722953057
5	2	0.7202321886140564
6	2	0.7138380298311126
7	2	0.7044484630869857
8	2	0.7075672439229889
9	2	0.7107650786670705
10	2	0.7175836202335563
11	2	0.7283985680878082
12	2	0.7362429425341833
13	2	0.7607997238096696
14	2	0.7663003726321793
15	2	0.7757406260177732
1	3	1.0054622930488937
2	3	0.8343850788677241
3	3	0.7863275128601437
4	3	0.7465722103171502
5	3	0.7308882127214851
6	3	0.7282785917753571
7	3	0.7176019693030025
8	3	0.7231812592225997
9	3	0.7315197341489726
10	3	0.7360473801665309
11	3	0.7365673379595713
12	3	0.7474613047654015
13	3	0.7665993732182618
14	3	0.7805071508251391
15	3	0.8094003673755018
