k	rep	MSE
1	1	0.9917630994818704
2	1	0.7922333783575646
3	1	0.6981638408560001
4	1	0.6714436069608497
5	1	0.6411444372383022
6	1	0.6222507976142502
7	1	0.5980316226441462
8	1	0.5924817362276422
9	1	0.5934918035392853
10	1	0.5853233840459615
11	1	0.5877655351911139
12	1	0.5892099578407815
13	1	0.5888660918503051
14	1	0.6037317932903931
15	1	0.6176144324869439
1	2	0.9923068052154463
2	2	0.7827956469275602
3	2	0.6941269696153258
4	2	0.6588582016634158
5	2	0.643215890390969
6	2	0.6185745626685908
7	2	0.5982563078600073
8	2	0.5991025814783172
9	2	0.5911500113362332
10	2	0.5856882429267375
11	2	0.5860718258885579
12	2	0.591515273543069
13	2	0.6038316735690451
14	2	0.6100068183053214
15	2	0.6220079367631233
1	3	0.9843223264095837
2	3	0.7726008336958214
3	3	0.6807054072280803
4	3	0.6462497081574685
5	3	0.6208617449629085
6	3	0.5955080757428198
7	3	0.5861759451997817
8	3	0.582035681786669
9	3	0.5774247595800837
10	3	0.5682114691955265
11	3	0.5716719211910842
12	3	0.579458777038801
13	3	0.585749653488421
14	3	0.5851461476104024
15	3	0.600251180791846
