k	rep	MSE
1	1	0.9348670932760621
2	1	0.7642418995639273
3	1	0.7124403140221109
4	1	0.6728292849370161
5	1	0.65360537671472
6	1	0.650420032773962
7	1	0.6399260107456772
8	1	0.6320305356813278
9	1	0.6317842157642295
10	1	0.6442532276678333
11	1	0.6544145006415552
12	1	0.6593722061486251
13	1	0.6780591659265008
14	1	0.6986972536912325
15	1	0.7173793403249759
1	2	0.9609050403382174
2	2	0.7661113536497968
3	2	0.7019402277113027
4	2	0.6767270452905113
5	2	0.6475894342228179
6	2	0.6442219769723816
7	2	0.6396213536796459
8	2	0.6358483738520945
9	2	0.6459330057740473
10	2	0.6469205267721638
11	2	0.657815033623721
12	2	0.6807039132664169
13	2	0.6801657634514168
14	2	0.695719360033642
15	2	0.7272872648190962
1	3	0.9564565425509771
2	3	0.7581453137574062
3	3	0.6998366143903247
4	3	0.6754585630038986
5	3	0.6597687354168537
6	3	0.6578488520064455
7	3	0.6529450799548041
8	3	0.647569163958883
9	3	0.6530220867502005
10	3	0.6581194925935678
11	3	0.6697694096844597
12	3	0.676984887207038
13	3	0.6869182832146031
14	3	0.6994057132116666
15	3	0.7285795878046366
