k	rep	MSE
1	1	0.9661339504625122
2	1	0.7484317620558741
3	1	0.7150761499737144
4	1	0.6973175456367828
5	1	0.68822078407447
6	1	0.6809991209135114
7	1	0.6801704102049546
8	1	0.7095523605096749
9	1	0.7162782066633399
10	1	0.7451361678628691
11	1	0.7711911689373137
12	1	0.792923502019358
13	1	0.8296845375310806
14	1	0.8514703495993718
15	1	0.8791872744614454
1	2	1.006785632563608
2	2	0.7611762848897061
3	2	0.7306545540304747
4	2	0.7278836805930649
5	2	0.7107313072953138
6	2	0.7032544012039743
7	2	0.6901140209417194
8	2	0.7159068130136612
9	2	0.7263394014543223
10	2	0.7422699660861721
11	2	0.762066547529165
12	2	0.7816389994740026
13	2	0.7961082387931641
14	2	0.8482881186096638
15	2	0.8755790469811895
1	3	0.976131990457284
2	3	0.7443039881773448
3	3	0.7045049178799663
4	3	0.704448979041198
5	3	0.6862368370873843
6	3	0.6914477066171648
7	3	0.6974923822035154
8	3	0.7095240468171062
9	3	0.701600750846698
10	3	0.7289685541474683
11	3	0.7470048812533129
12	3	0.7810320111232509
13	3	0.8037727324291277
14	3	0.8432779256087093
15	3	0.8814509482559406
