gene	S0	S1	S2	S3	S4	S5
TTLL10	0.0782312041702368	0.0	0.05743718348301503	0.031404981058547485	0.01424917637374711	0.029267769120402486
MIB2	0.02360068327061428	0.04202931209960966	0.03762836307028773	0.04430799915236729	0.01988727199269623	0.040638083416944394
MMEL1	0.060142776228470356	0.0029947164270678504	0.06384163051019182	0.007223746680335413	0.04252757103997031	0.05539545822495522
PER3	0.051498725643640185	0.022493658420432886	0.049721716232346475	0.022064480026518028	0.06126819420593715	0.00042421774528813455
CASZ1	0.035172634890411995	0.03543386077087124	0.05572176990243394	0.017029659225792054	0.0204821776963715	0.06112580155925153
PRDM2	0.026364506125683848	0.02994582770083889	0.04009819047341152	0.0323180169100401	0.03702374786194888	0.056414585061437414
IFFO2	0.06026724852835946	0.02114260161255762	0.053628343966360896	0.02024859355567138	0.010759985421861577	0.058740852913646946
ALPL	0.0014146984712455713	0.047011869278673124	0.011054386708804896	0.026648449202313372	0.06977848279430483	0.08891838709318675
WNT4	0.02753303089798534	0.06271282167034191	0.018506272091036967	0.03994669393848126	0.04967834764716196	0.004638439163823085
C1QB	0.011692294001503553	0.027829513261782103	0.01380112629024874	0.07157793828256613	0.038466785408447834	0.040376150989965214
KDF1	0.05076907966514811	0.029404353199487258	0.057998184805295776	0.005988603246657833	0.05452166708388049	0.021296155456441423
HDAC1	0.07285120186532965	0.04842403412680949	0.034944008331974474	0.001151195438897923	0.04827156268954843	0.02074119888228558
GJA9	0.047964923446023544	0.034103340198377165	0.056222375389785036	0.02898531074512449	0.014333256786908168	0.02416490575595504
HEYL	0.0036926433728560774	0.04425354554763834	0.019843921715220154	0.03341016254318863	0.04539719509660058	0.09182806448503554
PPIH	0.032998705406796384	0.02794769872739067	0.010196020183441559	0.07302117172674745	0.017851072965088078	0.04093511998335981
ERMAP	0.033106834508213334	0.047427110940436334	0.0	0.05474536917691987	0.039091688807518045	0.042065820393545394
CFAP57	0.007929300465042938	0.06309565995504886	0.025002424144105667	0.06321184064705467	0.026483377869170852	0.0
SLC6A9	0.032529136851477986	0.059075308089434606	0.04934284411816911	0.039122938455322304	0.0045387406500505215	0.007292733646855204
HPDL	0.05623972415421099	0.0	0.026013698943663944	0.046569909206668765	0.059772251396371774	0.02451263227797312
NASP	0.07060831719410678	0.03453833156123462	0.04595717039464489	0.0	0.03040083418360207	0.056654389184197705
DMRTA2	0.024856809616069044	0.05207296190881302	0.030894887061060354	0.022406515781955932	0.04739980225055768	0.04707562434193369
TTC39A	0.028922221720432236	0.038665531736359664	0.06125779487643	0.004350629035919398	0.06495674389260624	0.020404000457141157
SSBP3	0.07421163604674055	0.0	0.01320848808610349	0.0659384327013099	0.03112878107149699	0.019001122277102246
DHCR24	0.030674869153292754	0.00979398589259974	0.018335540701029458	0.06007386779861866	0.051637635428310576	0.04209893914279552
