gene	S0	S1	S2	S3	S4	S5	S6
TTLL10	2.1002238348356252	7.338107399467219	3.707277833016561	9.24958355841046	2.220446049250313e-16	4.422858001171871	8.572109056950655
MIB2	1.9002776006033215	4.5285330329232245	6.0925500998512785	3.4846802892616746	8.296281106277293	3.922965508989081	6.863663492373531
MMEL1	0.9088038366441635	8.053838399372625	4.035328075050272	8.327660737233732	2.524138825298893	9.874946674534272	1.0298684163294025
PER3	5.003192083046944	2.273874255400818	6.583826280792636	4.535876817904128	2.220446049250313e-16	10.098860232989466	5.224259499392046
CASZ1	3.198674739699785	9.696479214739261	4.9656341549250484	5.0037771706520155	5.356824711008542	3.8710396755819234	2.2894261212672338
PRDM2	1.6180846427195728	5.309959934400673	4.143931531399839	4.821507917301435	8.976477471364234	6.611830682648111	3.82267492397754
IFFO2	1.1670998060176714	8.379814814824094	5.012232195063737	8.876615316927463	4.050927521031827	3.927976180283678	3.62761174220902
ALPL	5.728412833494844	5.210275721631573	2.220446049250313e-16	3.306928578252743	16.240041233422286	5.228181316353812	2.220446049250313e-16
WNT4	6.280999138622444	2.220446049250313e-16	7.711673636841683	2.497820333487904	7.221235167290457	4.720579333460966	5.714123069890266
C1QB	3.820945164180929	1.2846838774272733	1.610067384817976	2.427953634811935	10.914389895166629	3.921801127317262	12.224857681519273
KDF1	8.210398701749904	8.265086721582193	3.712025969579058	3.982547012933238	2.220446049250313e-16	6.736180502105496	2.6428289933347866
HDAC1	5.2758581063397125	2.4397375233601473	8.041123852698789	9.23979412571428	2.0190593149655105	6.696335837278166	2.220446049250313e-16
GJA9	2.6163791102226477	6.970527366337677	7.7962235250023655	4.087856301940017	1.026509419998491	4.270899676863101	7.327989089812601
HEYL	3.7153166880347683	6.82204951011712	2.220446049250313e-16	4.614453580089334	16.850887939512944	3.427349434519126	0.6383153757884683
PPIH	1.5394223938554576	0.823781329258388	3.4081899177592443	5.491528239954214	10.52902150479636	1.9338035860958342	12.798697092042847
ERMAP	6.915149700234889	0.8255564345081314	1.1000824900935795	6.203871142306044	11.370583053413522	1.0622298608187357	8.532885524732023
CFAP57	5.072500904376944	2.220446049250313e-16	9.022470384623675	2.220446049250313e-16	6.404442893524997	2.372224209825247	11.552622525748907
SLC6A9	2.220446049250313e-16	1.1192789528354432	14.233433088759863	3.441107696534517	5.591990615165258	4.471497735131426	4.859932387696013
HPDL	4.151717474710675	1.3197936500062344	0.9371497129644091	7.875718782877144	4.169888854352388	7.844850184705866	9.465218125910269
NASP	4.295542753122818	8.385301183132027	4.619465994679962	9.903249647692114	2.7145644058015233	4.5637204186475016	2.220446049250313e-16
DMRTA2	3.366707547891308	3.7088680327405275	6.2358286896782165	4.357379683201938	10.100612448681318	6.192017983173982	0.5847464977900283
TTC39A	5.9516639603192125	6.695067786558475	6.729833893944502	1.568702656106204	1.8651055355421873	9.614599037005545	0.5635784970393232
SSBP3	2.043007539392841	2.220446049250313e-16	1.61425463966577	10.25473409563682	3.6372446334879878	4.566862758848937	14.647855292517526
DHCR24	2.989179516287252	1.4299235285694394	0.7190084381992481	5.123357918639627	9.005058009781	6.527707169320332	10.539114591634151
TMEM61	5.213770576941324	2.220446049250313e-16	2.106579753994218	6.540429573777811	5.387930648778677	0.6822726827104	16.42956628458516
PCSK9	4.389098278160785	6.763094499639671	4.3766929151536775	7.684928057309536	2.8160236718705636	6.887587519011456	1.401300793987371
DAB1	5.160054705150707	6.655493582880817	5.288442683025934	9.038903607661483	2.220446049250313e-16	5.441805427849285	2.643296285547293
PTGER3	1.6936022973542728	6.701093168222844	3.5507574567517906	8.876923139723646	0.342884021950125	6.011248650223163	8.143558569647434
NEGR1	2.9360308434364653	7.6828928094563675	6.570959727349084	3.283133706587951	2.220446049250313e-16	10.204158256180591	2.9048484138456816
