gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
SAMD11	0.03412825408167468	0.01771630204660009	0.0	0.04073463690934455	0.020994088006875227	0.01996522517377287	0.028913724345147097	0.02549991783069968	0.046588257360280605	0.0131451940508773	0.008141093480035833
TNFRSF4	0.017449175664176704	0.015143618273141424	0.011439938980929987	0.026504865356229607	0.016668366730747706	0.029032861456148237	0.031654272888281536	0.02565512735624953	0.030973713168034166	0.03902335889461675	0.009692428295367534
ACAP3	0.027865698287095536	0.010415457495087259	0.022881260040455348	0.034534960318981234	0.024320383393510763	0.02731027853987665	0.00938293441763112	0.0230376352022831	0.04434412291417229	0.036669653272951123	0.0
DVL1	0.05328623966399853	0.02476811533860276	0.018601651894243936	0.020787732738144382	0.042551966319435905	0.019995672234035318	0.0	0.03213205494090865	0.03165389102811038	0.027517237768890705	0.0
ATAD3B	0.009786630863580038	0.004364489731899122	0.05151818216553141	0.010900262489909865	0.024670314232567592	0.047745511554668205	0.020005952986012283	0.009281027023221101	0.015982438056285284	0.05991348181025239	0.0057078909805418025
FNDC10	0.022879043813076837	0.011344741595346855	0.035301134598370386	0.06341877994022416	0.03771243248408599	0.0	0.0	0.03163234483921989	0.033484621049491875	0.01738026640709362	0.015409167426317972
CDK11A	0.00982840454891104	0.005412738211159711	0.04500364600870355	0.012203091819462334	0.021962906435630567	0.052101703303109474	0.03825970033716697	0.011947107028198413	0.01912249221904877	0.02136063118735394	0.01684449595128604
CALML6	0.025714658542328496	0.02591893380097799	0.03636244587092025	0.0	0.01997761648463905	0.016072122806919727	0.03934291794963091	0.006539024148840791	0.040154798095607874	0.03601679069461172	0.0
PRKCZ	0.012450796700268382	0.00467976541544692	0.05030101470164594	0.020453965581258022	0.0	0.018567726173596057	0.03670842826119175	0.009540711216773667	0.012538524794726842	0.02800936244429006	0.04294724310934593
HES5	0.03715943924967653	0.012468410609975559	0.023152148418381844	0.0	0.034082380689334106	0.03406630022172102	0.03102651433846168	0.01596814912396508	0.03623980632866681	0.04145707470569041	0.0
