gene	S0	S1	S2	S3	S4	S5	S6	S7	S8
TTLL10	0.025257365200949754	0.0	0.0111558096838798	0.0005306418114370741	0.008055981386094889	0.02729604896309984	0.016984974269557924	0.0	0.03193191531939508
MIB2	0.005291919156392972	0.02688595397828238	0.012111958890768548	0.017398675467506	0.021937181253810768	0.016387846331620215	0.010959488869437766	0.014917982394442746	0.011244713538147103
MMEL1	0.014193572627075227	0.0015578369009135408	0.0	0.02620527462602856	0.0	0.027011792493430963	0.029131337899863486	0.017021481727286018	0.024862427322963586
PER3	0.0066291697780892535	0.0	0.016517025349619092	0.009740122452581502	0.012585993627871266	0.025971245175188597	0.01093779561600299	0.029447193364303157	0.018484057164186503
CASZ1	0.016965408634777704	0.01370477208253675	0.001977302045940815	0.009903323895480735	0.006934151204366992	0.013629607567077854	0.027164744966146386	0.01866279921940076	0.025749232813869954
PRDM2	0.008587576365178902	0.02735559084507807	0.004016933870970349	0.022276810286227015	0.014058693097757674	0.01516336332055288	0.02494128601388277	0.01646063434664734	0.012217798472659074
IFFO2	0.010334543403684783	0.008302791648502197	0.004636457399838424	0.020164947720218852	0.013223009860898461	0.014466944867322635	0.03444275760027771	0.0040087607778356875	0.02488669813183096
ALPL	0.01796176713135048	0.013385758948755171	0.013874882815691459	0.03294658540633498	0.014325667165804716	0.016615883611074866	0.018117525236761186	0.025775865002986825	0.0
WNT4	0.004279732696807747	0.01766768887955355	0.03121604591861941	0.00626769509117086	0.023621760688095267	0.005614582519201458	0.010630033316699922	0.023170067938426044	0.008271722706099821
C1QB	0.029580166647190702	0.025807653200045994	0.02351034943447314	0.010730750855626277	0.022762779897259923	0.015325041584055177	0.0	0.0	0.0065063150986717656
KDF1	0.03382880163392283	0.0	0.005012243769488194	0.006300690499646242	0.0	0.008759733530908979	0.020414328626726562	0.025867638096856237	0.030926356563649494
HDAC1	0.002433939448621055	0.00027041689677008424	0.02031216442222303	0.006376573788747495	0.0032856078526912395	0.020829692054221628	0.03592810038740928	0.021829175468111535	0.021015301670238982
GJA9	0.0	0.028174674717348424	0.0	0.009450699306180678	0.01893409457963587	0.019400815334534017	0.020135015154761314	0.022219007610423922	0.019238808932410572
HEYL	0.012079610310095043	0.017593977602741128	0.017946836596934974	0.037098185199423594	0.012833105550397968	0.009879473885683228	0.018227814845904185	0.01827897729060902	0.003776681972430545
PPIH	0.018836429535144566	0.028900130706471683	0.026631167098316522	0.006274509717925527	0.0298204624786252	0.009192702828771302	0.011967200954472419	0.0	0.004083818591088894
ERMAP	0.014045769839930784	0.022328597962397705	0.0294144169087478	0.001984763529513405	0.027048125175040825	0.01504228758414678	0.017579033582242207	0.011843391124551378	0.0
CFAP57	0.010475011625045029	0.0286887607491697	0.03194974600235989	0.0	0.03028874058619362	0.0014584456332527751	0.0	0.010641454117849723	0.010960112879886082
SLC6A9	0.0	0.009412513292104933	0.034650663555017815	0.008058389331163804	0.01811652467123539	0.009407381668948627	0.00322151463763425	0.0016710864295057064	0.026294727995078208
HPDL	0.0323354346984385	0.0	0.022957675396390355	0.005874938210845588	0.016058168677842315	0.019800717379996963	0.020713362659346278	0.0	0.014438380085829304
NASP	0.0028443160417586434	0.0	0.011686790710307609	0.018759222768966757	0.00015921722325118942	0.020171259888889733	0.039797926478029884	0.02138027639948523	0.02274908298865683
DMRTA2	0.0018704625824245826	0.02149232354799687	0.013549366167654791	0.01850980105095187	0.006810800177057072	0.02412091278893289	0.017450980946624707	0.029498378199161242	0.009567080973214131
TTC39A	0.007031696548934746	0.0038165398381205923	0.005881588408683662	0.018154524347356656	0.0016858008885582713	0.024637073643653116	0.008452570609012467	0.042992611320530935	0.022150911900051376
