gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9
TTLL10	0.032169603809912614	0.027934831411856684	0.025795213229271117	0.005042367490528235	0.012610887702437911	0.0061432893427484595	0.0	0.0	0.022554868864411978	0.010118401581235685
MIB2	0.011788276683216425	0.006526892506834181	0.01652296443798705	0.01046275871653853	0.005723409826262112	0.022668046565642214	0.023669347309137813	0.018360741745513862	0.018229076249752164	0.011437526456886728
MMEL1	0.007878248325609556	0.018244009178516058	0.03928184771142565	0.013269518305741993	0.019307951481259605	0.02504216321475537	0.0	0.019696518582692085	0.00946877978672702	0.007803447121386165
PER3	0.011030379955456554	0.014173869839988334	0.027832722778248338	0.029264848119475013	0.00006725709217700752	0.006863093845985055	0.007722544964917095	0.010724647647217459	0.016664470969221527	0.019121399458865762
CASZ1	0.012226694180954059	0.01521819037277589	0.020299687324774482	0.018646452847872932	0.009629817672697473	0.031666627051680246	0.005101470924240734	0.015854434042599976	0.02455169821366618	0.004769782545727483
PRDM2	0.007382287487147024	0.005139407968495407	0.017858055955757766	0.01066574576115236	0.012448047277389726	0.03421869458962075	0.01797327115360474	0.024618484630204274	0.015063781446336081	0.011920424014543638
IFFO2	0.013073958805274302	0.017657442321156996	0.024634644435843584	0.00031276520692568807	0.02161093469828864	0.03129173259814457	0.0017559939686931818	0.009295181362440844	0.02281468903304445	0.01597351539023551
ALPL	0.007337680425150882	0.0	0.01712908527375117	0.025596845014104228	0.025579768157459257	0.02296954850311561	0.024982603703883065	0.007384466570873447	0.004525532101906289	0.01542531265669983
WNT4	0.008552044248587286	0.022162943815810566	0.0021363869148919106	0.025806723629198707	0.0012893591057062794	0.006728296737733493	0.025058973057620823	0.010707129339635746	0.010361789795792747	0.025228965726610538
C1QB	0.03523768019326379	0.009634494059011213	0.003308413088835753	0.003981465892545529	0.019673029701354216	0.009552288931076444	0.03179433080981889	0.0031323805305238277	0.014591822230212308	0.0021231566862561957
KDF1	0.012679781014296962	0.024464787291192648	0.01797147450725191	0.035887512032896036	0.01732901056699985	0.0	0.0	0.011580073112939833	0.015755790351040976	0.013900640350041531
HDAC1	0.007157532624897939	0.039127826923010166	0.02545774121271738	0.020036762070573557	0.0009883749212447918	0.020708125275773454	0.0	0.014332574850868583	0.0008511957963030296	0.027099162853131173
GJA9	0.0037183940100185353	0.0190163773772108	0.013282499755454055	0.005079835221952364	0.0	0.02330477480160393	0.0062366213092481994	0.0476326147886337	0.015171589621161512	0.02629265076906378
HEYL	0.002383749557525343	0.0	0.019622910314393158	0.017563227054607902	0.028563536723875346	0.023497807497071446	0.02746999944593502	0.007245404442737047	0.009971183949745646	0.011862775811380667
PPIH	0.03140222472024942	0.022966006932998027	0.0	0.0	0.01181898386340681	0.010833872628156745	0.026910717049220274	0.010575262344972521	0.0029922333790376814	0.02169444140498388
ERMAP	0.024020236396140017	0.015844311545297248	0.0	0.013280648423073265	0.0050572962327575756	0.02536918466175262	0.031226196768610957	0.00453627439279966	0.0032953201914805346	0.021237675267747093
CFAP57	0.01811809598569741	0.021735780868620137	0.0	0.011385337607128202	0.0	0.0	0.03150268043020173	0.015134344510667285	0.017469622554832174	0.014540239014555248
SLC6A9	0.00640787383696394	0.025127880189913583	0.02384042150796631	0.004000127616531367	0.0	0.0009770465533666952	0.02226576252657527	0.0	0.03073733584103691	0.012676045803194607
