gene	S0	S1	S2	S3	S4	S5	S6	S7
MMACHC	0.030745820774829336	0.01514397721290713	0.026589560384984827	0.02243225067312225	0.020707642979968004	0.03020292552754645	0.030106054188517764	0.015104547820026954
NQO2	0.02222469668190011	0.020054176802800798	0.028458652368753407	0.01782579744253018	0.0261599007491854	0.03498111467273195	0.041487719698205146	0.01507140713048722
ZNF169	0.024362178524848847	0.02120464484993862	0.031379377513487544	0.030238260834083684	0.017760248541546737	0.02045004019293527	0.03133328108046318	0.018024072759268157
EMSY	0.026721415233296648	0.029322188035664304	0.017633672828573792	0.02991674042476422	0.028737262715763812	0.03186300799606706	0.016619700061834473	0.0007347868782031665
RPS6KA5	0.029328619988523635	0.017499063254197186	0.031029755369793757	0.022433784848907724	0.017688254179656016	0.025207846725038476	0.021833530192950104	0.024055566251771462
SHF	0.034079177073817246	0.02203448370417453	0.03237228110565908	0.0008373739769508587	0.012028837028517382	0.03484319587370909	0.022631901140531457	0.019387181025816356
CCL4L2	0.03385775613668334	0.013052112700983049	0.03476906163528964	0.0053764016911345405	0.02401254082687613	0.03718039086069742	0.010590047137230907	0.022381351331756828
ZNF385C	0.03920467344336045	0.016427735138805695	0.02931010816407688	0.0018490409962916728	0.030013235258590155	0.025488707436189393	0.01723324620750478	0.011419923775025875
CCL4L2	0.03416162863202617	0.009716904873680102	0.03526498391886474	0.012031346421205813	0.018711162688060386	0.037326804767398185	0.015093459700435111	0.020695478872302
TNFRSF4	0.025045111055106897	0.029046112388462796	0.014303089628628564	0.02938967709894727	0.03132916245287256	0.01326401416337294	0.02283522549525692	0.030218220982874234
ACAP3	0.025652448675180677	0.04117541825315886	0.010601949485470556	0.023189056276862637	0.031984054576040394	0.005412530572206346	0.030101945819367128	0.01876591037746036
PRKCZ	0.04449842674349618	0.014963217040136765	0.016504670888511777	0.010740895696956293	0.025332345681684364	0.03163749954671212	0.002205728584938991	0.01862058816523472
HES5	0.021416431597101607	0.0405973732950224	0.005478070542403729	0.03934991797346542	0.015393797678508604	0.014153888736794868	0.03554475878082024	0.0264178624147134
UTS2	0.04041908372317782	0.01755794898838348	0.011134896297269041	0.028230593981453653	0.029788240894384404	0.02486981194465282	0.01901536590892004	0.0
UBE4B	0.03808324209487664	0.021660986880171377	0.02510224020269168	0.0049276935252225845	0.03170492924501037	0.013811131241425089	0.02157932681683826	0.015863358451508106
TARDBP	0.02080513707225265	0.03931612637490156	0.02494487448431026	0.023616925564579783	0.04673422982482949	0.0008588497419239733	0.012237147290235739	0.015351474100671378
MASP2	0.028125984569174197	0.011305807384438472	0.04005988554806834	0.03404901947270984	0.013384923217966384	0.017106254476864022	0.00531625555121128	0.03850419764885433
EMC1	0.006039093624850204	0.018735848760574512	0.03240771700592823	0.03851485316184038	0.01336963633622288	0.050810404603722846	0.022440902016530456	0.05328899175495342
C1QA	0.024820530129348484	0.027844962368625537	0.0068942597956228886	0.04392917919340003	0.019346889791126823	0.026103956320312566	0.018093750754872902	0.029212817252823067
E2F2	0.0349380701297112	0.022024563681819567	0.01051254931679554	0.013253234681551413	0.03842524324198849	0.02250153012124287	0.019824589159412806	0.0246400232254236
GRHL3	0.03730312667813336	0.022072560663093477	0.009656481577979952	0.01122465443553971	0.03454853419383623	0.01596065353826733	0.01339054908089915	0.039763594466164225
RSRP1	0.013163497190467584	0.044088504699272266	0.016747322365763925	0.04022802750947201	0.009624035838710479	0.019143569644427805	0.03125959407798125	0.03019335059990619
EXTL1	0.0174445991791234	0.027329279920284583	0.03133135374922778	0.02779336434543353	0.012084127241645207	0.03929537335988927	0.025403370525284345	0.02135397226584333
CEP85	0.039287845339084485	0.01202377933834449	0.018485983369368904	0.02457891065143848	0.031185993225656232	0.02893354470204457	0.0014635766974227618	0.01625571191668689
SRSF4	0.021181967606995655	0.04161452034029746	0.014426907498752086	0.018837757658348792	0.03473017798514383	0.024127400583200367	0.02033759234611788	0.01478713351802031
MATN1	0.011159541249384168	0.033881275844021785	0.03191646249304042	0.036938886362868524	0.005472585640863568	0.023243516737556754	0.03060044660843226	0.037857276259551355
TINAGL1	0.019661175235142284	0.035341089156232394	0.015807912899634034	0.033325357123460166	0.01216883725266268	0.0214535780594746	0.035380501787742484	0.02970051075196034
RNF19B	0.032632490371250475	0.016049396296809487	0.01684698850560974	0.018832040764727317	0.031658029998880476	0.03601687538952938	0.03509507232976337	0.004206617898167786
ZMYM1	0.03908994598836069	0.02412324132954507	0.009797112101272364	0.011953235358051062	0.04736565630394032	0.014753143410586556	0.012265578907297955	0.012432195633508274
PSMB2	0.014073557379353122	0.028639886806019962	0.03796130060781698	0.0276595259650359	0.012111120306159429	0.023911046535492985	0.027982943168216312	0.03552327259284769
MEAF6	0.014916734208882843	0.03857796653586218	0.01004108069598792	0.03984099098373986	0.020475791670481528	0.018282919821262636	0.04255407396496601	0.027642673615023067
SMAP2	0.022115178177857738	0.04579743512707609	0.015877808393730604	0.022541480307128683	0.020743776433240595	0.007806265828043749	0.023196545699662546	0.02908890226629151
ERMAP	0.017128225749869316	0.010858330053038283	0.03774306522746664	0.032974857443072596	0.027567174669517112	0.03339081165313448	0.04189227622800125	0.014344364206295562
SLC5A9	0.02657538404691647	0.03176445907187698	0.002555398851609835	0.03380560620704724	0.022184406996873945	0.03143262856746994	0.014274667873333763	0.031220637411343857
AGBL4	0.02144066707724524	0.045220416267883964	0.005703936057128962	0.023893594584003672	0.033270019127228434	0.016860641412701938	0.02240445926870111	0.023693145690792606
RNF11	0.011047749558596035	0.041293225440746775	0.031559799903279076	0.010347345693325585	0.02643936408807219	0.03185469495485426	0.02447925701750855	0.030117262518861168
PRPF38A	0.019466816791072303	0.03732468091863606	0.014277899463108293	0.02377803068163191	0.03725459579900649	0.004584513006645891	0.030116266058166752	0.037529967844721804
PODN	0.014466741805576512	0.03165841986512281	0.0228108278998152	0.03366349768291857	0.02095685848392777	0.01365313287218769	0.053992429643459884	0.025375972507736346
SLC1A7	0.03944462591530653	0.013551490069625048	0.011247151581991063	0.025261625913808317	0.02365880489097697	0.029978373713679146	0.006244134028838866	0.030075377648554228
TMEM61	0.014280497766144394	0.013854892578148262	0.06102924119115315	0.027572328245236085	0.0170765868691349	0.022166711898123977	0.025955554123574986	0.022065300705453685
USP24	0.03452945678468388	0.007364834828115634	0.018693704244611215	0.017520184605279758	0.035177564056439986	0.03184362426451927	0.033256043022017616	0.019057755173930196
PRKAA2	0.03568827751520217	0.01985464887149383	0.008251348685950682	0.03266515322377777	0.021476083251464273	0.022018389327062675	0.00909973225250018	0.03360516899529259
LEPROT	0.03605174574288665	0.00895065766471481	0.025775266973343428	0.013239221701151237	0.02819398368589226	0.03708176863434777	0.03197830165366289	0.005187867628642368
RPE65	0.03601929596644553	0.008352001802369335	0.017962611347631278	0.023668747255507258	0.02322182972161207	0.04867359270690523	0.021977953995387385	0.006389766160730718
RABGGTB	0.035179777200535854	0.011217425830708882	0.011021741136492097	0.036078284389195546	0.032780331694634	0.02732941677362199	0.018123122979250596	0.015465000046845303
PALMD	0.03699398720348553	0.011409654301709218	0.015921844607469756	0.035802929475674566	0.021802625773461433	0.024474766284245678	0.004808469435871347	0.02972628768767729
GPR88	0.01942254126036012	0.023247204154426243	0.013207659189212781	0.04053646691735976	0.020633155628824586	0.028085759172592255	0.0388826504184921	0.031211737098200732
ATXN7L2	0.03573882987685185	0.009834335496777662	0.024423913865023034	0.02475756102898712	0.016830615811950955	0.031781300785956305	0.012998853605695066	0.028203370975599443
SLC16A4	0.03300157602706089	0.01590564557668913	0.0388784663243432	0.0017574558512734987	0.048212946246971485	0.02212016870698476	0.005427257094491764	0.008750384839030094
PPM1J	0.02881144866735784	0.025861589702165944	0.028622642624823794	0.031575416665944996	0.01010098426022492	0.015929961671014545	0.016735306505989554	0.02162722039747708
BCL2L15	0.03585749511412903	0.016853090054196315	0.01684235959203566	0.03224585577327545	0.02986051531007998	0.015861151908623666	0.013904548474490925	0.016065397610220168
