gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28
MMACHC	0.03020907010263882	0.030209070102639072	0.030209070102639082	0.030209107604228392	0.03020910760422837	0.030209107604228715	0.030209070102639023	0.030209107604227976	0.030209295311471124	0.030209107604228774	0.030209070102638975	0.030209295311471335	0.030209107604227965	0.03020907010263939	0.030209070102638895	0.030209107604228073	0.030209107604228076	0.030209295311471512	0.03020929531147103	0.03020910760422806	0.030209295311470933	0.0302090701026391	0.030209107604228107	0.030209070102639034	0.030209295311471197	0.03020907010263897	0.030209070102639242	0.0302090701026391	0.030209070102638742
NQO2	0.027167676683206434	0.027167676683206483	0.02716767668320662	0.02715222748789776	0.027152227487897907	0.02715222748789806	0.027167676683206663	0.027152227487897553	0.02715421591750946	0.02715222748789801	0.027167676683206556	0.027154215917509054	0.027152227487897595	0.02716767668320674	0.02716767668320646	0.027152227487897373	0.027152227487897564	0.02715421591750938	0.027154215917509026	0.02715222748789757	0.02715421591750878	0.027167676683206562	0.027152227487897525	0.027167676683206625	0.027154215917509005	0.027167676683206556	0.027167676683206934	0.027167676683206618	0.027167676683206448
ZNF169	0.02617214683695195	0.02617214683695189	0.02617214683695208	0.026161884714355356	0.02616188471435554	0.026161884714355616	0.026172146836952157	0.026161884714355273	0.026168534102420576	0.026161884714355522	0.026172146836952043	0.026168534102420062	0.026161884714355335	0.0261721468369522	0.02617214683695191	0.02616188471435506	0.02616188471435523	0.026168534102420364	0.026168534102420177	0.02616188471435527	0.02616853410241995	0.02617214683695203	0.026161884714355252	0.026172146836952088	0.02616853410242009	0.02617214683695206	0.02617214683695246	0.02617214683695207	0.02617214683695195
EMSY	0.027535252044765906	0.027535252044765878	0.02753525204476591	0.02754488138496071	0.02754488138496055	0.027544881384960668	0.027535252044765868	0.02754488138496061	0.027545503796637425	0.027544881384960734	0.02753525204476591	0.02754550379663777	0.027544881384960657	0.027535252044766007	0.027535252044765847	0.027544881384960772	0.02754488138496073	0.027545503796637703	0.027545503796637633	0.02754488138496071	0.027545503796637623	0.027535252044765954	0.027544881384960748	0.027535252044765826	0.02754550379663772	0.027535252044765843	0.02753525204476583	0.027535252044765868	0.02753525204476579
RPS6KA5	0.028847102676889842	0.02884710267688999	0.02884710267688998	0.02884840778956163	0.028848407789561593	0.028848407789561794	0.02884710267688995	0.028848407789561405	0.02885288538049266	0.028848407789561797	0.02884710267688991	0.028852885380492806	0.02884840778956143	0.02884710267689013	0.0288471026768899	0.02884840778956147	0.028848407789561485	0.02885288538049288	0.02885288538049269	0.02884840778956146	0.02885288538049271	0.028847102676889985	0.028848407789561478	0.02884710267688993	0.02885288538049281	0.028847102676889898	0.028847102676889995	0.02884710267688996	0.02884710267688981
SHF	0.029624373841761906	0.02962437384176211	0.02962437384176206	0.029617722322330352	0.029617722322330356	0.029617722322330578	0.029624373841762024	0.029617722322330068	0.029621890805376017	0.0296177223223306	0.029624373841761947	0.02962189080537628	0.02961772232233003	0.029624373841762197	0.029624373841761968	0.029617722322330085	0.029617722322330082	0.029621890805376368	0.02962189080537606	0.02961772232233009	0.02962189080537607	0.029624373841762055	0.02961772232233012	0.029624373841762013	0.02962189080537618	0.02962437384176198	0.029624373841762055	0.029624373841762055	0.02962437384176185
CCL4L2	0.03045262309492822	0.03045262309492864	0.030452623094928414	0.03045230147403745	0.030452301474037404	0.030452301474037553	0.03045262309492834	0.030452301474037206	0.03045648736604906	0.03045230147403759	0.030452623094928317	0.030456487366049476	0.03045230147403712	0.030452623094928515	0.030452623094928424	0.0304523014740373	0.030452301474037186	0.030456487366049403	0.030456487366049317	0.030452301474037203	0.030456487366049494	0.03045262309492842	0.03045230147403722	0.030452623094928414	0.030456487366049462	0.03045262309492833	0.030452623094928313	0.03045262309492845	0.03045262309492824
ZNF385C	0.0308461959876457	0.03084619598764609	0.03084619598764584	0.030841473846108827	0.03084147384610866	0.03084147384610883	0.03084619598764568	0.030841473846108594	0.030848261489601295	0.030841473846108892	0.030846195987645715	0.030848261489602062	0.030841473846108462	0.030846195987645784	0.030846195987645895	0.030841473846108792	0.030841473846108598	0.030848261489601833	0.03084826148960173	0.030841473846108584	0.030848261489602027	0.03084619598764581	0.03084147384610863	0.030846195987645736	0.030848261489601986	0.03084619598764569	0.030846195987645365	0.03084619598764584	0.030846195987645694
CCL4L2	0.03078835051910984	0.03078835051911023	0.03078835051911006	0.030787384742953103	0.03078738474295308	0.030787384742953283	0.03078835051910995	0.030787384742952815	0.03078575652977516	0.03078738474295331	0.030788350519109914	0.030785756529775554	0.030787384742952725	0.030788350519110167	0.03078835051911005	0.03078738474295287	0.03078738474295281	0.03078575652977554	0.03078575652977535	0.03078738474295282	0.030785756529775492	0.030788350519110035	0.03078738474295282	0.030788350519110063	0.030785756529775485	0.030788350519109962	0.03078835051911001	0.030788350519110094	0.030788350519109848
TNFRSF4	0.02502736835344286	0.0250273683534428	0.025027368353442672	0.0250224763126126	0.025022476312612497	0.02502247631261223	0.02502736835344258	0.025022476312612944	0.025025083770759186	0.025022476312612188	0.02502736835344276	0.02502508377075938	0.025022476312612917	0.02502736835344227	0.025027368353442898	0.025022476312613055	0.025022476312612844	0.025025083770759078	0.025025083770759557	0.025022476312612865	0.025025083770759855	0.02502736835344265	0.025022476312612823	0.025027368353442644	0.0250250837707595	0.025027368353442703	0.025027368353442245	0.025027368353442672	0.025027368353442946
ACAP3	0.02426498267165426	0.024264982671653966	0.02426498267165403	0.02425603056395422	0.02425603056395415	0.024256030563953996	0.02426498267165408	0.02425603056395446	0.024258238304271502	0.024256030563953947	0.02426498267165413	0.024258238304271457	0.024256030563954468	0.02426498267165385	0.024264982671654084	0.024256030563954464	0.0242560305639544	0.024258238304271398	0.02425823830427155	0.02425603056395441	0.02425823830427155	0.02426498267165408	0.02425603056395442	0.024264982671654015	0.024258238304271505	0.024264982671654074	0.02426498267165384	0.02426498267165398	0.024264982671654205
PRKCZ	0.034340405714467635	0.03434040571446819	0.034340405714467774	0.034343146896602464	0.03434314689660205	0.034343146896602464	0.03434040571446744	0.034343146896601943	0.03434206823264594	0.03434314689660265	0.03434040571446761	0.034342068232647426	0.034343146896601826	0.03434040571446783	0.03434040571446785	0.0343431468966025	0.03434314689660213	0.034342068232647	0.03434206823264679	0.03434314689660206	0.034342068232647266	0.03434040571446787	0.03434314689660222	0.034340405714467524	0.034342068232647266	0.03434040571446752	0.03434040571446693	0.03434040571446771	0.034340405714467497
HES5	0.02364877060553907	0.023648770605538726	0.02364877060553888	0.02364234368990254	0.023642343689902454	0.0236423436899024	0.02364877060553889	0.02364234368990281	0.023639288771033506	0.023642343689902322	0.023648770605538983	0.02363928877103328	0.02364234368990285	0.02364877060553874	0.023648770605538858	0.023642343689902773	0.023642343689902773	0.0236392887710333	0.02363928877103346	0.023642343689902787	0.023639288771033346	0.02364877060553889	0.02364234368990276	0.023648770605538844	0.02363928877103334	0.02364877060553892	0.023648770605538775	0.023648770605538803	0.023648770605539014
UTS2	0.03308782608768	0.03308782608768039	0.03308782608768012	0.03308257833884915	0.033082578338848735	0.03308257833884919	0.03308782608767978	0.03308257833884862	0.03308439708531719	0.03308257833884938	0.03308782608768002	0.033084397085318455	0.03308257833884854	0.03308782608768024	0.03308782608768014	0.03308257833884911	0.03308257833884882	0.03308439708531818	0.03308439708531782	0.033082578338848756	0.03308439708531804	0.03308782608768024	0.03308257833884893	0.03308782608767988	0.03308439708531828	0.03308782608767989	0.03308782608767936	0.03308782608768	0.03308782608767983
UBE4B	0.029473586780251283	0.02947358678025151	0.029473586780251432	0.029465633557701234	0.02946563355770116	0.02946563355770133	0.029473586780251356	0.02946563355770098	0.029470407431859927	0.029465633557701362	0.029473586780251353	0.029470407431860295	0.02946563355770098	0.029473586780251457	0.0294735867802514	0.029465633557701088	0.02946563355770102	0.029470407431860253	0.02947040743186011	0.029465633557701022	0.02947040743186013	0.02947358678025144	0.029465633557701057	0.029473586780251325	0.029470407431860225	0.029473586780251308	0.029473586780251235	0.029473586780251398	0.02947358678025127
TARDBP	0.02244050704172465	0.022440507041724265	0.022440507041724535	0.022443239957404895	0.022443239957405017	0.022443239957404812	0.022440507041724688	0.022443239957405263	0.022438444995510707	0.02244323995740469	0.022440507041724633	0.022438444995510207	0.022443239957405346	0.02244050704172441	0.02244050704172444	0.02244323995740507	0.022443239957405183	0.022438444995510315	0.02243844499551046	0.0224432399574052	0.022438444995510322	0.022440507041724483	0.022443239957405138	0.022440507041724598	0.022438444995510287	0.022440507041724612	0.022440507041724782	0.022440507041724518	0.022440507041724657
MASP2	0.027537924567134456	0.027537924567134612	0.02753792456713465	0.027556621954038935	0.027556621954038955	0.027556621954038973	0.02753792456713468	0.027556621954038924	0.027552744235045282	0.02755662195403895	0.027537924567134584	0.02755274423504538	0.027556621954038848	0.027537924567134737	0.027537924567134574	0.027556621954038893	0.027556621954038876	0.02755274423504538	0.02755274423504538	0.02755662195403891	0.027552744235045497	0.027537924567134584	0.027556621954038803	0.027537924567134688	0.027552744235045397	0.027537924567134598	0.027537924567134883	0.027537924567134664	0.027537924567134518
EMC1	0.02425760392210682	0.024257603922106626	0.024257603922106834	0.02426696171764063	0.024266961717640773	0.024266961717640617	0.024257603922106942	0.02426696171764085	0.02426815800859649	0.024266961717640537	0.024257603922106873	0.024268158008596052	0.02426696171764088	0.024257603922106845	0.02425760392210676	0.02426696171764069	0.024266961717640777	0.024268158008596226	0.02426815800859628	0.024266961717640808	0.024268158008596205	0.024257603922106793	0.024266961717640718	0.024257603922106883	0.024268158008596177	0.024257603922106893	0.024257603922107213	0.02425760392210683	0.024257603922106834
C1QA	0.026497243746503554	0.026497243746503488	0.02649724374650336	0.02649116691247125	0.02649116691247107	0.026491166912470967	0.026497243746503276	0.02649116691247142	0.026485839930670677	0.02649116691247098	0.026497243746503422	0.02648583993067109	0.026491166912471376	0.026497243746503103	0.026497243746503543	0.026491166912471595	0.0264911669124714	0.026485839930670812	0.026485839930671093	0.026491166912471394	0.02648583993067132	0.02649724374650345	0.0264911669124714	0.026497243746503307	0.026485839930671187	0.026497243746503352	0.026497243746502867	0.026497243746503314	0.02649724374650355
E2F2	0.030385131176314712	0.03038513117631496	0.030385131176314698	0.03038829509685798	0.030388295096857722	0.030388295096857833	0.030385131176314525	0.03038829509685778	0.030391276545704	0.030388295096857955	0.03038513117631469	0.030391276545704882	0.03038829509685774	0.030385131176314646	0.030385131176314837	0.030388295096858118	0.030388295096857847	0.03039127654570453	0.030391276545704587	0.03038829509685781	0.030391276545704924	0.0303851311763148	0.03038829509685793	0.030385131176314573	0.030391276545704792	0.03038513117631459	0.030385131176314164	0.030385131176314646	0.03038513117631463
GRHL3	0.029989475137738125	0.02998947513773837	0.02998947513773806	0.02998794797981895	0.029987947979818692	0.029987947979818734	0.029989475137737864	0.029987947979818862	0.029993068051507095	0.029987947979818835	0.029989475137738024	0.029993068051507983	0.029987947979818762	0.029989475137737913	0.029989475137738218	0.029987947979819178	0.029987947979818918	0.029993068051507556	0.029993068051507754	0.029987947979818873	0.029993068051508167	0.029989475137738142	0.02998794797981896	0.02998947513773793	0.029993068051507966	0.029989475137737958	0.029989475137737316	0.029989475137738	0.029989475137738076
RSRP1	0.020611449510857714	0.020611449510857166	0.020611449510857482	0.020607520572713093	0.020607520572713207	0.020607520572712916	0.02061144951085766	0.020607520572713613	0.020606177702364784	0.020607520572712753	0.020611449510857603	0.020606177702364042	0.020607520572713686	0.020611449510857235	0.020611449510857433	0.020607520572713367	0.02060752057271351	0.0206061777023642	0.020606177702364482	0.02060752057271354	0.020606177702364295	0.020611449510857433	0.020607520572713443	0.020611449510857558	0.020606177702364198	0.020611449510857607	0.020611449510857714	0.020611449510857464	0.02061144951085775
EXTL1	0.025084255881760276	0.025084255881760113	0.02508425588176044	0.025095205151828812	0.02509520515182895	0.025095205151828993	0.025084255881760577	0.025095205151828816	0.02508598653886545	0.025095205151828903	0.025084255881760435	0.0250859865388649	0.025095205151828896	0.025084255881760675	0.02508425588176018	0.025095205151828608	0.02509520515182878	0.025085986538865217	0.025085986538865065	0.025095205151828812	0.025085986538864815	0.025084255881760387	0.025095205151828785	0.025084255881760515	0.025085986538864867	0.025084255881760463	0.02508425588176108	0.02508425588176046	0.025084255881760272
CEP85	0.03242610788923854	0.032426107889239025	0.03242610788923867	0.03243310566655263	0.032433105666552345	0.03243310566655256	0.032426107889238394	0.0324331056665523	0.032436421901103095	0.03243310566655269	0.03242610788923857	0.03243642190110419	0.0324331056665522	0.03242610788923866	0.03242610788923881	0.03243310566655269	0.03243310566655235	0.032436421901103775	0.03243642190110384	0.03243310566655233	0.03243642190110423	0.032426107889238755	0.032433105666552456	0.03242610788923853	0.03243642190110413	0.03242610788923849	0.03242610788923808	0.03242610788923863	0.03242610788923848
SRSF4	0.02466989737844787	0.024669897378447613	0.024669897378447624	0.02466441954581952	0.024664419545819372	0.024664419545819254	0.024669897378447606	0.024664419545819785	0.024665989239351586	0.02466441954581927	0.024669897378447714	0.024665989239351798	0.02466441954581981	0.024669897378447422	0.024669897378447735	0.024664419545819896	0.02466441954581977	0.024665989239351642	0.024665989239351805	0.024664419545819764	0.02466598923935189	0.02466989737844767	0.024664419545819806	0.024669897378447568	0.024665989239351847	0.024669897378447665	0.02466989737844727	0.02466989737844757	0.024669897378447814
