gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9
MMACHC	0.0331303972969549	0.012002874733883315	0.025233819882663436	0.019669672933686207	0.018777799628692787	0.028054385003982094	0.03605706907136896	0.010565894162704542	0.01830592588838053	0.01587579625266632
NQO2	0.027054428163289016	0.019750939297234316	0.028666912314363382	0.013944772267229177	0.03091492521926516	0.03441161074143581	0.05351398935202155	0.00912411744712118	0.01760240324140115	0.004269491399485073
ZNF169	0.02230237950927054	0.018438783161859307	0.03128593482136253	0.028661412712203828	0.01230983942042751	0.020806731074361536	0.036266802838888765	0.01679745961771469	0.029298704665648823	0.023662141665510374
EMSY	0.021477939169264892	0.026666030725962207	0.015034583401180034	0.027957378924813887	0.02448986319750147	0.03972388566822905	0.011048906771239458	0.0005198071274829142	0.01590613092911111	0.037193596013092425
RPS6KA5	0.029572055370948598	0.014977891554095115	0.03277762364870317	0.01927211245174212	0.016141742221981673	0.022506408457978577	0.02490865405496675	0.0224246682623935	0.028584662421395356	0.011493856607489037
SHF	0.03308620131813665	0.018464907895395264	0.03554863463200495	0.0	0.007642188290147182	0.03420449800882799	0.027486445387823424	0.02008962446675921	0.017376315962694178	0.01913531417881147
CCL4L2	0.03252760528473878	0.006462187434984769	0.037442439747459755	0.0	0.02467337421273903	0.038111805845392095	0.011509228664060664	0.02422152520933841	0.027028050112037	0.012393909647190395
ZNF385C	0.03644592983700718	0.010696530997401445	0.031501169062425366	0.0	0.027942684016369766	0.022965793117583892	0.0178452651124911	0.013381011899268182	0.028701152352845954	0.01758955621564034
CCL4L2	0.03488283257911586	0.004082004182441889	0.03737034934627582	0.009695081465585311	0.01617637424901242	0.03781621080708972	0.017386619249548374	0.022188597741044827	0.016470376505894814	0.011324411210785361
TNFRSF4	0.021705152825674763	0.029243078600974314	0.01035333048076492	0.028735856181770478	0.03150582840265626	0.012557849346926416	0.015051237847190087	0.027873818227256448	0.021213605489221257	0.03216673488366409
ACAP3	0.02352089267606514	0.04741044635643533	0.007561451705984917	0.01827463519591251	0.03004643473090025	0.0	0.022055602767052887	0.01910388704713289	0.027038408377941615	0.030101369007911837
PRKCZ	0.046520850618388086	0.012836236936145566	0.017439022291744797	0.0038374739806816254	0.027166706712305578	0.025994562227033467	0.0	0.017470395560397714	0.025426901594712236	0.0011481373495859277
HES5	0.02239248728573623	0.04747001765547925	0.0008811763277658663	0.03631794807373935	0.01225228961044422	0.00894545927370951	0.029951204917970802	0.023560288818514966	0.027554819938531424	0.023146398732962845
UTS2	0.04046563726036812	0.015981745932774332	0.007997621766345008	0.021487044107785843	0.026511047153730347	0.02191898779421533	0.013807174744117565	0.0	0.02157887141866417	0.02161230252412227
UBE4B	0.03590628910613512	0.019713640263473973	0.027133468873107816	0.0	0.031188779431166772	0.007769246848152828	0.019425364854899048	0.016604990699860538	0.038108763931690944	0.01392086090673247
TARDBP	0.016157296693979733	0.04570340075825191	0.024903208249978447	0.024231265916948637	0.05007069297976491	0.0	0.005970501379539949	0.019442656824835966	0.016836693802855043	0.02188262336889441
MASP2	0.026360386300287066	0.0072520853068728025	0.04155795279768336	0.0396816025094814	0.006075747257851117	0.011455471216927153	0.0005280001233178858	0.042884731149651086	0.00985446571251334	0.02390202336743194
EMC1	0.0031467316058169754	0.012655612830255385	0.029704191090700726	0.044424522749554274	0.011636537837014961	0.05723888882032232	0.019830639021837907	0.05372626360910445	0.02453030747970954	0.026930276979164988
C1QA	0.020096004294317456	0.026792360307104246	0.002488030367580155	0.04264540197663778	0.018246648894675685	0.02705006923112766	0.005870854559343431	0.02296636139480051	0.05223128990055598	0.021844448501100157
E2F2	0.036855168669316915	0.02206579187511035	0.008144982430936542	0.005041144438899474	0.043081248555851874	0.012873800067076854	0.020173911565141405	0.02308650834617837	0.024804911919962862	0.013722493010242018
