gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
MFN2	0.02170439632085446	0.012706261634464677	0.020023870434175462	0.011276267301211007	0.024701419874580917	0.008613014997463768	0.021495851946023565	0.013781511935647854	0.014170650845111137	0.014011037363027714	0.015369840546951402
MMACHC	0.022837574807527183	0.005596897896066123	0.019015852863214888	0.01971905926075064	0.015523581352573725	0.016886797416323297	0.02462583409398542	0.014512556054025124	0.017168630359051324	0.01029287201353936	0.015789418801023507
SNED1	0.02694744343404399	0.011945844125189781	0.02122488126786922	0.011156016747875402	0.024181315394109972	0.0085243810752911	0.013468406059453316	0.018489096733842626	0.007515760914116704	0.01646982760765589	0.0036688817066724507
PGGT1B	0.013766592178396113	0.010194501474093376	0.019986690904297714	0.008705786934303466	0.021615201765541898	0.020475977946506935	0.03492434827153319	0.021541155292998566	0.021224204276989397	0.014445298064775403	0.01787027338739699
NQO2	0.018271717790500568	0.010205171161606201	0.020778690137651566	0.011095861728046007	0.0156000770629519	0.022384912068536184	0.036880533282722706	0.01805119374493465	0.02009469109882856	0.0140328685048702	0.007019998961626499
MRPS28	0.014514288592195806	0.018004719979175368	0.020129595453139842	0.010153795283643791	0.02325462160924755	0.010312859971331597	0.027500768746856523	0.013185729875298105	0.019546970704182848	0.018732074329249542	0.015858536960400366
ZNF169	0.019061634102704672	0.015610194754126287	0.021588434501047016	0.02049064061396238	0.013536316477266382	0.013407311826766122	0.024442174376331824	0.011761882442524841	0.010493343420616719	0.01569826981228544	0.01284580707417021
EMSY	0.018699991321879036	0.022151839399084185	0.011221297838112841	0.018270812518702634	0.02110108118262901	0.025777791277792204	0.009246038688538594	0.0	0.017088882339648788	0.010739342602997153	0.017337395928895997
DDN	0.004300720247064219	0.017009200268303677	0.013933993825932658	0.02593259219812787	0.016950457362991455	0.019615169579267407	0.01896491205356938	0.015669774942212056	0.02145657859904202	0.02641850020963481	0.029500881535349743
ALDH6A1	0.021636972817350997	0.014296942693554773	0.016539708221628025	0.011540494476527888	0.026220959404928468	0.0058039038902535315	0.00812236096848745	0.017744788938693315	0.01591116196903708	0.019076771482206985	0.016715137937373264
RPS6KA5	0.020489982255595767	0.008804793708806886	0.02271263305087954	0.017289395357454638	0.01436305494897902	0.018435335549924048	0.017215789256664636	0.017691735190086554	0.013977346809327027	0.014481197411240387	0.014370268430349213
DGLUCY	0.020025225327314447	0.017809775794023226	0.016613153445294664	0.01310202707883423	0.008443337802260498	0.010856153554667198	0.01979400515739489	0.015506791242819482	0.021376308272396078	0.019656774438460332	0.016312071731486247
SHF	0.02678310883560447	0.014618579804375326	0.0224738681458351	0.0014213976264489743	0.0067384387198819755	0.02343891749822969	0.018148134970410273	0.017069730942463283	0.011721529232173514	0.012102757008843132	0.013772625073366943
MPI	0.012607770700246565	0.01670878200229584	0.029108077451046172	0.01878220581812594	0.012446492629947011	0.007054246064987053	0.020088229230686427	0.01483020457068289	0.019028914485157308	0.018598442786772237	0.01631074599004645
