	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13
10101327	0.0	0.01836215299654922	0.0057546294989822035	0.0	0.06028164439676526	0.030027732767374585	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10101589	0.021171645809287393	0.0	0.0	0.0	0.008287674772809842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10221262	0.0	0.03490134784436658	0.0	0.0	0.0	0.0	0.0	0.018983876158685256	0.0	0.0	0.0	0.0	0.0
10222853	0.025162879635572923	0.0	0.0	0.0013874795622278895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10248033	0.020061066972454744	0.0	0.0	0.0	0.030342033850095602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10298957	0.0	0.054134779150833284	0.0003760963006863284	0.0	0.023456244363614404	0.005051898748615227	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10435090	0.01671444436279646	0.0	0.0	0.0005556992736722652	0.0	0.0	0.0	0.0	0.0	0.0	0.018211936251480744	0.0	0.0
10684501	0.003545392937591741	0.0	0.0	0.006428893613946386	0.0	0.0	0.0	0.0	0.0	0.0	0.0147690194102599	0.0	0.0
10866165	0.0036550447187064595	0.0	0.0	0.0	0.0	0.0	0.0	0.016214147096192694	0.0	0.18890880749497072	0.0	0.0	0.0
11157783	0.0	0.008094917633266734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023363899606144174	0.02964686337588316	0.026064311585846604	0.0
11319389	0.0	0.0	0.028425162199487188	0.0	0.0041702163011160965	0.0	0.0	0.0	0.0	0.0	0.019627467598950243	0.0	0.0
11326252	0.027957480772182564	0.0	0.0	0.01226869762713491	0.0	0.0	0.0	0.0	0.0	0.0	0.0049836283558475905	0.0	0.0
11327005	0.027671606458351355	0.0	0.0	0.008657708168435111	0.0	0.0	0.0	0.0	0.0	0.0	0.004043824382740043	0.0	0.0
11345331	0.010787167123877783	0.0	0.0	0.0	0.0	0.0	0.0	0.022032653173189296	0.0	0.0	0.0	0.0	0.0
11392518	0.012598736964071204	0.0	0.0	0.0	0.0	0.0	0.0	0.021547763247124187	0.0	0.0	0.02197686444207927	0.0	0.0
11413170	0.0	0.0	0.0	0.02818405451650176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04902635655151152	0.0
11453772	0.051037727240694296	0.0	0.0	0.007007155406855518	0.0	0.0	0.0	0.010894331073272864	0.016625186115352655	0.0	0.022716205491604358	0.0	0.0
11606935	0.028301489927193956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020100026981815504	0.0	0.0
11616707	0.0007466889672018523	0.0	0.0	0.0	0.014193608173398374	0.008127733174008271	0.0	0.0	0.0	0.0	0.027503809368401085	0.0	0.0
11619606	0.006278412757657039	0.0	0.00024848490417983	0.0	0.018198821054937194	0.0	0.0	0.0	0.0	0.0	0.008003870196249147	0.0	0.0
11652071	0.020272760522685986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033376221766369934	0.0	0.02756165664780563	0.0	0.0
1243685	0.0	0.021766944169210874	0.023676209081625422	0.0	0.0	0.0	0.025974129160033072	0.0	0.0	0.0	0.015660124168134282	0.0	0.0
14498577	0.0	0.009245782223008517	0.037352156615526176	0.0	0.00362823244928641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14641578	0.0	0.0	0.00625389875440951	0.0	0.013181771107990691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15387421	0.005808614587260978	0.0	0.0	0.030120011966621375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08461185530137937	0.0
18414513	0.0	0.0	0.06629854424388296	0.0	0.0	0.021226746094347323	0.016105267027491404	0.0	0.0	0.0	0.02138118227308916	0.0	0.0
20112377	0.0	0.018140662086695347	0.01502997447710219	0.0	0.000704344497556272	0.03898814679609477	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20120255	0.021684426322905508	0.0	0.0	0.0	0.0	0.0	0.0	0.027742521607322605	0.0	0.0	0.007643009161772872	0.0	0.0
20124619	0.0	0.0	0.0	0.03220472521776554	0.0	0.0	0.0	0.017436039008087514	0.0	0.0	0.0	0.08874731141624236	0.0
20139562	0.00349281445749329	0.0	0.0	0.0	0.021751668321137313	0.0	0.0	0.004050530708281472	0.0	0.0	0.0	0.0	0.0
20147440	0.0	0.0	0.007639010505364848	0.0	0.005155778925447111	0.05065662462555226	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20152393	0.027906169369721973	0.0	0.0	0.03974884944478334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20156469	0.0	0.05523960816393339	0.03412192834957365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03938710495722762	0.0	0.0
20173942	0.0	0.033037394014139576	0.0	0.0	0.0653347581905495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20185860	0.0	0.0	0.0	0.0053947972489987745	0.0	0.0	0.0	0.0	0.0	0.09152780417775161	0.0	0.0	0.0
20187042	0.0	0.0	0.0	0.0	0.0	0.03385618027231589	0.039720075265580794	0.0	0.0	0.0	0.0	0.0	0.0
20195344	0.01788631683990636	0.0	0.003794587975803795	0.0	0.0	0.0	0.0	0.0	0.0048487009598056265	0.0	0.006894577886930221	0.0	0.0
20197364	0.0	0.028371887262251472	0.005569890261346491	0.0	0.018445663327771963	0.03148614271491313	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20204538	0.0	0.002490333869224146	0.005209418642076288	0.0	0.009790661475717175	0.03318116225808975	0.0	0.0	0.0	0.0	0.004602402053908398	0.0	0.0
20214850	0.0	0.012579279953256403	0.08050046830776818	0.0	0.0	0.014219299527252207	0.0	0.0	0.00402910393849048	0.0	0.0	0.0	0.0
20225925	0.00937821574188108	0.0	0.05343837300167888	0.0	0.0	0.0	0.017858663014721617	0.0	0.0	0.0	0.0	0.0	0.0
20232474	0.001499168474715822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03031384930168311	0.0	0.0
20242958	0.02934074034048008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007775646928217572	0.0	0.0
20251553	0.01711793175395681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026550325102780388	0.0	0.0	0.0
20252720	0.008480277766021106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017855552100118292	0.0	0.0
20254902	0.011077546556524643	0.0	0.0	0.018026413308740632	0.0	0.0	0.004892269041575361	0.0	0.0	0.0	0.0	0.0	0.0
20260284	0.0	0.0	0.0	0.03558766782755897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20267709	0.004087220214622163	0.0016286602948865293	0.0016687047464877675	0.0	0.005981028500503941	0.0	0.0	0.0	0.0	0.0	0.016090463021570602	0.0	0.029625513312285502
20271359	0.009926743486261408	0.0	0.0	0.018888319710244374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20275399	0.0007971793962959849	0.0	0.001678568562050819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042725677216565436	0.0	0.0
20283691	0.0	0.020638670972212215	0.0	0.0	0.002767847030294339	0.0	0.0	0.009757087903750128	0.024814954263716653	0.0	0.004935221328529748	0.0	0.0
20299973	0.0	0.0	0.0	0.0	0.03740350591844312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20358955	0.021040958980851808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20371236	0.0	0.0	0.003011555976884093	0.0	0.0	0.025556517494207353	0.05833719192407347	0.0	0.0	0.0	0.0	0.0	0.0
20376029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14608911004065972	0.0
