	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
TTLL10	0.0004129863663569958	0.004296892732511177	0.0	0.0023353676122994473	0.005631140303921572	0.0004802998435859705	0.0015154914914288985	0.002908142034106919	0.0	0.0014627115702831371	0.0	5.922387761566223e-05	0.0037128182565164957	0.004034008121896652	0.00024674419136683836	0.0005313173417462984	0.0015910365381638974
MIB2	0.003119953655527133	0.00044429001933410584	0.0005971507420396797	0.0012819182561740242	0.0011034032890965665	0.002533983696617952	0.0035010467367798197	0.0029437562655948717	0.0	0.0009093510652500138	0.002753037418333945	0.0009658774045325489	0.0	0.0037119564205791438	0.0020527777010545985	0.001988705357104853	0.001712025706018208
MMEL1	0.0	0.004323308700693333	0.00041457057121226993	0.001821580805090244	0.0011885059786768339	0.0005480814721887945	0.0007137633711368635	0.003728730886413213	0.0026085452749421145	0.0033924017702187566	0.0017608087936151465	0.0	0.001665018094371894	0.004281714865487347	0.002422964484435041	0.0	0.0030259502776311584
PER3	0.0	0.0006136541226996011	0.0024332756619339915	0.0020492834195833223	0.0027315505565231706	0.00044105546552095646	0.004032938067492017	0.004296421940373153	0.0017526240617661128	0.0018917864556391556	0.0029647000313613946	0.0	0.0008591184569014542	0.0023225902209381304	0.0	0.0036038598461138106	0.0002468874669017286
CASZ1	0.0008272718939027608	0.0035130001959615374	0.002935522544052529	0.0	0.00022142185729732926	0.0	0.0036068501996740863	0.0	0.0	0.004788187671349365	0.0023116326197906247	0.0006381368820556784	0.001048958725815528	0.0015094975654487614	0.00474660597696602	0.002417348676016205	0.0036738940755596584
PRDM2	0.0025014039690732333	0.002150066254212133	0.0006228234469394304	0.002272344083889109	0.0	0.0004156649091395913	0.0001207834002570909	0.0	0.0031654122620935563	0.003370913266641088	0.004785475745282957	0.0	0.0	0.0050369033568883805	0.0018622749439034009	0.002074079483627307	0.0036833548823168917
IFFO2	0.0006812001269536725	0.003301112919627101	0.0	0.003056346324624671	0.0019088594033351992	0.0012870034939934684	0.00013967251865841776	0.00277846932968834	0.00097657319803895	0.0027876984125790433	0.0	0.0014475303576737498	0.003307743283802284	0.002022277365202015	0.0032588463493935125	0.0013203338435466316	0.00331977436731512
ALPL	0.0012525034587242362	0.0	0.006299597246466575	0.00017762586053262868	0.0	0.0017926226591420185	0.001457745098748969	0.0	0.004930536290827048	0.0	0.001755010532601222	0.0013743914739292402	0.0	0.0018716256338748305	0.007387131506577131	0.0019340139663450258	0.000596634555949638
WNT4	0.0031450009479878126	0.0	0.0019667798109243625	0.0023757974264859297	0.0	0.003395914259146578	0.0010844355468464847	0.00291883604204925	0.0023454506585734473	0.0035727855935520176	0.0	0.0038917891480364994	0.0012832784665458739	0.0	0.0	0.0013308876541362035	0.0009703194837302485
C1QB	0.004094313057401562	4.481650374685445e-05	0.0017214842399311985	0.0	0.0032989196567841713	0.0023165708177027224	0.0029386817261226636	6.704344894938394e-05	0.002972452644092136	0.0	0.0020886236058728193	0.0	0.002776106232482037	0.0022421179374445435	0.0010110477520890234	0.0008096067114990026	0.0017959854557774034
KDF1	0.0004114535368416674	0.005358420207647548	0.004003911980862799	0.0014806490238778497	7.331345006979154e-05	0.0017881414948537004	0.0	0.004217779877316631	0.0	0.002534661283205847	0.0	0.0	0.00459322240532136	0.0033579549751352354	1.2952344699808528e-05	0.0	0.00020989987600413866
HDAC1	0.0	0.0022317549854651703	0.0026856821970527326	0.005269902433564983	0.0	0.0029252244546522	0.003097773813357138	0.0029191097164983763	0.0	0.0018042187358020972	0.003862473524682315	0.0	0.00030312114506737136	0.0	0.0016466938058633308	0.0	0.003176034613555578
GJA9	0.0008257963428604264	0.0020498132108061596	0.0	0.003840715615057881	0.0009117990937985124	0.0	0.0	0.0015168662862017678	0.0	0.0036959809015570267	0.006312118067114909	0.005296900129971283	0.0004304486398286492	0.0	0.0033314840782522302	0.0028401680550831218	0.0003362967809616131
HEYL	0.002404749305439578	0.00015324042978406114	0.0038150103132265035	0.00110680110006268	0.0	0.0021106120283952566	0.00010773647502227996	0.0006953224234280999	0.0037061630587559417	0.0	0.00037203088287664443	0.0022452896215243447	0.0	0.00447291812445116	0.006119452477530649	0.001825951045444378	0.0021761240287240706
PPIH	0.004475700709856771	0.0	0.0	0.0019596096010998532	0.003179162642745879	0.002360417927152235	0.0007677820610738327	0.0	0.0018551460222662277	0.0023114096766321543	0.0	0.003992843263594829	0.004343827608256857	0.0	0.0010270127711925414	0.0	0.001846747014084036
ERMAP	0.004714290718280828	0.0	0.0025980266523939937	0.0036502940456188157	0.001211239999953465	0.002418614150375633	0.0	0.0	0.0017746516439992401	0.0007800247727926418	0.0028604866072397556	0.0	0.0	0.00164645774190779	0.0014596489136166253	0.00230319428869509	0.0028655107408777918
CFAP57	0.003236774389744315	0.0006233708745213319	0.0017291031427534595	0.0008536301689979116	0.0015448420774354626	0.0031948090329210186	0.002526944065152113	0.00030660599647215793	0.00011738207067791733	0.0	0.002464686260568349	0.007164327168212596	0.001827288975625378	0.0	0.0	0.00241019151506268	0.0
SLC6A9	0.002712588775643036	0.001989233619845707	0.0	0.0018641311259904607	0.0	0.001709493025960015	0.010705268642889868	0.003180874835309695	0.0	0.001356366614550195	0.0	0.0006860027114401754	0.0003738006826792218	0.0015365917395204582	0.0	0.0013282036364954258	0.0
HPDL	0.0013684661293171948	0.00020867336655383875	0.0031437644522083817	0.003489546285108092	0.0038679447741694285	0.0	0.0032939156563633596	0.0015742273103935237	0.003497947449769978	0.0015841440136897139	0.0	0.0	0.004382311696610748	0.0008613468568145464	0.0002291848831130759	0.0	0.000256571736554782
NASP	0.0	0.0032604082570528805	0.0015645949993668316	0.004676682702639225	0.00045974033563400197	0.0031777953321980917	0.0	0.002725145520522975	0.0	0.0033016264128252547	0.0010396167973619642	0.00022391298243802394	0.0002858560375496139	0.002324449180474991	0.00542226322704754	0.0004377550929584013	0.0014046139636335877
DMRTA2	5.96096949092207e-05	8.002376197875718e-05	0.001830760354886335	0.0010856194222509776	0.0	0.005354974251515305	0.004775413525071471	0.0	0.00241929981897334	0.0002859076888265446	0.0032049906026352664	0.0	0.0	0.006527653282120279	0.0013372647932449497	0.0028852271377316063	0.0028032276955114416
TTC39A	0.0	0.003022959155850766	0.004067943773919325	0.0005108524275909374	0.0	0.0007594486506244792	0.0010102202888315872	0.003599923513650914	0.0012176411116707065	0.004850372801127164	0.0030408391468110855	0.0020011121379624485	0.0	0.0019989455971881082	0.002121761194741689	0.0021683694100806975	0.0
SSBP3	0.002749766096348663	0.0	0.00029427789579866475	0.0052101525982579605	0.006557156590966865	0.0	0.002130609373205083	0.0	0.0011561513630831972	0.0010258272722584979	0.00334648001818425	0.0004450830761605788	0.0019409251208342068	0.0009117876216910884	0.0009281605283460046	0.0	0.0002481293427766085
DHCR24	0.0027691203691695148	0.0001838887871349478	0.003045787008808723	0.000951959318404459	0.004300295402213303	0.0	0.002752898872398709	0.0	0.0033401102416783586	0.00017308843503968853	0.004052462445814507	0.0	0.00012579585438721153	0.0027931420094317477	0.0020778331324991677	0.0013319651234241065	0.0005213352529821381
TMEM61	0.004077261062552355	0.0	0.0019919111581608536	0.0026400616885474994	0.006521574709275379	0.0005893769957218648	0.0026065474760280155	0.0	0.0003261694167456104	0.0	0.002047744685507156	0.0017097251114409722	0.0013500711854976693	4.4685321952267245e-05	0.0	0.0011893714751940554	0.0016510110516945544
PCSK9	0.0	0.002192446458587684	0.00035954962605603	0.0026476462113771164	0.0014857452877953372	0.003458779803899665	0.0	0.004327505155217685	0.0016859005094660797	0.004131827977415836	0.0006778986894261142	0.0	0.0028333245769500024	0.0017916691197271725	0.002099181115296406	0.0007098591012867483	0.0026874108261317835
DAB1	0.0	0.004753353946839257	0.0025634782978127186	0.0038410344300040594	0.0021315446589821752	0.0	0.0004420234536553923	0.0006919944394879826	0.0	0.0032430445750089836	0.0024410098337858573	0.00013236244674861528	0.0	0.004195848255502899	0.0	0.0028733953057459767	0.0038652771373500184
