	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
TTLL10	0.00036671786262876163	0.0	0.0044154294054382075	8.556782478860995e-06	0.003751162659603311	0.0019883978990976035	0.005768528700850063	0.0	0.0037841821609435828	0.0024603999000753557	0.0	0.0017736999772472166	1.179011294937214e-05	0.0007848784084371902	0.00025563270239789803
MIB2	0.002961324072439281	0.0011046246100115634	0.0026923446618104803	0.0006119557705743276	0.0012398706620870964	0.0007671955848201158	0.0009142267050513052	0.0011842430711153798	0.0	0.0030956088786481518	0.0033707484375227895	0.0028324594644509107	0.0017343518425937314	0.0015035402056056983	0.0020412301951821853
MMEL1	0.0	0.000873786377721384	0.004608585743879684	0.0	0.004397401840703962	0.001594161070645098	0.0011391096008367364	0.0023449081173241826	0.0013633017860345778	0.0009298376500708428	0.0026611078192855008	0.003276991143230838	0.001118668911528053	0.0	0.003493001254094768
PER3	0.0	0.002274179293191302	0.0015146669992296164	8.688063918642576e-05	0.0033870127948119042	0.0014863011659933558	0.002764442220593387	0.003539330848341427	0.0005327094982892454	0.004556526217738652	0.0024825178263556923	0.0	0.0004038371410880473	0.0036276255003377974	0.00024604495768717387
CASZ1	0.00015198662039877018	0.0019925153399862473	9.39052364883815e-05	0.0018811566417314411	0.004783757632188659	0.0	0.0011727152716341992	0.0	0.0013940156186950648	0.005069776650065881	0.001139159077266084	0.003706703193303404	0.0019052191506076276	0.002537563737572619	0.003938185221919079
PRDM2	0.0026666671532762625	0.0010340849481120515	0.0003075311580574951	0.00021248478359850003	0.003078870887654203	0.002238760338292333	0.0	0.0009831285795329535	0.0	0.0006690671113611933	0.0056929585892213355	0.0036302602717892514	0.00237053319833338	0.0012937899324118795	0.004181410475588252
IFFO2	0.0007907183225712152	0.0	0.0038500425950470526	0.0016285692535896118	0.002896453061930307	0.003603693193176292	0.0010338487490069203	0.0010024233052579785	0.002837116103191384	0.0	0.0	0.002961879689582513	0.0025442814148710843	0.0015186743823069734	0.0028100468138998374
ALPL	0.0016537722353929583	0.0060052615856476385	0.0	0.0017630415055662468	0.0	0.0	0.0	0.0031444059060712955	0.0	0.0013269495207837993	0.0009085951102307912	0.00679171831618973	0.0021773735007962047	0.0015342528159351158	0.0009663778401792016
WNT4	0.0029017923686207544	0.002338984588039246	0.0	0.004300782681320655	0.002775638889985474	0.0030874260538937457	0.0002923454914245388	0.002865242861582066	0.001098381504043651	0.0007277052862375195	0.0	0.0	0.0013532865537070984	0.001320275550093974	0.000962855010522653
C1QB	0.003996232795398221	0.0021605930233316276	0.0004460815893632454	0.00033317768412368987	0.0	0.0	0.002760299883355414	0.0021871152351278372	0.003125278759374671	0.0032136230467975243	0.002627986609000915	0.0019379352046822503	0.0	0.00019924605239414605	0.0018361099402147852
KDF1	0.00018621197055257996	0.003563723789014216	0.006385057734572848	0.0015324988619646973	0.004456876266777337	0.0012950447012642448	0.0	0.00030665778398265695	0.004486920609540369	0.0	0.0	0.00011156047691723007	0.0009448888236177303	0.0	0.0
