	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
TTLL10	0.0011300448521895344	0.004379930622100735	0.00023303666056404492	0.002284849186104914	2.7569923536759535e-05	0.0018246423640817227	0.004373552927881373	0.0037884463773962948	2.0599328310494212e-05	0.0031135296509461423	0.0	0.0007990373455926334	0.0022349570471066377	0.0007069349454454975	0.0002734467534683368
MIB2	0.003603235684595794	0.0029341587083341063	0.001035258892191914	0.0015513383083254808	0.0	0.0024737418820558257	0.0006599057516755689	0.0	0.0011210851395264882	0.001924896875222983	0.0034752973503459645	0.0009479505336813216	0.002062375531721411	0.0015899402264145897	0.002700048633576699
MMEL1	0.0	0.003780369469823042	0.0012327210809862986	0.0015158820251386794	0.0005061082762280487	0.0018257194823424559	0.0015840387048595451	0.00181915138294664	0.0022796887030049596	0.003969625834317745	0.002152797335136242	0.0009804902300898667	0.002686909112367771	0.0	0.002939591027090268
PER3	0.0001755626186911035	0.0022451558832531837	0.0020889704015849557	0.0016888529971881274	0.0001265195412471807	0.002961053669253959	0.0023593816971966843	0.0014334053488272978	0.00347555627178434	0.0023688086946122787	0.0021997651310601105	0.0015244144831874204	0.0	0.0033489682988419806	0.000791779449540076
CASZ1	0.0005324968214475998	0.0006535645470397105	0.0019161363556125144	0.0005053938335896329	0.0020614573780821576	0.0037026488173620563	0.0010788820926014046	0.0021739004676268542	0.0	0.00507810859164414	0.001126800504337841	0.0011903520079825512	0.002701201437152991	0.002336119262237375	0.003512141884902893
PRDM2	0.00233700447002329	0.0011898208772447472	0.0016754611373692558	0.0019123669587248497	0.0002716784974982177	0.0018107183355905092	0.0	0.0	0.0013760756544831743	0.0032097016708594393	0.00476224227026831	0.0014535427451600805	0.002513323057049919	0.0011739973383334986	0.004382656704003847
IFFO2	0.0006021882620692549	0.002729652746121669	0.0	0.0027985488600574997	0.002359535690781097	0.0007628001365244226	0.001962318361421491	0.0029474785638772447	0.0016158552299777602	0.0022189664466708515	0.0	0.002498657494300259	0.003110343588788674	0.0013956733985358175	0.0023777322457378316
ALPL	0.0013471239587846606	0.0	0.0051502749427084936	5.8331078599031744e-05	0.001462182882850043	0.0015098294197775095	0.0008894065386802073	0.0	0.0028964959068772055	0.0	0.0016868642240863315	0.0020067689655885713	0.0052357258115948635	0.0023908176144281403	0.0030355407291213577
WNT4	0.0027817402149465276	0.0	0.00187117303246574	0.0033814831390760374	0.003976935252996922	0.0007607487686843594	0.0002452456435799129	0.002027811948957837	0.0034881878225375	0.002417038329904937	0.0	0.0023679107962871915	0.0	0.001641157716091924	0.0
C1QB	0.003806632280637714	0.0008111974109410407	0.002571388826281506	0.0	0.0004959281724116994	0.0029177430199402964	0.0028844817463837286	0.0028578095324650068	0.0014274132549878598	8.552217607182743e-05	0.0027708932215059793	0.0	0.0021548456505247303	0.0008969178402583901	0.0015429382832316367
KDF1	0.0009271862492520719	0.006232785887976946	0.00330797982992455	0.001513970376216164	0.0005147823005994456	0.0005261160930388986	0.0	0.003508132447960936	0.00035920872477630946	0.0032370402335877763	0.0	0.0019773322301129726	0.001094010950224656	0.0	0.00046499208430292766
HDAC1	0.0	0.0029398229225815727	0.002764850991372108	0.005192478446086307	0.0008488126965022209	0.0029472447532117416	0.0	0.000421097185783788	0.0011930648480788326	0.0015198476334255641	0.003166349714885082	0.0	0.0009134725876741904	0.0006804114250028426	0.0036166143333303583
GJA9	0.0009142414926144087	0.0019674752006905937	0.0	0.0040329110028443985	0.00222858441334545	0.0	0.0011220606425231944	0.00015341321953796848	0.0006579069145287102	0.0017926769849121583	0.0050141186589043475	0.0034616163761492435	0.0021026985727488254	0.0031116257293715686	0.0013193707821419626
HEYL	0.002406720459445707	0.0011285537690977744	0.0034591973533179155	0.0005643057116568181	0.0012997386368485521	0.000675580787670417	0.0005588442019656656	0.0	0.0024846299253708237	0.00014542967045891487	0.0014469360754361166	0.0027378509428899887	0.005489547387125844	0.0018229019911229704	0.003231091470187634
PPIH	0.004146205102020169	0.0	0.00011846181982243546	0.0031421708213081596	0.002951930364791983	8.961720369859093e-05	0.0024503562415012655	0.003640624727482694	0.0018782916994041338	0.0005213500697036042	0.000702126331435529	0.0030298603231504718	0.0019007624066086513	0.0	0.0007457013292013366
ERMAP	0.004162559965124544	0.0	0.0030209821164283164	0.004135331581242244	0.0	0.0001306102721028308	0.0013700639125879578	0.00028943846217510324	0.0009590081885394906	0.0008286795321209098	0.003372407108943107	0.0	0.0017670720546072434	0.002227203541994791	0.003886583278107208
CFAP57	0.0032700383425408627	0.0012372434045978778	0.001542847585586233	0.0007071942558376483	0.0037913231861273445	0.002150690284296978	0.0018003676802656459	0.0016645039269917593	0.0009574709999051726	0.0	0.002118677804025275	0.0038329257247011945	0.0	0.001972038794410921	0.0
SLC6A9	0.003256715859995134	0.0029020278547269955	0.0001248342798678673	0.0024173608388527766	0.0005577911172672908	0.007530254857146798	0.0	0.000604788058844976	0.0013757876907562045	0.0022671901613129093	0.0007516985779068716	0.0003334544326017692	0.0009863792617104648	0.0012784587209255262	0.0
HPDL	0.0018514637345170505	0.0005147560595658049	0.0022994033609791383	0.0029115433929461482	0.0	0.0021468314032087902	0.0030023507162862373	0.004130792601322638	0.003182516724487939	0.0019990440774092875	0.0	0.0017507936884988181	0.0009295415289782644	0.00021173367536172618	0.000547954667397218
NASP	0.0	0.003650378098573914	0.001958415038069338	0.004822253459367966	0.0017882630885187295	0.00029866839897969616	0.0009466323007729031	0.0	0.0007880451436476022	0.0026229833746892845	0.0009490796779612906	0.0008636475245756914	0.00427342973724959	0.0009364468110075486	0.0025240408645991353
DMRTA2	0.000615640448355186	0.001063104196748908	0.0038581385169100283	0.000837342129095283	0.0012473520745794663	0.004753198037034503	0.0009508931187472737	0.0	0.0003261754129913871	0.001016455224233561	0.00422746082599279	0.0007425191110611869	0.002662937657887966	0.0016944369887908497	0.003522228365127331
TTC39A	0.0	0.002043030467851529	0.003429206066738064	0.0014533091971287498	0.0012779980512878607	0.002058133553683604	0.0007116236008434296	0.0	0.0015841910027576901	0.004856477351080391	0.002194835822452887	0.002266522503220871	0.0020601777120271892	0.0028453789195611156	0.0
