	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
TTLL10	0.0005860337788405279	0.0	0.0027090757787225973	0.0047840585806581525	0.0	0.004999522899439473	0.0011921962607116963	0.0024851703021960356	0.0	0.002524633660834759	0.0	0.003860706422011404	0.0006229827392217535	0.00019301307666749797	0.004621031939598937	9.472693257292199e-05	0.0012377051121844175
MIB2	0.0032190268450185138	0.000789271488522745	0.0014892143417483531	0.0004158873163116011	0.002116819022488458	0.001161372631454036	0.0029238594797852922	0.001780054619192153	0.002626909255505188	0.0034399807259716496	0.0	0.0	0.0001704287162784211	0.0017434651259809243	0.0037189964946284645	0.0021483099902728643	0.001272819762456806
MMEL1	0.0	0.00018456268359182078	0.002187365215359818	0.00404812881438597	0.0007242777371656418	0.0010457828405550404	0.0008312081352129873	0.005019144615296529	0.0009678480065560951	0.0032325093580041725	0.002204767096474333	0.0022974670210139676	0.0	0.0	0.004531756367818282	0.00240051288617119	0.0028163586457412722
PER3	0.0	0.0018135771212567876	0.0020369819108630415	0.00011479123499127142	0.0009528851054411749	0.0027067360147183116	0.003914853675514833	0.003639750417241766	0.001445435545706863	0.004207060960103882	0.0017701813270190993	0.0018173474027991608	0.0	0.003395890633684103	0.0026577383816979716	0.0	0.0
CASZ1	0.0006471286679392299	0.0026647927323363175	0.0	0.003233990067072578	8.21077249064407e-05	0.0001723097759205609	0.004063126759569581	0.004790463858475329	0.0017303499969277538	0.0	0.0	0.0012907567381666243	0.002035733918437319	0.0026027526300481585	0.0006220361938504307	0.004819608336721904	0.0038494894178155593
PRDM2	0.0023810372839662254	0.001078037332185672	0.002656857977896208	0.0017465707683873776	4.3331262008600196e-05	0.0	0.00033216198714731054	0.0041380486235594385	0.004554063178102249	0.0	0.0023798502167323692	0.0	0.0	0.0019533928275049474	0.004849308759389118	0.0021067513165355847	0.0033369036103594978
IFFO2	0.0006969250350283329	0.0	0.0033759549359211566	0.0034070508750024607	0.0011360261663184194	0.0017085954888029682	0.0	0.0016438006276500374	0.0	0.0030560694442052848	0.0012759035827080555	0.002513967084918462	0.0036375628034684836	0.0013900962511236834	0.0016943634282829377	0.003112714743666551	0.0037381350358201516
ALPL	0.001216312868125849	0.006436919194092982	0.0	0.0	0.0017107775360131383	0.0	0.001132317985119742	0.0	0.0013060000040760287	0.0	0.005008105181567633	0.0003326277976008629	0.0011332318032454456	0.0020081462687474147	0.0030268574447487634	0.007184515355943781	0.0006285350003319565
WNT4	0.0032661037568881756	0.0014916202350579338	0.0025240236585849446	0.0	0.004228674440713744	0.00031755879947709196	0.0011719968355604362	0.002996493206812838	0.0	0.0020279507875217203	0.00334688362235194	0.0010693840090367874	0.0024309700966553124	0.0016931834639062923	0.0	0.0	0.0012416294162642778
C1QB	0.004171498216157353	0.0018251865453873424	0.0	0.0	0.0013243896175341979	0.0032485337664095097	0.002935111043423056	0.0	0.0024144470349793425	0.0007968748566117308	0.0017757624665664911	0.003293666264123916	0.0	0.00027380920944295107	0.0035379930040645748	0.0010145384690793506	0.001640790702090197
