	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46
TTLL10	0.0	0.0	0.0027729229924228827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008339634786645175	0.011453292312969373	0.0	0.004292255987009037	0.0	0.0	0.0	0.007969126171765439	0.005141847938650405	0.0	0.008839674544844007	0.0	0.0	0.0	0.0	0.0	0.0020403799644972552	0.0	0.0072352567386649745	0.0	0.0	0.0	0.008237304442498481	0.0	0.0	0.006523990509826798	0.0	0.001941349034234498	0.0	0.0	0.0031400768775462634	0.0	0.0008983861005010305	0.0	0.0024621051700844505
MIB2	0.002167575769419126	0.0	0.0	0.00521586901209527	0.0005669162889968763	0.0013647268878014974	0.003870104212046383	0.0	0.0	0.0	0.002169377503170122	1.614107099436658e-05	0.0	0.0	0.0	0.0012917717706172121	0.0019769023318264483	0.0	0.008285508599901773	0.0	0.0	0.008540473677671833	0.010280055518244995	0.00362618837501119	0.0	0.007981838371507673	0.004347752565615702	0.0	0.0013114316785937446	0.002092733198772348	0.0	0.0	0.0	0.0	0.002739938304398399	0.0	0.0	0.0	0.003490655535306771	0.0	0.0	0.0054365069771823175	0.0	0.0	0.003007654944165244	0.0007119774208068676
MMEL1	0.0	0.007649661053430572	0.003423846347113787	0.0	0.002537113739657726	0.0	0.0	0.0	0.007504614039599178	0.0	0.0	0.010178304203828115	0.002033027248422841	0.0	0.007694287364028584	0.0009355810184227593	0.002266925491406112	0.0	0.0	0.0	0.0	0.0032550586059337683	0.0	0.0	0.0	0.0	0.0	0.0005025119085372252	0.005005919076902889	0.0	0.0	0.0	6.175164629828537e-05	0.0015884366618478607	0.0	0.010922138610625538	0.0	0.0	0.007515461670704548	0.0034139224791133248	0.000468035638064634	0.0019073696960123262	0.0	0.0006408364813705767	0.0	0.0
PER3	0.0	0.0	0.001595916631029393	0.0	0.0	0.0006361143235317128	0.0026064321214431217	0.0038485227762921946	0.006287513931209375	0.00408193722206543	0.0	0.0	0.0015481050551529735	0.0	0.001138181767524648	0.0	0.0	0.0	0.006612864266652686	0.0	0.0	0.004013228210412616	0.0	0.007294486498791962	0.002516397375133026	0.0	0.003041158145933438	0.0018259220632888713	0.0	0.0	0.0	0.0	0.0	0.0005056415980085472	0.0	0.0	0.005394068384302673	0.0	0.006684465059363531	0.003613281511106137	0.0	0.0	0.00385313965708733	0.015141318125490187	0.0	0.0
CASZ1	0.0	0.004448161502597507	0.0	0.0	0.006299784608057519	0.0007232460821576404	0.002952794732483987	0.001303732449386139	0.0	0.0	0.0	0.0	0.003355183093135101	0.0	0.001670707491686066	0.0	0.006107876199346491	1.0889804772171206e-05	0.0	0.002528516987911595	0.008112549295431407	0.0019170658011633927	6.770757377289573e-05	0.0014843826675505888	0.0	0.0	0.002054849291010798	0.006133223871880294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006641547257007482	0.0	0.0	0.0	0.003884570350970217	0.0	0.011104920487357289	0.0	0.0	0.010690109157469069	0.0
PRDM2	0.00915703632256292	0.005426884169116414	0.002385032009849832	0.0	0.003102075703105064	0.0	0.0	0.00432465351837234	0.0	0.003206995084588927	0.0031346057574049846	0.0	0.0	0.0001665190790623658	0.0	0.0	0.004485223097412376	0.0	0.0	0.0	0.0	0.006356162204968784	0.004353171164377308	0.0	0.004596526587166481	0.0	0.0	0.0016625341690358975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006616146173793873	0.0	0.0	0.007548149373337553	0.0067138047094308624	0.0044898538711863716	0.0025235033823330926	0.0	0.0	0.0	0.0
IFFO2	0.0	0.0029928639967194705	0.0	0.0	0.007067427751355449	0.0	0.0	0.0	0.0	0.0003525905751113403	0.0	0.0	0.005183901595304238	0.0	0.005942883583942772	0.008750270184552546	0.0	0.0	0.0	0.013313637796675494	0.0	0.0	0.0006853984293777074	0.0	0.0007185947348700016	0.0	0.0	0.0	0.0	0.0	0.0	0.00104824456149981	0.0012337697499295937	0.0	0.005519381818646369	0.0	0.003357819875591399	0.0	0.004450718061640307	0.004800825879079824	0.010901420132922448	0.0	0.005000824002570411	0.0	0.0	0.0
ALPL	0.0	0.014751348931533261	0.0	0.0	0.0	0.0	0.006503792488906102	0.0	0.00028282888997758994	0.00922518775647394	0.0	0.0	0.0	0.004284727125601839	0.0	0.0	0.0030903079396525485	0.0017393669048642248	0.0	0.0	0.007529552096087028	0.0	0.004056590720463266	0.0012393124371772844	0.004521676265440342	0.00047104648462936846	0.0	0.00045237945118801635	0.0	0.0	0.001845654956809627	0.0029203423713512026	0.0027166791258141135	0.0	0.0	0.0	0.000978881354775891	0.0090561842618376	0.0	0.0015919703913683887	4.717481549028823e-05	0.0	0.0	0.0006009977833311276	0.0010018563872576938	0.0
WNT4	0.0	0.0	0.0015159144954406724	0.0077483864475332296	0.0	0.003876972065217577	0.0017393694855991953	0.003385038956790106	0.004026008561696517	0.0061404786276505864	0.0	0.0	0.0	0.0	0.0015429700932735625	0.0	0.004027631904143895	0.0	0.0023035581138357237	0.0	0.0	0.0	0.0	0.0	0.002282407534057639	0.0030354238232334313	0.0022800351023551635	0.0	0.0	0.0	0.0	0.009022435135157228	0.004822423353488718	0.0	0.009113691134453587	0.0	0.0	0.0	0.0	0.0014424955615566016	0.0	0.0022363684981619846	0.00020478191452541331	0.0	0.0002625173576460107	0.011164121555528097
C1QB	0.008915392910582602	0.0	0.0	0.0	0.0	0.006806666066607131	0.0	0.0	0.0	0.0015610450896541372	0.006217787178415335	0.0	0.006525026045539118	0.0031176096572630087	0.0	0.0	0.0	0.0026208875886384385	0.0	0.0	0.0	0.0004863104572811487	0.005882225630311912	0.0036324109787269107	0.0	0.0	0.0	0.0	0.009213622551612882	0.004381454966873859	0.0	0.0	0.0	0.0	0.0	0.0016646790243124334	0.0036922642358356295	0.005601291664785259	0.0	0.0	0.0015906625347908811	0.002024020117886856	0.0	0.0	0.0064557264047536665	0.0
KDF1	0.0	0.0	0.0015786651125641613	0.0	0.0	0.005357606497053963	0.002660289494045389	0.0	0.0	0.0	0.0	0.004243354492691759	0.0	0.0	0.007021770666237317	0.007308288674173438	0.0	0.0	0.00557565748420827	0.0011372615768260308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013572030111348466	0.0	0.0	0.0	0.0	0.0013659116769303493	0.0049396199913457894	0.0016712933199270368	0.012484783819224386	0.000694981650068916	0.006643706251654474	0.0	0.0011981373378719394	0.0	0.0029932806847046806	0.0	0.0008769591540587603	0.0	0.0
HDAC1	0.00025788845974601996	0.0048706095801505775	0.01198791860202797	0.0	7.43290478947198e-05	0.0	0.004769818339308511	0.0	0.00617716486507391	0.0	0.0	0.00040410311484054154	0.0	0.0	0.0	0.0020574033857600287	0.002477959940474428	0.0	0.006405207349022929	0.0008854926025572147	0.0	0.0	0.0	0.0	0.0	0.001869864379605753	0.007086479988437314	0.0	0.0	0.0	0.0	0.0	0.0	0.004971543762896937	0.0013674217401303673	0.004136279921663572	0.00013389861701275214	0.0	0.009117990601871916	0.0	0.0	0.0009864548687938208	0.0	0.0013161149067610666	0.009125777598445245	0.00023627269316253
GJA9	0.0	0.0	0.002354116479514335	0.004250787651063631	0.01334849731294335	0.0	0.0	0.006594719348490779	0.0	0.0	0.0032707078519287635	0.0023715475780685096	0.0	0.0005006701454176019	0.0027577921349982745	0.005899826562370695	0.0011185991481813616	0.0	0.0011101403164896727	0.0	0.0	0.0	0.0	0.0	0.007669517034628248	0.01057623410213406	0.0034261543967295653	0.0	0.003088612831590854	0.0	0.0	0.002388870858207544	0.0	0.0020311190517184213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006468165768438524	0.0006350605210061546	0.0	0.0	0.0
HEYL	0.00014649278717077138	0.006659574296019976	0.0	0.0	0.0008337095101901615	0.007504430849399146	0.0015717862002741093	0.0021556824959793244	0.0	0.0015548195148525027	0.0	0.0	0.0	0.0	0.0	0.0031605868721363674	0.0022448265807587624	0.0003329284051016103	0.0	0.0	0.008237535415639896	0.009717051333056791	0.007498327062905011	0.0	0.0020649747072871666	0.0	0.0	0.0	0.0009244063227468854	0.0019585639735647206	0.009357590296421962	0.0	0.0	0.0	0.0	0.0	0.0	0.00980845078700509	0.0	0.0	0.0	0.0	0.0	0.0	0.00456803944048327	0.0
PPIH	0.0	0.0	0.0010254657543753343	0.0107475896648142	0.003432661922335273	0.006303629844470434	0.0	0.0	0.0	0.0007272431129924716	0.0	0.0	0.0018303284419956803	0.007677871575635476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018352206745465857	0.0	0.0018294405240202017	0.0	0.0	0.0	0.000721187105235557	0.00020540371077605788	0.004967365444024661	0.0	0.0	0.00638323103373167	0.011246071458589807	0.0	0.0	0.0	0.0	0.0006409675790736946	0.0034443531122045944	0.0	0.003930852054799812	0.0	0.0013423100356123104	0.01326950266837413
ERMAP	0.007603220181757053	0.0	0.004555155565242818	0.0	0.0	0.0065040825162983795	0.004136395501938052	0.0002803957107394575	0.0	0.0	0.0036129434244479073	0.0	0.0008151026524090357	0.0	0.0	0.0	0.0004791165869790235	0.0012778604870132936	0.0	0.0	0.0	0.0	0.012786397861526452	0.0	0.0009710285353806209	0.011814745360123136	0.0	0.0	0.0	0.0	0.005248490390521756	0.0	0.0018870969673473903	0.002739463065559931	4.764900313368182e-05	0.004137120144948396	0.0	4.807235871677062e-06	0.0	0.0013609240978546223	0.0	0.0	0.0	0.0	0.004501250306103867	0.005531389039351058
CFAP57	0.0043475655494287	0.0	0.0011557974719138692	0.007763921809191991	0.0	0.0	0.0018255812273155429	0.004087748974670624	0.0	0.0005073795911627206	0.0036631863409344015	0.0	0.0	0.004939576805976699	0.0	0.0	0.0	0.013584686349535727	0.0038964835420683803	0.0	0.0	0.0	0.0	0.0015288637630531529	0.002918617862867825	0.0	0.0	0.004509431547522585	0.0	0.0	0.002922113612815277	0.009721673069043476	0.0002505745618126178	0.0	0.006605558539704396	0.0	0.0	0.0005632774862639548	0.0	0.0	0.0	0.0010701092825692292	0.00406725787887345	0.0	0.0	0.0
SLC6A9	0.003346082977122798	0.0	0.001774960852770928	0.0	0.0	0.0015644864913453888	0.0	0.0028498526207747818	0.0	0.0	0.0	0.0	0.0	0.0	0.001982327117129623	0.0024791778740995826	0.0	0.003002350013022812	0.0034961952341783877	0.010750467070866328	0.0	0.0022540299272100213	0.0	0.01941914229551027	0.0	0.00048569573665362	0.0	0.0	0.00033715304185999364	0.0	0.0059138401073058604	0.00027736055866730007	0.0	0.0	0.0033792743277454842	0.004165114901254932	0.0	0.0	0.004975678533158635	0.0	0.0	5.967836453147469e-05	0.0	0.0	0.0	0.009324966595949913
HPDL	0.0	0.0	0.0011661534907130686	0.0	0.0	0.006058612821329217	0.0013418851113323053	0.0	0.002608679932482921	0.0	0.0	0.0023695625443796416	0.00517139427332667	0.003582147212980231	0.00041517579624701504	0.0	0.0	0.0004723697048072299	0.003909076344527378	0.0	0.0	0.0	0.0	0.0050032438643597184	0.0	0.0	0.0	0.006889245040596564	0.0037393168953314968	0.0	0.0018776885703537941	0.0	0.0	0.0042257794328363065	0.0	0.00013394724530854158	0.005024505774474174	0.0018036511017303512	0.0	0.017982206316034255	0.0	0.0	0.0	0.0	0.003999391137948231	0.004020805120146144
NASP	0.0	0.0097704705359488	0.003407780686400819	0.0	0.00932442570640629	0.0	0.001661339966281228	0.0	0.0	0.0	0.0	0.002673852992667774	0.0	0.0	0.0	0.002681081789659441	0.0	0.0	0.006380235021408942	0.002730560275804981	0.0	0.0017108509672248357	0.0	0.0	0.0	0.0	0.00818128589912653	0.0	0.0	0.0	0.0	0.0	0.004474675889205897	0.011307667769571664	0.0	0.0007629225477112398	0.0	0.0015910638863416986	0.008154702039541235	0.0	0.0	0.0	0.0	0.005718464581802698	0.0	0.0
