	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34
10101327	0.0	0.003979616918524497	0.02077486160512371	0.0	0.0	0.0	0.01890854806349951	0.0	0.03612509322143197	0.0	0.0	0.0	0.047328807370792654	0.0	0.00912397593050271	0.013112306150675806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013710556599760762	0.014026202576926411	0.018189695480586472	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10101589	0.01415390727585463	0.0	0.002021971558736682	0.0	0.0	0.0	0.0	0.004524345654295762	0.014955255710043329	0.003600058903137181	0.0	0.0024207641960543895	0.0	0.0	0.03207978997867077	0.0	0.0	0.0	0.0	1.1846721156115782e-05	0.0	0.02065264143324971	0.0	0.028671303964788213	0.0030472721739100966	0.06681716071386357	0.0	0.0	0.0	0.01527706836836716	0.0153671440292354	0.0	0.0	0.0
10221262	0.0	0.0	0.0	0.0	0.0	0.05205764732177712	0.0	0.005913866189462841	0.0	0.0	0.008276898339873004	0.014049875151562021	0.03319981297534609	0.0007855161268478249	0.004040843788149715	0.0	0.0	0.0	0.0	0.0	0.017747282652160058	0.0	0.0	0.02088666638981705	0.0	0.03622085363039424	0.0	0.0	0.012082808021643769	0.0	0.0	0.006609847907411753	0.0	0.0
10222853	0.0	0.0	0.0	0.0186500544418652	0.020750110562290924	0.0	0.026553624194278997	0.0527041661134009	0.007268089642891573	0.0	0.0	0.0	0.0	0.0	0.007460347172611939	0.009118465043157645	0.0	0.0	0.0	0.0	0.04050529093401458	0.0002769147891319095	0.0	0.009299621104110718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10248033	0.015214590944677921	0.0	0.044760723819726164	0.0	0.0013184987145447716	0.0	0.015493834245892376	0.0271778470798816	0.0	0.0	0.0011177769754427613	0.0	0.0	0.0	0.011394154024510213	0.004355252211172025	0.0	0.0	0.012142099661070424	0.0	0.021777656207002154	0.011692724728724692	0.013520860678729929	0.0037519678246305897	0.0	0.0	0.0	0.0	0.0	0.0	0.0009182822447021738	0.0	0.0	0.0
10298957	0.007446899049394677	0.0	0.023869149326704316	0.0	0.024582582419075266	0.0	0.0	0.0	0.0	0.0037261607795310374	0.0	0.06787880776535703	0.058878758231095014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073709567770491626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008550107342662343	0.0
10435090	0.030700102746977657	0.0	0.0	0.0055060398112765155	0.03398334592226909	0.0	0.008480394692470831	0.0	0.0	0.0	0.0	0.0	0.002028644127733011	0.0	0.00015472105673981738	0.01745342940033037	0.0	0.02395600949367848	0.0	0.0031610453741509606	0.04222811542441501	0.0	0.0019371585099131022	0.0	0.0	0.0	0.0	0.002539150707009278	0.0	0.0	0.018245026436868563	0.0	0.0	0.0
10684501	0.03415675879148356	0.0	0.017453946830120644	0.0	0.0	0.0	0.009568546833299258	0.0	0.0	0.005681873303193089	0.0	0.0	0.0	0.015144111357331526	0.024775155043614515	0.0	0.014263715304430869	0.0	0.011756545126749533	0.0	0.02198002960062909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04578488626281492	0.0	0.0
10866165	0.009266406142682294	0.0	0.0	0.0	0.0	0.006792091553591487	0.0	0.0701180800881272	0.0	0.03294449562958999	0.02122995255551044	0.016479517631432912	0.0	0.0	0.0	0.0	0.0	0.008594298862260267	0.0	0.0	0.0	0.012699777789150725	0.0	0.0	0.0	0.021133212462191547	0.0	0.005366124822208544	0.0016412808011105383	0.0	0.0	0.0	0.0	0.0
11157783	0.0	0.021942646035154747	8.618657002654137e-05	0.0	0.0	0.007835779555636028	0.0	0.023441793286318027	0.016478094974020755	0.008302821662681741	0.010071091901389608	0.0	0.0	0.0	0.0010634194164427123	0.0	0.011314175344166894	0.01191542695934221	0.0	0.0	0.0010070440966127312	0.0	0.0	0.0036143635581317025	0.002863732968189871	0.0	0.03312756297630424	0.0	0.0058867613974310845	0.0	0.05823862543107875	0.0	0.0	0.0
