	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27
SAMD11	0.0	0.00094562797594035	0.0	0.0016067549670245416	0.0011805961969095868	0.0022392934327511746	0.00014985558913150728	0.0010418549992057037	0.0	0.0011193790151819067	0.0021817551041614838	0.0	0.0	0.0015270613686130792	0.0	0.0	0.0016447151468539747	0.0002835330898056117	0.0012085889230058473	0.0006155313148210178	0.0015773305756405585	0.0	0.000978482286368887	0.0	0.0006822898770743855	0.0006817342973923718	0.0009858851244679714
TNFRSF4	0.0002522054047061921	0.0007803229035462276	0.0	0.0006714996973378382	3.721520765632209e-05	0.0	0.0015598272437488928	0.0005574305901789261	0.0010274083316394943	0.0007948073031919125	0.00022261698489318036	7.988408391295813e-05	0.000194253747214341	0.00123003960030427	0.0015154524003015127	0.0005285073603750612	0.003039631464162218	0.0012800494924158456	0.0014586925935326776	0.0021219355312146002	0.0004313948459554248	0.00042515393816428237	0.0	0.0012387299878592124	0.0005730847781931624	0.00023851621713547657	0.0006788640317666842
ACAP3	0.00020741178693405626	0.0015711280888813192	0.0	0.001728743456495574	0.00011853658788889631	0.00011346255772399121	0.00046815083807921813	0.0007717353635212423	0.00024670020050353937	0.0005797678389648384	0.0008775082333522964	0.0	0.0017546211794486615	0.0006342163751552576	0.00017119657467263037	0.0014691454685304103	0.0010511032238962289	0.0013519532626658137	0.0016100438311462929	0.0008748692681922296	0.0011142618482747578	0.0	0.0005108149247690185	0.0008487678241041756	0.0013381893937293359	0.00019705289830877	0.0020747441896815564
DVL1	0.0	0.001147933280872994	0.0009190156476388151	0.00173677553601972	0.0005644656965580665	0.001152212558702589	0.00010620487005230646	0.0005826130563080237	0.0007540444186444352	0.00026978444963079426	0.0002706848739628148	0.0	0.0001083174430283208	0.002130518403260785	0.000738610140508178	0.001219588621455246	0.0	0.0017100201695120837	0.0008478669580230603	0.0	0.001083162433269987	0.0	0.0020411007209384584	0.0002659893644394383	0.000834969128207554	0.0016242513378517502	0.001856347182085706
ATAD3B	0.00020106107001890768	0.0	0.0	0.0008719218691652482	0.0	0.0	0.001077590870412738	0.0019161499288473118	0.002273384087874316	0.0016370015725688436	0.0	0.00045246207547378433	0.001390380763610698	0.0	0.0015365547677523663	0.0020967258769494525	0.0	0.00011562963073068902	0.0003135515045585731	0.0005266085182038107	0.0005224618583698862	0.0	0.00047965957049642176	0.0028890316704202846	0.0035349759425294712	0.0006395944183829108	0.00027849427156136634
FNDC10	0.0017210959573363959	0.00031567855462443433	0.00024664437929772	0.0014009119054264939	0.0005571994741263821	0.0006409842373626134	0.00015447644410449584	0.0	0.00024635665752865136	0.0	0.0015403458916735092	0.0	0.0020152229180069657	0.00236595879863443	0.0	0.0007342381482571936	0.0016451685057862076	0.0018566636466333455	0.0009733777132633158	0.0	0.0005379763922206772	0.0	0.0	0.0	0.0017718350021851009	0.0015940296586447783	0.001019293212861719
CDK11A	0.0	0.0	0.0	0.0006863536745512835	0.0	0.0006091744738340988	0.0005025118915135708	0.0011532446388336094	0.002275889332677265	0.002262080644237322	0.0	0.001488674493599982	0.0021483563344455938	0.00016670319566433253	0.0012958207201454915	0.0009299125999764308	0.0011837420260031142	0.0	5.652752032356693e-05	0.001400462546787128	0.00019683804661097825	0.0	0.00044489071963796253	0.0025833955628678123	0.001734359672006104	0.0003676205633054143	0.0005641365498571516
CALML6	0.0	0.0009337297352240624	0.0	0.001594002616573549	0.0012228031020147703	0.0	0.0003887137065673924	0.0	0.0023193586370006155	0.00013553362669666835	0.0012684892837128699	0.0004563514205331081	0.0	0.0	0.002533064421388891	0.0013613196920302844	5.9291050203360016e-05	0.00039764338230932335	0.0006434497707443905	0.0013226715448373155	0.0027237158030882	0.0	0.0014251702940016157	0.00010725463925215929	0.000379693678642899	0.0007290476455341981	0.001243082755672723
PRKCZ	0.0021506447907717434	0.0	0.0	0.00023497331961329043	1.4250973609277627e-06	0.0	0.0016167359831451107	0.000882404214529157	0.0016946005675275838	0.0006410228769111348	0.0005027714810976335	0.0016484464220402244	0.001950977609047934	0.00016022552248628433	0.0014277937555174734	0.000944601225887851	0.0009184312172545163	0.0	0.0009657934275529946	0.0007922126651196207	0.0	0.001030806950454181	0.0007883596359407146	0.0	0.001037356172560832	0.0	0.0
HES5	0.0	0.0014912680061425682	0.0	0.001763171372820313	0.0001068519446239659	0.0	0.0004975392024042155	0.0013052515595399002	0.001447642711977134	0.00029499477378485284	0.0005933198610878741	0.0	0.0	0.0	0.0014964311156480433	0.0022098202181814876	0.0005687405347695965	0.0010957056435726513	0.000480161764073202	0.0014686903059228352	0.0020633439203548904	0.0	0.0017091179901592589	0.0	0.0004079742580504531	0.0014135357086189067	0.001516741538668152
ZBTB48	0.0009062171393349893	0.0	0.0	0.0	0.000349358601333428	0.0	0.0016336324290241618	0.0	0.0	0.0013991601854425075	0.0017357326824131195	0.001455429544709736	0.00194986303479587	0.0023608559990814623	0.0	0.002829139337476401	0.001489885772413494	1.7943260825971157e-05	0.0	0.0	0.0005473604985379171	0.0005291477630223813	0.0	0.0016443382493773369	0.0004280357283020859	0.0013711298966875526	0.0012963771289650039
UTS2	0.0011390740265853566	0.0	0.0004859561633141511	6.003516876180968e-05	0.0	0.0	0.0	0.00216511283678343	0.002268124471580573	0.0016948655501766198	0.002040088403822698	0.0008285742480218115	0.0019967800379398293	0.0011335455679945298	0.00011223352232749058	0.00058446650381971	0.0007706614151737221	0.0	0.0	0.001396927913978673	0.0004723824726648763	0.0	0.0006930268725865585	0.0008369901538200401	0.0008972684319690752	0.00010519921910533493	0.0010754210104639424
ENO1	9.807927496142123e-05	0.0022150148618823077	0.001999815396225616	0.0006394742796203523	0.002771380250207042	0.0013884192091004452	0.0004627361637772247	0.0002880061729164395	0.0003546071260463154	0.0	0.0	0.0009966510641815248	0.0	0.0	0.001278297033032972	0.0	5.05110944213539e-05	0.0007245209187408159	0.0005348805487824934	0.0	0.0011778818386318126	0.0006793826142179156	0.000944943725629877	0.0003790181017705858	0.0004388244664976119	0.0014430131705099206	0.0014446577421609306
UBE4B	0.001298445121470879	0.0	0.0005221415057725206	0.00038329363365378417	0.0007398810590726898	0.0016247265283640224	0.001103720389945296	0.0003836315317815975	0.0	8.841316831192333e-05	0.0	0.0005541091796648112	0.003781482996896073	0.000357179173273524	0.0005005620759160917	0.0020251835265083836	0.00017699870909656298	0.00025946957399132443	0.0018386879143718125	0.000772988845585116	0.0	0.000746569882046578	0.000636067575693707	0.000991312963842741	0.0	0.00016384891185220306	0.0013964899403881203
TARDBP	0.0	0.0005018311749409915	0.00040540285604715516	0.001598223292541927	0.0	0.003533845188297984	0.0	0.0009402076146144304	0.0	0.00040044989127237967	0.0007264194105416862	0.0	0.0005722985755665097	0.0006408112993533648	0.0009373333211988955	0.0003855452812985991	0.0005681995037071266	0.0026958785079843014	0.0017599296334918795	0.0014834810021919587	0.000627566167867023	0.0	0.0014547084663242655	0.0	0.0009204992366100925	0.0	0.000459101779032802
MASP2	0.0019291579315866105	0.0	0.002013610977289859	0.0	0.0006010036023876418	0.0009411884211225412	0.000650482969685643	0.0007208687062673634	0.0011529474852645413	0.0	0.0006503963799354009	0.001668711734880235	0.0	0.0	0.0028822660505776632	0.0	0.0	8.917639287509736e-05	0.000708072683750071	0.0006585897141674296	0.0017659797087611444	0.0	0.00045110655693615556	0.0007406846225596377	0.0019407747193896316	0.0	0.0
UBIAD1	0.0004778512278604888	0.0004188894735270845	0.0	0.0017322363651379462	0.0	0.0007714141244950949	0.0	0.0	0.0009291325670513568	0.00133639213880478	0.0011564954544834337	2.16972495146389e-05	0.0013607177071173564	0.0021374217263286023	0.0	0.000678744963188059	0.002060404063359304	0.0007851788199026246	2.0367175881615732e-05	0.002136798059711137	0.000788459493302527	0.0005457659929978745	0.0015553770062258743	0.000502078019835428	0.00029744035043167294	0.001108379169818934	0.00047351655501913574
FHAD1	0.00032397576648010736	0.0017265443699462086	0.0026855797364302393	0.0002562140683044347	0.0024862266504392765	0.0005940426351207507	0.0018958968867589425	0.0001238601668548327	0.0	0.00041044356160183586	0.0	0.0008499597367562841	0.0	0.0	0.0009693222908368478	0.0	0.0	0.0005394534351220881	0.0004698019241326029	0.0	0.0016117853833926001	0.0009750295264270642	0.0012752451166282786	0.0011953085996446757	0.0	0.0004967468214775704	0.0004145294646589502
EMC1	8.875853542207505e-05	0.0005636018142463842	0.002486927369770404	0.0	0.0010314572448103527	0.0	0.0016854388297584846	0.0005676639112461617	0.0005356183005427391	0.0015435839905201143	0.0013704048608990025	0.000939484937385231	0.0	0.0003065033292655263	0.00020672432989453935	0.0	0.0	0.0007624902964172546	0.0003605088040581889	0.0	0.0015843780660968448	0.001580487618428635	0.0025490446168981006	0.0013623989248256931	0.0004827646681886848	0.0007945787478255157	0.0
SLC66A1	0.0016084119183894941	0.0008335782836149124	0.0023491929797408986	0.0	0.0012658467225843096	0.0	0.0007173755601826144	0.0003461024830967595	0.0010079837582358156	0.0011383293167129052	0.0	0.0018434648434701023	0.0	0.0	0.002304410522952056	0.0	0.00011802769882519667	0.0	0.0	0.0005371019494721046	0.0015516032913878784	0.0007839129658773239	0.0	0.0007386009489302707	0.0	0.0018856400786984623	0.0017703906747221576
