	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34
SAMD11	0.0008210193242421098	0.0	0.0011958132570135404	0.0016507588223436942	0.0016895266868317265	0.0005968770084938193	0.0	0.0018741741623615074	0.0	0.00018578864886071848	0.0	0.0019735738990910644	0.0	0.0021112014138755125	0.0001792418279676886	0.0	0.0	0.00044986281276951574	0.00031957160804362776	0.0013868817083705748	0.0015239981248403689	0.0007250245549360982	0.0007388376966422891	0.0013143917924765525	0.0011474903149840412	0.0	0.000906343661852847	0.00038194197120981847	0.0005758426340810261	0.0014341939587249046	0.0009011844233026668	0.0	0.0005568161146956824	0.0009918989423988937
TNFRSF4	0.0010622855688330883	0.00019572157545927774	0.0	0.0008451215053183748	0.0	0.0021518024062187556	0.0012260903780425068	0.0007160183541842231	3.7556521605039296e-05	0.0013906488283927756	0.0003756152308389549	0.000964054054229164	0.0	0.0014697020507188961	0.0011397333186269935	0.0006454600563344365	0.0010225133587548594	0.0011489018132806869	0.0006052483945133653	0.0014346803510650135	0.000591192012025944	0.0006143989953122718	0.0	0.0004290358789070073	0.0	0.00094613609139326	0.001414113761097292	0.0006365545824700336	0.0	0.0006174753127475324	0.002032629888060794	0.0012997437972490223	0.0001468291135387198	0.0006754153801519334
ACAP3	0.0013836016163976715	1.874139926914077e-05	0.00023349945802551126	0.0020484996482499056	5.51552725292976e-05	0.0007507234893309626	0.0005186167064921376	0.0013366840845422385	0.0008761886697301889	0.0	0.0	0.0016078048869325348	0.0	0.0005036226718502428	0.0017480781816168911	0.0005363556927316386	0.002069827696330608	0.0010221542637738564	0.0013977291299087221	0.0014094119244860354	0.001260733914052156	0.0	0.00026727302233107444	0.0005440941357423715	0.0	0.0	0.0006498493322489586	0.0	0.0017838654302338175	0.0001854542120675571	0.0013706221645415333	0.0005008626674519687	4.658558113959638e-05	0.0018547702375888242
DVL1	0.0012570749060598705	8.886230147586011e-05	0.0021493255083918357	0.001606252496814821	0.0009759545221046603	9.711694263228985e-05	0.0004387858689400335	0.001044274289178235	0.00013475532722351618	0.00015548914279170953	0.0	0.0020863516195396884	0.0	0.0	0.00176790432330301	0.0005005029555777865	0.00034063806544837376	0.0	0.0012921849950126062	0.0009942879955314673	0.0014635050050858319	0.001511593955809942	0.0019093654340480847	0.0	0.00017439894572410973	0.001134366360348649	0.0	0.0	0.0008823580580098889	0.0003330978348972957	0.0	0.0002080368138745824	0.0018363243268924114	0.0017281130455985927
ATAD3B	0.0	0.0011541920042288133	0.0	0.00045906119159985916	0.0	0.0016557541468336177	0.00027643529405483	0.0	0.0004615573522165408	0.0016249879963134506	5.444667601228035e-05	0.00011310476908353132	0.0	0.00028569663583556676	0.0011468109440438226	0.0023178498253235667	0.0010187941768006136	0.0007148188397499468	0.0009956547299004611	0.000734622046769084	0.0017913890678688954	0.002824660683712548	0.0007263604764026273	0.0004295421282500717	0.0	0.0008010201362228467	0.0007838427958006754	0.0	0.002196436541988516	0.001357959815246442	0.0006396864485572122	0.0022493339168297194	0.0008061669334835382	0.0003815749509398336
FNDC10	0.0007168665453014416	0.0010095322060053127	0.0015159015202544379	0.001463747337473788	0.00043132739288286547	0.002012111428958286	0.0	0.0011176314735258663	0.0019746456959985627	0.0002157396515549207	0.0	0.002091581760047427	0.0014964801362465099	0.00041996268750326196	0.0015310235439086337	6.293012277624225e-05	0.0	0.0	0.0021913725397725843	0.0013840521297936556	0.000328424946228661	0.0	0.0	0.0005576038197075447	0.0	0.0002319444603928603	0.0005756499606295759	0.0004945724076698522	0.0006786464874801965	0.0	0.0	0.0	0.0015992942496274567	0.0011359887475575182
CDK11A	0.0	0.001251660893542882	0.0	0.0005671635138265354	0.0	0.0017333224374261214	0.0	0.0	0.0006468374029484639	0.0008426291707882313	0.0016914923992637871	0.000774290063299572	0.0	0.0009506023237247585	0.0	0.002025305313911211	0.0017767892467313389	0.00037523569463201854	0.0004396967973606462	0.00043187714628273045	0.0022845120638657433	0.001163368482405775	0.0007433491754542756	0.0008308628468730995	0.0	0.000711634148368485	0.0	0.0	0.0017661218000324132	0.001868265657171501	0.0017911052719751738	0.0019350936226143083	0.00043881367045786997	0.00035028383685870056
CALML6	0.0005013734985228188	0.0003349249546319685	0.0	0.0017733188574911207	0.001337410519520006	0.0	0.000730019834533383	0.0016691080398710898	0.0003965431394110707	0.0011054235855215465	0.0	0.0	0.0	0.0012909093735637611	0.0014143893548648782	0.0018738396512315233	0.0	0.0	2.140065264171308e-05	0.0	0.0025207359789666353	0.00036517255981384527	0.0014881747237573898	0.0010379852936797929	0.000680735996307598	0.0012884122294659333	0.0003649566003814383	0.0	0.0025532390720249105	0.0	0.0022824156101811147	0.0	0.0006210716268562834	0.0010311938508217962
PRKCZ	7.151594986291966e-05	0.002074088605744174	0.0	0.00012239644153670727	0.0	0.0011255552383040792	0.0	0.0006219205684431393	0.0023042496912802314	0.001089918065118882	0.0015633049913022989	0.0001363515872166706	0.0007306868237655426	0.0004422422247129512	0.0	0.0020968273326168476	0.0016504419422255668	0.0012197862967629875	0.00029660194310155894	0.0011431464613934899	0.0	0.00011413648290809569	0.0007112474681617935	0.0005194810361417691	0.0	0.0013036333835341686	0.001993871342527761	0.0008144274111213068	0.001662536710892563	0.00063928254863652	0.0005711572667755348	0.0	0.0	0.0
HES5	0.001785723692420013	4.43045999986326e-05	0.00021886041852350803	0.0014502624189441308	1.9258337322847593e-05	0.0009606568814711323	0.0011693408131211297	0.001662249278002033	0.0	0.0006193249581764801	0.0	0.0	0.0	0.0003228101644346624	0.00215618296820402	0.0013865177378923107	0.00044790591900031813	0.00019137878471841958	0.0	0.00047170017043179533	0.002097667547143804	0.0022246453429595188	0.0014256169449239457	0.0009325377498664377	0.0	0.0	0.0	0.0	0.0016878835076265452	0.0003191638888855595	0.001915701753401039	0.0	0.0014894845426194352	0.0013267733088024813
ZBTB48	0.00012064481573863606	0.0006174067944385123	0.0	0.0	0.0	0.001441699187253222	0.0	0.0	0.0022788387497278914	0.001638696798329845	0.0004654701014689382	0.0025287800105721157	0.0008374081563026703	0.0012557257553230524	0.0014508761128219218	0.0	0.003293494708527363	0.0	0.0	0.0	0.0008901715481658534	0.0	0.0	0.002003322627227832	0.00062862801101737	0.0004992519487955377	0.0006662753807301823	0.0011106286795019632	0.0005436878369733081	0.001228675459449909	0.0	0.0015843558765582684	0.001450639368100452	0.0013172197872107663
UTS2	0.0	0.001437907124747651	0.0	0.0	0.0	0.0019977910550048484	3.831290137208968e-05	0.0012234109761937897	0.0012544861436434172	0.0	0.001132523118169789	0.0011297269321404225	0.0014976964745384161	0.0	0.00010318056918018971	0.001679520001381979	0.0012752517627682056	0.00047607553393188586	0.0011049360444134236	0.0	0.0016313379891352321	0.0017707625673098327	0.0009543375918148125	0.001802467870425834	0.00013575653216271535	0.0001396148211146182	0.0002636976944870878	0.0	0.0008748891448581531	0.0017197416959087695	0.0012890058112255208	0.00032473945911490456	0.00023792184998631363	0.0011385136564845226
ENO1	0.0014655660732649863	0.000355332723076982	0.001475437760614761	0.0008482684805260791	0.0028961426715300178	0.0	0.00257651369821514	0.0	0.0	0.0009234941438016449	0.0011470557945541106	0.0	0.00043640955013189014	0.001943085128117548	0.0	2.4691310657269492e-05	0.0	0.00037027037699943136	0.000600398712230477	0.0	0.0011264375575012935	0.0006502506749876866	0.000982196252119806	0.0	0.0017949302251300515	0.0006592505100880294	9.622030186709238e-05	0.0005152087621781771	0.000735026996361095	0.0	1.6072271197314623e-05	0.0006608849261818948	0.001679774404730182	0.0013678750969443787
UBE4B	0.0	0.0018506401208983408	0.001318000779617826	0.0004469553348091367	0.0001206657331356062	0.0018374191175745016	0.0007868872473372495	0.0	0.0028455007734314013	0.000876276794498078	0.0	0.00028690877034835243	0.001148880120840318	0.0	0.0	0.0	0.002725573065176434	0.0005243398048894346	0.0	0.002331937734396074	0.0	0.0004846647473027412	0.0004073723311483316	0.00017991551345100624	0.0010398672006997486	2.204959087048696e-05	0.0	0.001297723526976554	0.0016453534517038224	5.6038454071532234e-05	0.001156855793842681	0.0006339623763264677	0.0	0.0016885212052243424
