	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
SAMD11	0.0	0.0009672147762696559	0.001027645126188209	0.0012001628280391982	0.0	0.00012268924661278037	0.001538523390336015	0.001128814122246727	4.2311706738888036e-05	0.0013406744177336192	0.0012171323638534167	1.7185951671565976e-05	0.0003704611887897255	0.0	0.0019672982512857493	0.0009562098339095323	0.0012400304281554122	0.0003009005247588789	0.0	0.0	0.0018914983890412093	0.0	0.0016678629294630508	0.0011914153524377137	0.0009349432752064691	0.001554097562112468	0.0006197606868160771	0.00104487028025729	0.0	0.0006889450773409947	0.001053938840940228
TNFRSF4	0.000247870596959944	0.0005967620339255146	0.0005407930585130526	0.0003610933697060754	0.0001853135176079195	0.0007463880190046675	0.0007387407034535094	0.0009434867741750319	0.000583435975707895	0.0022081748671288837	0.0006211758806400193	0.0014253298231921264	1.1599690568428216e-05	0.0012287339559444608	0.00015291409403086183	0.0017573108100797925	0.001833237022137373	0.0006792712143705728	0.002312782375734436	0.0005184861025302496	0.0008861040785390606	0.00027970288224404334	0.0007967898892797632	0.0002677639342757447	0.00032487101553449043	0.0002932482184035935	0.00016387290806289825	0.0013408591906917434	0.0006316951690044109	0.0005386920451690912	0.0006251015357177579
ACAP3	0.0007799411660719344	0.0002903331392720265	0.0006150750784874964	0.0016352663835119837	0.00012966895562906296	3.612346454543742e-05	0.0011860067123114952	0.0015477703009838003	0.0019143311025324628	0.0009121698803212684	0.0011212687624831171	0.0012224535954393184	0.0005290501448551716	0.0	0.00047666334214477735	0.002374420631835154	0.0008439972725637055	0.00018997141418438575	0.00046464035016660735	0.00028558225035302335	0.0	0.0003980718686898589	0.0014468256891547655	0.0	0.0011179075229993528	0.0	0.00011711685697369524	0.0011664758243946738	0.0011781793522253133	0.0002605591202074963	0.0015702444622345253
DVL1	0.00019560634868783506	0.0006394097306585324	0.0009255229932342478	0.0010031652167083085	0.0005918363406192708	0.00023645878681545032	0.0021169299861558584	0.0009033876207544609	0.0008515625057812234	0.0005919695206235227	0.001825749748091109	0.0013223304516997848	0.001345552659908528	0.0	0.0011140611037549274	0.0010653409942639692	0.0001812059927361468	0.0	0.0007771846272187177	0.00027952023991185726	0.0	0.0004802725725072797	0.0015134705664918405	0.0001445749159588808	0.00042737078097645446	2.9087099222279384e-05	0.0015062976361995962	0.0009345881985825444	0.0003289875868622035	0.001354400319654041	0.0016961109467365705
ATAD3B	0.0013189669589538332	0.002353835844835101	0.0	0.00010143773287370565	0.0	0.0010536849490061441	9.898980482971763e-05	0.0	0.0017389931735114499	0.0008564395510128135	0.0004670929330451209	0.0015378963087866785	0.0	0.0009058485541630932	0.0007152090897823578	0.0013404840863319007	0.0	0.0	0.0009272154198677845	0.0003243029764961114	2.1007904412595295e-05	0.0012806407550827051	0.0007076839440600148	0.00021814428328429297	0.0009676749402263173	0.0	0.0006230810246111057	0.0026385654502450746	0.0029109129847422507	0.0009571787533878142	0.0003412028980952015
FNDC10	0.001193739225313029	0.0	0.0008261576850893152	0.0006606989432303682	0.0006253943002205581	0.0	0.0016535921983676994	0.000781596321177429	0.0019498602876262267	0.0015319982525803012	0.0015396518886419987	0.0014268600254449613	0.0004965318980092631	0.0	0.0007761916067271077	0.0	0.0016817790475239663	0.0005827131330264795	0.0	0.0012631487420663966	0.00018473147499748757	0.0012558983496186798	0.0009561491888754176	0.0003539560271939412	0.00022741117350069142	0.0	0.0	0.0016898549754002714	0.0	0.001485830205246969	0.0009386598672970079
CDK11A	0.0017615099932987684	0.001859538292311799	0.0	0.0004753291175942587	0.0	0.0007984422784191286	0.0002717064134640662	0.0	0.0021066985566083516	0.0013765986287185472	0.0007665049493477613	0.0	0.0	0.0013744485535113517	0.00025495285448667236	0.002226633903096997	0.0	0.0	0.0007358088388629615	0.00012849474546117626	0.00039337620094022276	0.0006178641301278101	0.0007739899756059779	0.0006836440395261073	0.0009723983903605104	0.0009498176528132263	0.0005858727294871129	0.0008476594233206537	0.002547656143249936	0.0007199740047440675	0.000611680796169688
CALML6	0.0003046882002529262	0.0	0.0009602217155564687	0.0010138711629616927	0.00048453997899496065	0.0005375401117314151	0.0007662412266736102	0.0014086918919128542	0.0	0.0007180981707791998	0.0	0.0009997940118213657	0.00035014790042151386	0.0013653014974059198	0.0020454958028613994	0.0014990471864091248	0.0	0.0	0.001273460440023894	0.0	0.0009494775031387644	0.0016693910497390819	0.001494303949925285	0.0	0.0020479611922076587	0.00048373858621257755	0.0010674265969856202	0.000508942280459953	0.0009973645860535793	0.0006233599557045858	0.0010497269939490654
PRKCZ	0.001894097231258568	0.000931001845370408	0.0003719811429427946	0.00021483731368460745	0.0007225113899703628	0.0012100398562582542	0.00020370721103231835	0.0003487763730155234	0.0010771036544713196	0.00057382114687974	0.0	0.00023710215612868165	0.0	0.00188727199135086	0.0	0.0005763595544752901	0.0016199396275708153	0.0009544810209847309	0.0006121383254658796	0.0014846716769642038	0.0002775973858320266	0.0020042541410709887	0.0005951015374344951	0.0006319760329141798	0.0018139595956529972	0.0003496653705914726	0.0009896823480709022	0.0009685436731427062	0.0	0.0001331149787516929	6.157758265719749e-07
HES5	8.663949130055185e-05	0.0012775890332644012	0.0006022281750938238	0.0010113663960638938	6.174879680516584e-05	0.0008391957916548207	0.00036104250895380716	0.0011285238616551764	0.0006633328941848849	0.0007581811351413442	0.00103778630009508	0.002639570102197327	0.00011656098055887034	0.0006054360133203527	0.0018492761427086081	0.0012106111342966737	0.00011429479595515418	0.0	0.001583117773040827	0.0	0.0012506227036559517	0.0002453718221598379	0.0011354128296825246	0.0	0.0010477534775655375	2.8514831800938185e-05	0.0018032777060815201	6.294194795808068e-05	0.0	0.0011889698488636983	0.0012521667854229375
