	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
SAMD11	0.0	0.0018936449935563337	0.000716015518709279	0.0010922264947284407	0.0	0.0016835361577911862	0.0	0.0007902658681332814	0.0	0.0013917860556420742	0.0	0.0019288493381567826	0.0	0.001150304451053418	9.50905748464548e-05	0.0010352729846771188	0.0	0.0012301240899127673	0.0021986156923379766	0.00038470025779814055	0.0	0.0022987102117158938	0.0	0.0	0.00048109957966318943	0.001431512029155625	0.0008220770363881016	0.0013483793290306407	0.0	0.0006148315426307246	0.0011525812494113975
TNFRSF4	0.0004908718357738306	0.0010107904117859392	0.000637678299005958	0.00021408818981861894	0.0	0.0	0.0010833620307982433	0.0008073155159113565	0.002305810458305886	0.0005279950033980958	0.0014536934220351853	0.0006876269632540207	0.0008164042014673389	0.0008464701253825041	0.0	0.0	8.337909213532118e-05	0.0015880758169327645	0.0007236061422896128	0.0006522471021660122	0.0002266050571626026	0.003018326232687586	0.0006216887941486415	0.00041877402221977806	2.1820717096143107e-05	0.0018092842114859002	0.0013334370892639593	0.0	0.0012854771263109033	0.0002624301452826333	0.0006716358451807172
ACAP3	0.0	0.001976833251731059	0.0	0.0006185087664396148	0.00026519309120657175	0.001269456540606427	0.002255704411846111	0.0015696215067001358	0.0005045386890437797	0.000462764159408664	0.0	0.00010274212828867061	0.0008174515524589022	0.0005413760828293137	0.0	0.0005051823866713163	0.0	0.0016839145574136587	0.001599976537525424	0.0	0.0005348708906626118	0.0005023539153218686	0.0014350862150086447	0.0018128422189258998	0.0	0.0015854796909823123	0.0010870081862205392	0.0	0.0006946602993442039	0.00020225169361358955	0.002066819623911297
DVL1	0.0	0.00166838355415802	0.00031177861515773803	0.0003159330364517528	0.0006918308328920048	0.0016400945566530038	0.0019481704664024008	0.0011436338646871724	0.0008936435988570832	0.0018722396813243966	0.0	0.0021671441064430924	0.0004230614454190693	0.0003519781715102811	0.0	0.0021995445104944166	0.0	0.0008816917571267008	0.00019740455431012507	0.0	0.0015856407487362936	0.0	0.0	0.00054672337221738	0.0	0.00017056995929782222	0.0009284254697920595	0.00015157263264116346	0.00011346739101449139	0.0016061649333628614	0.0018279238182605142
ATAD3B	0.0008651869222933653	0.0	0.001954173441557188	0.0	0.0	0.0006385330085853903	0.002662727609751075	0.0003495577705474062	0.00013923171030114662	0.0	0.0005241802091686845	0.0	0.002361976875630969	0.0015113948188981588	0.0012807677238163924	0.0004617775991221971	0.0	0.0	0.0	0.00028794276362198565	0.0	0.0004376682484898148	0.0	0.0030873804772796345	0.00035766625502144664	0.000540098640937388	0.0038849488759856157	0.0	0.0025817555734515846	0.0007867929914235185	0.00010565748895000864
FNDC10	0.0009647000628081467	0.0018376426174819165	0.0	0.0	0.0008624164365704933	0.0008160758513093325	0.000966634275621699	0.0	0.0	0.001953316972738965	0.0	0.0023350616610980307	0.0006582659165322486	0.0	0.0	0.0	0.0	0.001272884077611885	0.002322798585199502	0.0	0.0011906416024676663	0.0010912559598571338	0.0025577923886681174	0.0009827397459736555	0.0015062425669922351	0.0	0.00031693586658790144	0.0	0.0	0.0016395707991935684	0.000947072537095787
CDK11A	0.0005220631417430964	5.757983281778514e-05	0.0013857204306845343	0.0	0.0	0.0003799951924431877	0.001075531105896175	0.0007610419331049705	0.0	0.0	0.0008097703737486943	0.0002340985876020775	0.00230690587997122	0.0020793598223449263	0.0022991614060992828	0.00024517765075194133	0.00022307514003987126	0.0	0.0	0.0015104815183173091	0.0	0.0011749731006136094	0.0004441979189587602	0.003699323767931428	0.0	0.001111439972121519	0.0011954730704643313	0.0	0.0020731468503434798	0.0005431348061443453	0.0004923320770546172
CALML6	0.0	0.0015213027653599148	0.0001612677000731963	0.0014359915680499304	0.0	0.0024399528131808378	0.0006088562027579344	0.0003714179221099409	0.0024124777290156765	0.0	0.00034466008690151593	0.0	0.002347815044777314	0.0	0.000827104773955759	0.0013375129045942427	0.0	0.0	0.0014504027420245461	0.0006268336845185537	0.0	5.3357854825337e-05	0.0	0.000983638903525184	0.0012221363586628912	0.0012922446852481537	0.0014312438881846706	0.0008093027680782643	0.0004813101649109937	0.000595576633599	0.00115870836080976
PRKCZ	0.0019004268033187552	9.82722297425918e-05	0.0012037232304382918	0.0	0.00037103159096004736	0.0	0.0	0.0	0.00047569470915092643	0.0	0.0018415205429768197	0.0	0.0021540032018106323	0.0006476059529269401	0.002283148748924078	0.00057049783528747	0.0010273424416595088	0.0010368814914706124	0.0013560092439361864	0.0006966372850081102	0.0	0.0005942098611965566	0.001724002806139762	0.0012901142465120354	0.00220289124585364	0.000664726554325472	0.0007055127972425823	0.0	0.0	0.0	0.0
HES5	0.0	0.0019100234761108583	0.001258012259169441	0.00044802824041907197	0.0	0.0023576705499999025	0.003027781172005949	0.0010020539515722606	0.0016657260709551074	0.00020939062808383342	0.0005098037413768143	0.0	0.0008481333969396856	0.00010851580670928172	2.8332116033680144e-05	0.0018729249467031328	0.0	0.00025102921724205556	0.0	0.0011406120113770823	0.0	0.0004000226573996783	0.0	0.0008716362235673873	5.7194729400545654e-05	0.0014441546194578782	0.0010493264769565317	0.0	0.0	0.0014710129935819774	0.001352473957283721
