	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49
SAMD11	0.0	0.002822922717274823	0.0	0.0	0.0	0.0	0.0	0.00013250244018186494	0.001118537294414874	0.0030365552822123536	0.0006527703487325658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002871573193343688	0.001747587752472669	0.0005554428637290796	0.0018557975807527896	0.0	0.0	0.001166345416622724	0.0	0.0	0.0008096212161945796	0.00041784120318282263	0.0	0.0	0.000937218014694824	6.0895098833237654e-05	0.002015335391221462	0.0	0.0009264081369739016	0.0	0.0012326629004448476	0.001786394132372316	0.002449825526824448	0.003974424554078557	0.0	0.0044707301618424344	6.788802335855702e-05	0.0015741595601776084	0.0	0.0017614639429580636
TNFRSF4	0.0	0.0	0.0003332625235561471	0.0	0.001530938746183997	0.0008344627464167397	0.0	0.0019500847294118891	0.0	0.0	0.002968055971676633	0.0	0.0	7.62748409912316e-05	0.0	0.0025539316848297174	0.0	0.000987122444105642	0.0011146696914023338	0.0	0.0006388279261778643	0.0	0.0005801610132573047	0.0	0.00045385305951962674	0.0	0.0	0.0013971880073178715	0.0	0.0010728674309505568	0.0008967650446753526	0.0036141340566071324	0.003039303168579847	0.0006889427564784885	0.0	0.0017174797770788243	0.0	0.0	0.0	0.0	0.003406345824034759	0.004990446501638273	0.0	0.0001386883706569608	0.0010956974927506045	0.0009606764829714126	0.00046521021745252113	0.0	0.0
ACAP3	0.0	0.0008053717723115457	0.0	0.0	0.0	0.0	0.0	0.00029471051887194454	0.00178684721364671	0.001508220269997366	0.00141796371211822	0.0	0.0	0.0007581396071179164	0.00023726083644450168	0.0015013479977296002	0.0	0.0008546144960872022	0.002245945085798015	0.0	0.0009341559621793055	0.0	0.0	0.0	0.0	0.0007649654082676183	0.003465485096195032	0.003550647890358213	0.0011576224737048022	0.0028056422898206923	0.0	0.0014333858717950807	0.0003694266018535794	0.00331361358894001	0.0	0.0	0.0	0.0	0.0	0.0016506814563499608	0.0006636747936598073	0.0017762254900607977	0.00028618167392951006	0.0	0.0	0.0	0.0035058701370463663	0.0	0.0006390571612047468
DVL1	0.0	0.001619638645144599	0.0	0.0	0.0	0.0	0.0	0.0005044533065563236	0.0034220827447741507	0.002989679711754567	0.002446178697671227	0.0010834012232635811	0.0	0.0	0.0	0.0	0.0	0.0014299136363950932	4.486451280811673e-05	0.0	0.0016120201560537047	0.0034424952127507153	0.0	0.0	0.0	0.0013640500150594666	0.0021789693542278474	0.0012039045944085083	0.000668618663964097	2.9914636070998046e-05	0.0	0.0	0.0	0.0020375360766147267	0.0	0.0	0.0011782187219190555	0.00017187157823118478	0.0034953463488546816	0.001162259672415006	0.0	0.0	0.0007854511732547151	0.0	0.0	0.0007341573616304529	0.0005449354294534017	0.0005027954071638	0.0031925437662190526
ATAD3B	0.0	0.0	0.0	0.0	0.00041956095034696424	0.0006454096647043994	0.0	0.0	0.0	0.0	0.0	0.0	0.00022774225838730405	0.0	0.00024189495532310023	0.002494368041524739	0.0	0.00035936007127901825	0.001725739666793832	0.0	0.0	0.0	0.0	5.8805589453349104e-05	0.00072071893270252	0.0074016513577139665	0.0	0.0012197504201487243	0.003520845620387064	0.0006322684825520223	0.0	0.0019835222988037423	0.001408704224277677	0.0013025450102393257	0.0	0.0	0.0043056433096683765	0.0	0.0	0.0012099617908026136	0.0014061314892783326	0.0	0.0	0.0031824100473544004	0.0	0.0010340187651502989	0.0	0.002949042101953904	0.0
FNDC10	0.0017281386888577796	0.001843810702334041	0.00036094603420665336	0.0	0.0	0.0030365037350993333	5.4625296481712566e-05	0.0	0.0037727552943022935	0.003306228056553352	0.0019011756803701593	4.557634259799373e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002785597110391507	0.0004893522291805386	0.0	0.0	0.0	0.0	0.0	0.00011357943165083849	0.005885810579614728	0.0011563931607349999	0.001195675381314358	0.0015512960878996261	0.0	0.0	0.0010093518840411297	0.0	0.0	0.0	0.0	0.0	0.0	0.0013867963470811792	0.0	0.0001809880349937147	0.0	0.0	0.0015322702896208547	0.001253867016284146	0.0015931037958378338	0.001416163074380179
CDK11A	0.0	0.0	0.0	0.0	0.0002997354684767855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001759694083365887	0.0	0.0014604795310035961	0.0040375561290283855	0.0003664091903043758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003097085723070614	0.0034889399561520004	0.0	0.0009919046951454627	0.0050215119001938155	0.0	0.0	0.003958921603565556	0.0	0.0012291576965428493	0.0	0.0014103472827785425	0.0020615899682174563	0.0	0.0	0.0020880215770224158	0.0	0.001472528286885787	0.0	0.0034001561968205205	0.0	0.0008866470247046373	0.0	0.0011665703398428067	0.00016603026157989724
CALML6	0.0	0.0	0.0	0.0	0.001098737260220136	0.0	8.20299470870503e-06	0.002027423692430275	0.0007831135759055455	0.0	0.0	0.0008299043226900409	0.0028177901554710355	0.003059457229394744	0.0	0.0	0.0	0.0017321674407106953	0.0005931020046314082	0.0	0.00045787885989335525	0.0009956441323939619	0.003378840493656857	0.0	0.0	0.002515386633334925	0.0028789148429959124	0.0	0.0	0.0	0.0	0.0014179192922815123	0.0	0.006098522782795343	0.00012626598743704866	0.0	0.0007441443834480547	2.896378317231123e-05	0.0	0.0	0.0	0.0020308396484750935	0.002365512671449705	8.598431144655909e-05	0.0	0.0	0.0	0.0013964724322419707	0.0
PRKCZ	0.001844312907673408	0.0	0.0009620673035882031	0.0011160955873905545	0.0006672924755797144	0.0035716951261223536	0.002382459772847474	0.0	0.0	0.0005327166031929182	0.0	0.0	0.0033407828751666957	0.00029688854124386774	0.0023349770235945306	0.0021147403524362086	0.0009741358598535976	0.0	0.0007695525623626117	0.0	0.0	0.0010944417536667718	0.0020065390148876626	0.000996550249541518	0.0006835609981794436	0.00034909169224517643	0.0	0.0	0.0018590507120958518	0.0	0.0	0.0	0.0010781645793124066	0.0	0.0	0.0	0.0002269482320179535	0.0	0.0	0.0	0.0021930748996500846	0.0012287201357285748	0.0	0.0012061388727595721	0.0	0.0	0.00217690127338943	0.0011890711603380717	0.0
HES5	0.0	0.0	0.0	0.0	0.0017156720519566056	0.0008273368668549569	0.0	0.0	9.642485790401295e-06	0.00019673602622840636	0.0032498494139805573	0.0007355534100559836	0.0	0.0	0.0	0.0	0.0	0.0054340385637253125	0.0017946013132691507	0.0	9.080402237852565e-05	0.0005672048200809642	0.00030840492846802525	0.0	0.0	0.0005532192867495904	0.004716513662605587	0.0	0.0003399484326471081	0.0001915699769627812	0.0	0.0	0.0	0.003043028783427767	0.0	0.002897319300051266	0.004082473541251382	0.0	0.000173691569831221	0.0010407657936037542	0.0	0.0019181651992410981	2.9388734524756228e-05	0.0	0.0007739025741804707	0.0004342875224912583	0.0	0.002490302023709326	6.575674691948373e-05
ZBTB48	0.0009642479937151922	0.0	0.0	0.0007581924529108002	0.0023429327071090313	0.0	0.001515757013170435	0.0	0.0	0.0	0.0	0.0005355897702158836	0.0	0.0	0.004289195479246772	0.0	0.0001487773839461032	0.0	0.002021445143118589	0.0	0.0	0.0	0.0014618720673144848	0.0	0.0022737845276795954	0.0	0.0	0.004194843804384997	0.00040669310575474233	0.0022238026575663243	0.0004392453785066541	0.00041357751391247035	0.0	0.0	0.0009603883216774931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025019239075124646	4.735612652756883e-05	0.003230226692318703	0.0	0.0	0.0055746950462627586	0.002188046462893724
UTS2	0.0	0.00020575141611636278	0.0014167776142942157	0.0	0.0	0.0	0.001891412595356618	0.0	0.001498559685274283	0.0	0.0	0.0	0.0022540855782977286	0.0	0.0002221362615378434	0.0032925585043355964	0.0	0.0	0.0007328862161092764	0.0	0.0	4.7958376929840256e-05	0.0026053723522894605	0.0014160296800123078	0.0030083326855147984	0.0	0.0	0.003733796157743268	0.0020036352923997807	0.0	0.0	0.0	0.0	0.0	0.0	0.0016628277616195166	0.006453048612426446	0.0	0.0	0.0017677415717583195	0.0	0.0	0.0019013360152611342	0.0	0.0004504984525804631	0.0	0.0	0.0	0.0012499933750875747
ENO1	0.0006308837803604502	0.0012226605389183455	0.0018812495886665283	0.0010175234658345476	0.000966230233258081	0.0	0.0	0.0014068580710429944	0.0	0.0013636491755425967	0.0	0.0030349625596802743	0.0	0.00019765805138308518	0.0	0.0	7.410567355581667e-05	0.001517470774027032	0.0	0.00043141494927315273	0.0026526277959667576	0.0010850017318333322	0.0	0.0	0.0	0.0	0.005359352043783018	0.0	0.0	0.0	0.001907952708972625	0.0	0.0013327183929451622	0.0	0.0035780536234623034	0.0	0.0	0.0025281769398676946	0.0	0.0	0.0	0.0	0.0009171859193329224	0.002525344434470395	0.0	0.0015546000101509148	0.0	0.0	0.0
UBE4B	0.001215439219975983	0.0007427095662872442	0.0	0.0	0.0	0.005780071444268849	0.0	0.0	0.0	0.0	0.0	0.0001464653056451143	0.0	0.0030170338150168298	0.0035411122574222987	0.002382801802115117	0.0	0.0	0.00017343325930384352	0.001390003437246017	0.0	0.0	0.0	0.0	0.0013265448980321847	0.0	0.0	0.0	0.0012942757211450208	0.000887945709014628	0.0009345770986878416	0.0	0.0002511516954466346	0.0	0.0	0.0009517458742483519	0.0	0.0027131978679398455	0.0009018969379000368	0.0	0.0	0.0	0.0	0.0012959732369525368	0.00016793020112681692	0.0	0.00354919343004013	0.004870463482516262	0.00031776028146682553
TARDBP	0.0	0.004844189847795053	0.0	0.0	0.0	0.0	0.0	0.0009397114090733867	0.0006823778803145039	0.0005016105314291675	0.0032916901387685512	0.0	0.0	0.001305883802261307	0.0	0.0008340275515648015	0.0	0.0024902095757858332	0.00043748154095492374	0.001637563240904878	0.0	4.4256933381982955e-05	0.0	0.0	0.0	0.0	0.0	3.4813594086051756e-05	0.0007661071666074624	0.0	0.0	0.0	0.0	0.0019171195243564661	0.0	0.001661277768881383	0.0	0.00032282991607094583	0.003218310102416755	0.003677670401080926	0.0012775310315173182	0.0009716097266710579	0.0	0.0018171072675050859	0.002350662177102279	0.0	0.002935907273878593	0.0	0.0
MASP2	0.0018936184166276691	0.00017611124591013837	0.004975052247406723	0.0	0.0013201927635347584	0.0	0.0011923276642789367	0.0	0.0	0.0	0.0	0.0	0.00031898293474753533	0.0	0.0	0.003451327080918914	0.0008241856200730877	0.001227450216931842	0.0	0.003124939678901659	0.0	0.0004702638204871962	0.0037029448071971855	0.0	0.0	0.0016561398174691944	0.0	0.0	0.0	0.0	0.0	0.0	0.001214840565337315	0.0	0.0	0.0	0.0	0.0022961943336086534	0.0	0.000363106111826765	0.0012466821159885192	0.0	0.0027375022947674944	0.004515091969108137	0.0	0.0	0.0	0.00042926863384055167	0.0
