	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
AJAP1	0.0	0.0017631869830417024	0.0015729927943175998	0.003992466353556787	0.001094344230598419	0.0	0.0039248847895299544	0.002086040100592963	0.0007442357022479735	0.001196208157859606	0.000980289348490804	0.003273698802768165	0.0031637541173707203	0.0016403422934866882	0.0008715350764388265	0.001769257862664148	0.0
CLSTN1	0.0018033658339419612	0.0028282546500245855	0.004980847650623662	0.00043762551062254465	0.002002956916846619	0.0015598583207337843	0.0025991163471143224	0.000845750121960299	0.0	0.0008852880618430728	0.0014973135411129154	0.0014769587898653999	0.00032531732921573273	0.0028331066817869474	0.0	0.0014573443713445625	0.0
UBIAD1	0.000657013247262943	0.0022346907506481245	0.0006131949876008656	0.0037993048513521982	0.0	0.002351425620348974	0.0034405639988104547	0.0026909761826334274	0.0	0.0007344708520383438	0.0019188561745631008	0.0010627935998467355	0.0018097781038825358	0.001664089169154766	0.0010341733555821978	0.0019871356055118526	0.0027396380555461926
WNT4	0.00286734651293453	0.003652928449236087	0.000303487060712903	0.0	0.0009391842555243655	0.0017261421466158607	0.0027843200534409846	0.0	0.0009431355015216167	0.0011798051940019405	0.006164590799154912	0.0017911382920882766	0.0006439096104782007	0.0	0.0020048518930615906	0.00029594992320843943	0.0012614253398872631
RSRP1	0.0	0.0031865207981560343	0.0010084832545854845	0.004156374323832288	0.0	0.004033763566979931	0.0	0.0041337848568295255	0.0031258098232127716	0.0005862299418647934	0.0	0.002352499226188295	0.0	0.0022327990814192894	0.00025732969593812797	0.0024854054942604967	0.0
SLC30A2	0.0008776356350262401	0.0	0.003201052222306945	0.000507103349402294	0.0013007180608361336	0.003276066798250435	0.002137173843723272	0.004141628749794518	0.00048399118336854704	0.0	0.001945340583261779	0.0031869782147911103	0.0	0.0	0.003999767733169466	0.0019252386927949487	0.0040293018125031645
CEP85	0.0029062810667827435	0.002083590304294192	0.0021581380557268784	0.0	0.0	0.00016466520419302	0.0012264073548391957	0.001274479721449468	0.0034250809607544765	0.0	0.003074538076424485	0.005291753698308559	0.0	0.002715431902456421	0.001697041284908108	0.00042872969908031326	0.001332428188710222
ARID1A	0.0029467171498269193	0.002770334030342169	0.0038904092667744407	0.0	2.903121501693023e-05	0.002096372351302603	0.0	0.001161866717040533	0.0010712466418641435	0.0	0.0027655013994631436	0.0	0.005466329249638388	0.0	0.003514181069600647	0.000413041620614003	0.0009140993161341101
WASF2	0.004409209136624459	0.001966166674325923	0.0023001392861596416	0.0	0.0013169610542632653	0.0005412887463114369	0.0	0.0038937267130372886	0.0	0.0009040076724778475	0.0024075509311681145	0.0	0.0028112000086182357	0.0002718444434919591	0.0038418664525602534	0.0013082278883745227	0.00046261514398540285
C1orf216	0.0016727832990811732	0.003281958980852668	0.001983091508596902	0.0	0.0027160631746668304	0.0008500005711752697	0.001979553875995086	0.0	0.0003374471379004525	0.0005916059976504584	0.005083713918756244	0.0009256304416994152	0.004206332371288047	0.00013443277354328826	0.0014131250211271685	0.00020052570822845685	0.002576205122193133
HEYL	0.0032038005952115486	0.0031175020554341988	0.0017239286099708967	0.0	0.0013293764912027284	0.0013014690212164051	0.003422946406820434	0.0008299528720268425	0.0015417994365084532	0.0	0.003655228699276807	0.001445051317861671	0.0	0.0	0.0009925575444199005	0.001113626685183665	0.003323450363615852
PPIE	0.0024858739859891037	0.003227386999424366	0.00033927641677224205	0.0	0.001541299668133664	0.0010417726799896593	0.0021710134280031553	0.0	0.002202044621980769	9.17348378344585e-05	0.004946073388581798	0.0	0.0031567345518971747	0.0	0.0016381481211994809	0.00338697662036916	0.0023654775376111565
TRIT1	0.003119413118857231	0.001318276969495626	0.002201956112840853	0.00014616765998172639	0.0	0.003997256077358823	0.002056800695911183	0.001052109044874407	0.0	0.0	0.0021082934903022465	0.0019658092355733132	0.0019116705766078392	0.0	0.00308596163597406	0.003563899021670375	0.0020041822811301775
MFSD2A	0.0	0.0004898218120031009	0.003036256712025611	0.002066184302102358	0.0025959718111904333	0.0037751964488472673	0.002125097188113789	0.0014099054512621664	0.00043284319473913945	0.0	0.0012568921043856567	0.0048885503988856105	0.0	0.0	0.0014970516216892076	0.003573030662428641	0.003450906114413443
KDM4A	0.0025937645457282657	0.0041700111432829545	0.0028832610132885315	0.0	0.0016812026432829355	0.0	0.003627983015544787	0.0	1.1473959210825074e-05	0.0	0.0020863100263885715	0.00026247451365927354	0.0017106437964742878	0.0	0.0030290718134676382	0.0007786034042975762	0.005316375342168489
DPH2	0.0	0.0	0.0	0.003568517851323007	0.0027761856127828965	0.0019408634392162586	0.0023748067116782495	0.004868589186619723	0.00014053728822157352	0.006863303219201315	0.0021583872412446426	0.0020929706987631706	0.0	0.0	0.0	0.0	0.000977858425304577
BEST4	0.00017359024728253098	0.0007179792777143496	0.0020331906570859944	0.004295929269517997	0.00010319088870706571	0.0005916260175237142	0.003972065351719964	0.004687324631789323	0.0	0.0026951401512928987	0.0	0.004654345451165341	0.0	0.0008688106806497699	0.00036978394882255513	0.0019041288668966842	0.0004708137069312413
UROD	0.0014779108232276022	0.0038801861007754287	0.0015913224871349242	0.0	0.003084988663355783	0.0017228388692667495	0.0006064516110031342	0.0	0.0	0.0	0.004838696087569488	0.0015513567337653818	0.0025726034025153736	0.0	0.004554977149958102	0.0007463446531532182	0.0026608331787160142
CYP4B1	0.00010531683240947276	0.0019158535317059372	3.347005417793482e-05	0.004684674745333375	0.002402744951574791	0.0014694672071159673	0.0	0.0022497340402918144	0.0014975516890048883	0.0012325307957944437	0.0	0.004069913362123594	0.0	0.0005232551394935918	0.004144640137733666	0.004701796972716576	0.001392990140251904
USP24	0.004331134859332437	0.0009148852505768985	0.002649194315588626	0.0	0.001955830071208277	0.0009078525818427066	0.0033142490943099145	0.0010245866032984822	0.000797526002041303	0.001197409027790428	0.002595317324153201	0.0006411450941308665	0.0007939090861348195	8.907857955472675e-05	0.0021618867571974666	0.0014848826771068331	0.0007892551945706642
PRKAA2	0.0018182560995145106	0.0032934572878697706	0.001383720047978599	0.0006435317444775117	0.0020503616406949013	0.001314255645140818	0.0	0.0012712826802525792	0.001957715907690694	0.0	0.0005299021651372717	0.007084084172716296	0.0	0.003720520476091393	0.0030752626021691093	0.0	0.0
