	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
AJAP1	0.0	0.0028894567251533873	0.004396642602916297	0.002133828988554886	0.0029563981615538903	0.0010779553995051488	0.0021960151182483707	0.0	0.0011884743447617024	0.002021352493638766	0.0009375925994465128	0.0014621664758239284	0.0008800187561305825	0.0020613567876923283	0.0008343898309694891	0.0020939919714674186	0.0
CLSTN1	0.002759248254023153	0.004308899521386193	0.000538539905162642	9.573305663500575e-05	0.002984106191718147	0.0033729933731360285	0.00029531183399986773	0.0008699635388541301	0.000471978555744251	0.0011261651753319269	0.0015486138421326198	0.0031312112061941946	0.001244698389944787	0.000775923238085211	0.0	0.0018897430236689402	0.0
UBIAD1	0.00011200838861521306	0.002783826453588758	0.0039607874131811745	0.0027743183869797638	0.001203825033382469	0.0005604632112832312	0.0028548806692788326	0.0010500389368029055	0.0002014574285702475	6.255199683648549e-06	0.002220157584094432	0.0008290577051823079	0.004053015602644455	0.0	0.0012661452593948391	0.002186827720222903	0.0028233345399616386
WNT4	0.0024617103221360745	0.0009849250315628097	0.0	0.0018067571986911492	0.0011702527485464396	0.0036331396509868955	0.0	0.0016483667605377977	0.0012690761919900786	0.002943562577087586	0.00633612790908051	0.0	0.0009865245343620604	0.0002490146917370847	0.002530062557010484	0.0009800113126050166	0.0006676793324754058
RSRP1	0.0	0.0014283328366019481	0.0045669292390364035	0.0	0.0	0.002725035328525609	0.0037517876708252898	0.0037562482460831354	0.00043115156753999726	0.0018181497685471602	0.0	0.0021528188005224772	0.0037471780782136303	0.0015318433574699427	0.0002674229557341679	0.002572823607691875	8.474678302414026e-05
SLC30A2	0.0020296987311082914	0.002476239270308445	0.00035386600621390796	0.0	0.0025029349956200426	0.0	0.004738214101174682	0.0018180058014291487	0.0	0.00372806432758165	0.0012894042889118615	4.605017374561946e-05	0.0011308513374294858	0.0019411202756915494	0.003781938684805901	0.0004297899449010356	0.003616199217053772
CEP85	0.0018405282682961543	0.0025457908104540147	0.0	0.0008020916085348791	0.0	0.002048135071485587	0.0011590948433538102	0.0012163751460023053	0.0009598434263701483	0.006168800819017321	0.0033379646874533726	0.002943763407913461	0.0	0.0020535912013940672	0.002170783006142613	0.0004334526819526989	0.001166635052928336
ARID1A	0.0025475503810756966	0.003360152612100994	0.0	0.004012698730137618	0.0	0.0030748733214060217	0.000583132117304568	0.0027834608776384014	0.0	0.0	0.0022187300839094522	0.0010155312525754873	0.0016844222737341448	0.0006021705957483442	0.003594854923564208	0.0003989725540393607	0.00034783706815966014
WASF2	0.003743727738576716	0.0016513108370576751	0.0	0.0028027289505457493	0.0	0.0025067740158641544	0.003936145051396709	0.0011580999157205975	0.0010373864388689607	0.0	0.0024779810880564994	0.0014735520386936047	0.000138670556299251	0.0	0.0036197609655315957	0.0015185374344119636	3.1337748828066146e-05
C1orf216	0.0021791628957840347	0.0016516667223881155	0.0	0.0035724761050442647	0.0021847220285284184	0.0032663383920078005	0.0	0.0005974306733417741	0.0	0.0011411750668378605	0.005536297579854067	0.0	0.0009989246264352873	0.001995567244267993	0.001351216026155735	0.0009045089842229969	0.002631969636228342
HEYL	0.0029391032013955723	0.0024209685829378355	0.0	0.0007876383465133632	0.0019479784694170158	0.0038214328621268057	0.001110700618416585	0.0009838652334746925	0.0	0.0015195943685158589	0.004361451281542844	0.0	5.453063843791818e-05	0.0016703839492805956	0.001472709192497867	0.0016767072705469739	0.0032720938897543577
PPIE	0.0021551930536960282	0.0009523383564372025	0.0	0.00305040897622264	0.001214678795092848	0.002943138297077552	0.000342024202181189	0.0015084516884308456	0.00015356456160214068	0.0	0.005652346027445724	0.0	0.00014126125496509486	0.0024505563981479573	0.0023819094412368246	0.004110504300188006	0.0022289821501226123
TRIT1	0.0027445406825512665	0.0018206160618784832	1.8156459715053372e-05	0.001685162314525266	0.002085223094630975	0.0014951013581385262	0.0014977252248467429	0.003958147988123411	0.0	0.00236530050328688	0.0018530266140295887	0.0	0.0008938848585885128	0.0	0.00315774036224904	0.0027461073854325364	0.0019103205254490687
MFSD2A	0.0007916054227795662	0.0023116353972017383	0.001342367167415815	0.0	0.002948630696520278	0.0	0.0016994187397703293	0.00125759990900621	0.0	0.005491312952335946	0.0008819220526758293	0.0	0.00495851421724783	0.0027904727726348923	0.0009516275710219733	0.0025580774195242827	0.0031589290347471743
KDM4A	0.0025264826340089933	0.003991556388842743	7.29592754175778e-05	0.0028252293569416354	0.0012705990540220508	0.003367809988250407	0.0	0.0	0.0	0.0012764202330796048	0.0019429178369927047	0.0	0.0012298701266021928	4.7772333427468736e-05	0.0031929761033312326	0.002030415865918146	0.004939178624271932
DPH2	0.0005803141047291759	0.0	0.0038583907964659025	0.0	0.004044744097592736	1.828509736337289e-05	0.004341985581610599	0.0009749403318244752	0.00581798029893856	0.0010464484147364543	0.0028223578239405687	0.0	0.0020736001420367345	0.0013516303326833233	0.0	0.0	0.0008358658613955468
BEST4	0.0	0.002607833198381374	0.004379771582282023	0.00015627518988704531	0.0031682428959841297	0.0003210328777518723	0.004884134416873617	0.00021461017322231782	0.0020975915560057594	0.004625115591353062	0.0	0.0005920294184851019	0.0015301861311749075	0.0	0.0005534616231686587	0.0016575736389961258	0.0008243201328659141
UROD	0.002396095198548662	0.0016606976412682345	0.0	0.00278640272064096	0.00026104955816135764	0.0032277050418807037	0.0	0.0	0.0	0.002024962222512597	0.0043942909101199554	0.0	0.003316382867378272	0.0015239928571736763	0.004407835484143545	0.0011569886460432628	0.00221506361859785
CYP4B1	0.0007821783383806014	0.0	0.004524595771275318	0.0	0.000993961741668168	0.0020372579963631745	0.002269039895923767	0.0007927924931188812	0.0011663013780378129	0.0036380906075012555	0.0	0.001192995204979445	0.0019609586478499088	0.00171542081779339	0.004096632130081095	0.0041300103213587685	0.0012094174378563687
USP24	0.003816752779718077	0.0035436179188037334	0.0	0.002544862139433166	0.0014448776566417703	0.0005859688732368571	0.0013573436111669315	0.0012656218944712251	0.0019744484867886933	0.0017168355432027721	0.0020971624763853093	0.0003752531114240819	0.00021275803667334577	0.0	0.0020889076424798012	0.001715623582174955	0.0005523634929268191
PRKAA2	0.0022191548033965165	3.843536597638768e-05	0.0007354640287966743	0.0002677691910871365	0.00043245996632221696	0.004230691544305856	0.0010343603852838684	0.001566469922340237	0.0	0.0078140501377319	8.76194786825611e-06	0.00378610148710922	0.0008782415779125984	0.0023061615281037527	0.0029356994280245246	0.0	0.0
RPE65	0.0035057000109148216	0.001506893765297514	0.0	0.004147421959062104	0.0	0.002726427958946611	0.0012768725491133417	0.0022458451742366097	0.0004915635856927388	0.0	0.0009037389421811595	0.0006883841906347309	0.001577845431227639	0.0	0.0026855232665064263	0.0029578935804137996	0.0027976258220647828
CRYZ	0.0027045898794902886	0.003899006767284504	0.001627423650233383	0.0	0.0	0.0	0.004008360974685846	0.002109898508179983	0.0020804509959747187	0.0021072014748726776	0.00044781321028059093	0.0027111440906250044	0.0	0.003375468876235972	0.0	0.0002756057671294241	0.0011597681264889025
RABGGTB	0.0017372679239385362	0.0004888613181694663	0.0005121433655302136	0.0038195402826236334	0.0012221145432892789	0.004196207054289769	0.0014659348064726397	0.0014162576528005135	0.0	0.0035661716210627875	0.002544596511667322	0.0017069448320124873	0.0016535231479571169	0.00036436525176447376	0.0019718739313883834	0.0	0.0
ASB17	0.0015732905525052165	0.0031551724883699386	9.2906921713282e-05	0.0026905586896992986	0.0005310707275154466	0.004346000281483113	0.0008438057432831444	0.0005689374632231937	0.0	0.004358093898202033	0.003213027610931973	0.0	0.0021147715825601816	0.0020609998823071843	0.0012694301032670319	0.0	0.0004258889998710374
CLCA2	0.0017124956711354821	0.0009892216729226514	0.0014919712969444366	0.002329494615686159	0.0024796664110727433	0.0	0.0	0.004531140890957664	0.0	0.0004423920850594254	0.0010572146626904172	0.007114193224139238	0.0009714891407607844	0.003024191497961211	0.0006904379199871582	0.0	0.0017232771856692166
GBP6	0.0014271744568722306	0.000494084115527173	0.002044901168900474	0.0	0.006236492805871158	0.0	0.00013674801971151105	0.0026286584360914944	0.0	0.0018774617226233468	0.002615823790734386	0.006756623981864752	0.0	0.0006111286336536921	0.0017202204073767057	0.0	0.002005635388223285
HFM1	0.0011616623307737308	0.0	0.0013696550263035355	0.003725967961574914	0.0026764790513133987	0.00013186901716897667	0.0005214470966428419	0.0023521168455714115	0.0027207699023688633	0.0017893940297392043	0.0027215905930220146	0.002569982861596397	0.0010207472892200028	0.0017335991324557282	0.0014782135919210202	0.0011932689244421124	0.0008738792315287518
RAP1A	0.0014257944377995817	0.002496778664124774	0.000269750337051247	0.0	0.003597233651388893	0.0	0.0002131952209647781	0.0018953725674520439	8.364051782857382e-05	0.005151234485943818	0.001285358977219913	0.0005993588585717236	0.0043764860856899245	0.004445430831188802	0.00022409977089412405	0.0033626295457565747	0.0
WNT2B	0.0008150267352655541	0.0	0.0013149839305112549	0.0006166679264033439	0.004646885161550329	0.0	0.000855315392163306	0.00017309076000685767	0.003990164835773912	0.004358890803295681	0.004421977640537741	0.00023661202055711689	0.0044281044478848095	0.0006379143452642369	0.0	0.0008756984994682233	0.0032561175209310333
SRGAP2B	0.002194556282318264	0.004529045739863004	0.0	0.0010902966357187642	0.0020882556793905805	0.0	0.0002305099445846232	0.0031013761905733157	0.0010766990793443757	0.003862458013520694	0.0010455526371801619	0.002136632972415251	0.0012243393808855495	0.001563287588859258	0.0017021570471717176	0.001052630120839994	0.0
