	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19
AJAP1	0.0	0.0010150407475890252	0.0035293083187676933	0.000314317269257509	0.0020159810872538513	0.004014004376436631	0.00141938453214353	0.001149151964775665	0.0012245908122530322	0.0006410373101378441	0.0018368789546389793	0.0028614861637210544	0.002542246583474061	0.0017538839345523115	0.0015788376399179566	0.0019759895083914375	0.0020887128740176104	0.0016531373061027517	0.0
CLSTN1	0.002138920336419759	0.002363102783986019	0.0008117707918187711	0.004040084178372979	0.0017574548908154337	0.003693161619090072	0.0015565802913767523	0.0006270590841143245	0.002589700927593306	0.0	1.7585121138373084e-05	0.0013713661013302497	0.0016210407787790968	0.001919656143571552	0.0009088410712770504	0.0028643816513428005	0.0	0.0009760217396139456	0.0
UBIAD1	0.0002487301530857271	0.002390351338684484	0.0031268098776026337	0.00010708527562987504	0.0013723593829120901	0.001996395051054946	0.0015106247689237145	0.0049766378903345395	0.001655806151752824	0.0	0.0014455696360314676	0.00012148043486266562	0.001528823149098939	0.002282839581629181	0.0018995170098325411	0.0022398354931270127	0.0003982691934587623	0.002561019760575828	0.002412958036830997
WNT4	0.003002560006344678	0.0031836064311728408	0.0	0.00116789287587926	0.0017398412935276388	0.0012953763106064678	0.002221989911656164	0.0017439206050485307	0.0038328250751246905	0.0010119683070309586	0.0016737894687541305	0.0	0.003953591807164413	0.0015603137739153676	0.0015174124021226562	0.0	0.0007438934287285867	0.0	0.0017840753053963892
RSRP1	0.0	0.00017750955617458668	0.003999356610641111	0.002957782035465547	0.0033501088488895998	0.0009678618267955092	0.0005935113195676842	0.002756810773857083	0.0017481294014475531	0.003026288969989382	0.00044483715704977885	0.0	0.0011510075087857866	0.002845199842525511	0.0	0.0023779291855014584	0.0014874886305936753	0.0031041856672014306	0.00022222480350401978
SLC30A2	0.0026003760911831658	0.0020641820701156736	0.0008466977518047171	0.0015771691240299489	0.0019115652640092212	0.003478610646128788	0.0	0.002163495200385923	0.0	0.0017729318296328483	1.3236169173543545e-06	0.0	0.001827322929991924	0.0	0.0	0.001706139425117026	0.004489718111348284	0.004365736311761353	0.003498160158635781
CEP85	0.0019154277060014866	0.002540319197180286	0.0	0.002045528491085449	0.0034337029839350717	0.0015871468658416438	0.001231996114576476	0.00010405454854804536	0.0011209774955463956	0.002631585574835031	0.0006858932282828151	0.0	0.005279314590837923	0.0009974922837945478	0.00038304454612073525	0.0040176284296644825	0.0011946349343833218	0.0	0.0017695261669424408
ARID1A	0.0013835466889347526	0.004290843020340983	0.0	0.0025552644679251047	0.0015465843299500228	0.0	0.0	0.0028760011031976136	0.0025454319121487965	0.0016845817745067607	0.0030491790934465517	0.0011320649756853198	0.0006073866779714454	0.0011217603804430831	0.0036702549826122333	0.0007986709151256604	0.001796000856256635	0.0009379842115515112	0.0012075578660977115
WASF2	0.0026931355958131464	0.003953888990383193	0.0	0.0011247725400238564	0.0032449718444946965	0.0	0.0015887256759731156	0.0015264120923729012	0.001856248731835686	0.0	0.0028710634547457385	0.0010039915167823026	9.563754523949248e-05	0.0016845722652747907	0.0015864726196257075	0.001685152181244952	0.0028879753829953786	0.0020143011809038575	0.0008548418256765611
C1orf216	0.002545386492861457	0.0026515136359305616	0.0	0.0015347272354592494	0.0	0.001549864008230584	0.0008054327278056132	0.0011320478853197476	0.004868120699476341	0.0010225337020558648	0.0021558109986423066	0.0020218184127556113	0.0025841442064975994	0.0015285819551510774	0.004077255116829871	0.00017418665086566646	0.000354035724605201	0.0003087479489389557	0.0024688206880598617
