	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
AJAP1	0.0	0.0	0.002017694046911915	0.0017434787029772384	0.004089136144642371	0.004854180758301068	0.0	0.001726572661785594	0.0	0.0015253031189876776	0.0031946678401122367	0.002750042519531093	0.0009078370232370602	0.00032840716454054597	0.004363390357063923	0.0021452322742519	0.0009478287126849542	0.0019563662030951784	0.0	0.001345063365144464
CLSTN1	0.006115222294633407	0.0017780313876261246	5.104488740892736e-05	0.002517067750012688	0.003446481816412283	0.0005519455465129351	0.0008840667011703353	0.0014434288292549846	0.0010532165761332993	0.0008185935546691154	0.0006586619807946536	0.0007991051979077367	0.00148582706461954	0.0014370629597936792	0.0006528136323491391	0.002442407433969212	0.0	0.0023972423207117223	0.0	0.0
UBIAD1	0.0007527361686098154	0.0	0.0029263639272327346	0.0007474491571158015	0.002280912218979075	0.0037934469739040926	0.0004437856342751888	0.001701729110878376	0.0	0.002618429749433017	0.0030210624929183976	0.0020595297265994738	0.005458645668265911	0.0016551660911504782	0.0	0.00032978613072901696	0.0002921631354287196	0.002087280634270966	0.002724192148079147	0.0012272795133974638
WNT4	0.0005809673280897172	0.0032971133242133757	0.0021630192176944813	0.0042545702103338285	0.0026250238642526393	0.0	0.0014977317613414	0.006159586784780403	0.001638960102719725	0.0	0.0	0.0021028864364682543	0.0004900672313276686	0.0010222825160546751	0.0	0.0	0.001593805584388739	0.0006125663932984921	0.0016904820620919539	0.0
RSRP1	1.9762924932268855e-05	0.0	0.0	0.00300413905449732	0.0005648434679132601	0.0014546184944347193	0.004371535735967144	0.0	0.00047466318099447863	0.004987666074486465	0.0063459515033227	0.002510901544400208	0.004728031668477399	0.0	0.0	0.0019816052693067197	0.0009511062452444744	0.0024327572405965056	0.0	0.0009987427792518965
SLC30A2	0.0014102937306881762	0.0026084876580381765	0.0	0.0	0.004354346599498517	0.0	0.0023884354375002673	0.001730508220077711	0.0	0.004922862380109433	0.0008125769881188544	0.002649988907223282	0.0	0.0	0.0019056551909833852	0.0	0.003923985557308484	0.0010551333778157023	0.0043711109770052286	0.0029529625571840757
CEP85	0.004359396161778933	0.00044599317924486217	0.0023602371891771282	0.0016959101816724342	0.0009319961200180082	0.0	0.0019716701672052193	0.003025954528027923	0.0016943583281531628	0.0014578036672552516	0.0	0.005923785952160664	0.0	0.0	0.0019730649918903685	0.002151873074842536	0.0006359559832217653	0.000694424178255267	0.0021207764430242427	0.0
ARID1A	0.004582116310989629	0.0007539751420649534	0.004699989035066011	0.0026446519992810538	0.0	0.0	0.0024056239780177006	0.002727965795295944	0.0	0.00043777681407329214	0.0	0.0	0.0028234540990752185	0.0032226272897964937	0.0009234687411641033	0.0	0.003674523813088163	0.0	0.0009280179989314789	0.0008276528295836198
WASF2	0.003350560323473626	0.00365566791154227	0.004694441394095113	0.0019478603303748915	0.0	0.0	0.0	0.0020651768011758585	0.0013334301551459805	0.003592078051564999	0.0	0.0	0.0005490932324467654	0.001785546955301951	0.0	0.00015229907753770285	0.003931642999878855	0.0012920946137485634	0.0003055520272748813	0.0013709265610771047
C1orf216	0.0007400522807506408	0.002482106974077289	0.0024026609193400776	0.003976077737175193	0.002268190264916077	0.0	0.0013752957781657305	0.005414540711076021	0.0	0.0	0.0	0.0002448086771311233	0.00015868201241305555	0.004558265354444653	0.002742340478961026	6.175467475596947e-05	0.0006390916927135311	0.00024858919076873074	0.002523112926054614	0.0020287292867686504
