	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42
AJAP1	0.004330920123891357	0.0	0.0034865810818095464	0.00014164779065459695	0.0021455212980898307	0.0020878620615576576	0.0	0.0016568000803117984	0.0	0.0008587630858277996	0.0	0.001353759822153053	0.0028988452280703275	0.0	0.0018568300813890002	0.0	0.0	0.0	0.0	0.00027434358908797336	0.0	0.0	0.007477376852681696	0.0	0.0007404247700392551	0.0	0.006484677898604064	0.0	0.0	0.0	0.002087415703086348	0.006079842133296544	0.0	0.0004674867275756726	0.009271456625461088	0.0	0.0	0.003395969603895879	0.0036590929829148047	0.006175947513802968	0.0013674119708083502	0.001563147179407512
CLSTN1	0.0004577039089076706	0.0	0.00563098921383936	0.0	0.0014255496611859225	0.001813330033651116	0.0	0.0023777026846158933	0.0030921953762391595	0.006326866515026193	0.007247863392167789	0.0002954106069414452	0.0	0.00035836273852092983	0.0	0.0	0.0	0.0037265209939448115	0.00030540005786129903	0.0	0.0	0.0027983146876975466	0.0	0.0	0.0024178507587967013	0.0	0.0006200520207590482	0.000719684365857271	0.0033430131511619564	0.0	0.0047226078049747615	0.002117649880302164	0.0017109503096856798	0.00600825910951244	0.001405320415636458	0.0	0.0	8.005848901593571e-05	0.0	0.0010020853288733385	0.0021838306138849462	0.007896708965346985
UBIAD1	0.004244207029905837	0.004189535853078525	0.0	0.005012135220531802	0.003216617408275442	0.002101100143903682	0.0009755129047435313	0.0	0.0010776786065057704	0.005062043089803324	0.0	0.0	0.0017076974571685417	0.002832480896388368	0.00014287333335369056	0.0	0.0	0.0	0.0	0.003873336155050808	0.006273612287543967	0.0	0.0013324992863936944	0.0020876632020371926	0.0	0.0011549796273939413	0.0006378246133034945	0.0	0.0	0.004857932577168305	0.0	0.0008389543170234309	0.0	0.001668265406992428	0.0019079732444014345	0.0001538417838436784	0.0	0.0020015710509444073	0.0	0.011868255304954356	0.0	0.0
WNT4	0.0	0.0	0.004917391946681096	0.004934333144872997	0.0	0.0	0.0003209075624097083	0.0066363061174759515	0.006852247631659196	0.002223866067259768	0.0	0.0	0.004653403342106335	0.0030361770797551753	0.0	0.0029959782569946246	0.0	0.0013216751499923111	0.0019839082156214716	0.0015098324328358251	0.0009627865697134376	0.0	0.0	0.0023899087213780828	0.0	0.0033893554841810274	0.0	0.0	0.001463010601002628	0.00010284494267073297	0.0	0.001115364339151483	0.005070084189946268	0.0	0.0	0.006277779244986044	0.0014907285428474235	0.0	0.0	0.0	0.00619613465239234	0.0
RSRP1	0.004414815050859519	0.009124869804738077	0.0	0.001385189028757465	0.0034561057775450194	0.002017705238047797	0.0013990421080205648	0.0	0.0	0.0	0.0089360149603238	0.0	0.0	0.0	0.0003108819182557122	0.0	0.0017942027858203352	0.0004833658979510281	0.0	0.007085416752935553	0.0	0.0	0.0	0.0	0.0032863185199751514	0.0	0.00108484023028172	0.0018239213251385195	0.0	0.0	0.00609819480673099	0.005708371279694908	0.0	0.0	0.0019025803377618188	0.0	0.0	0.004012594065305695	0.0	0.003235870859033732	0.0019831650494188608	0.0
SLC30A2	0.0	0.0018926957447550634	0.0	0.0	0.0	0.0	0.002793280301539566	0.00031850200154254064	3.999888943842508e-05	0.0	0.0	0.0	0.004424482568396754	0.0	0.003306733300975756	0.0	0.0	0.003797615100458104	0.0	0.002854029503897028	0.005349237497123792	0.0	0.0007399942616999719	0.0004502867563375216	0.0036286569179191587	0.009399029056820052	0.0	0.0	0.0	0.005722386005033905	0.007659356670129554	0.003840450389129503	0.0	0.0	0.0	0.0	0.007617857996489423	0.004954676735302247	0.0	0.0	0.0	0.002159837380481796
CEP85	0.0	0.0	0.0	0.0013595500251207698	0.0	0.0025348036505337458	0.0039431130371598636	0.008071535740473744	0.0	0.006625187529980032	0.0	0.0	0.0	0.0012278133491270226	0.0001679665230743759	0.005186610656312171	0.0	0.0038562842636947394	0.0010675642625194292	0.0	0.0012812116691682638	0.0	0.0016208375845811925	0.0	0.0	0.0060609827182438614	0.0	0.0009425582280392324	0.00478275220759792	0.0	0.0015644524790119016	0.008364898601378054	0.002380993174937518	0.0021692980321805526	0.0	0.0008824710495500975	0.0009086301652137347	0.0	0.0	0.0	0.004825874881917359	0.0
ARID1A	0.0	0.0	0.0029298533593062237	0.0031776904992564963	0.0	0.0	0.0016753449996786017	0.0	0.0016461486606543744	0.006453935064440316	0.0010982878981278376	0.006913512342570572	0.001912055692966176	0.004353338096086231	0.0057426916594458715	0.002389795154913214	0.0	0.0007289817572254828	0.0	0.0	0.0006436814945929909	0.0	0.0041193117434800966	0.003190543496477326	0.007327477236588668	0.0024887527944842747	0.0	0.0	0.0006387746735748553	0.0	0.0010194613142159583	0.0	0.004716597702762778	0.000386349062470473	0.0	0.002556473305870272	0.0	0.0	0.0	0.0	0.0037369000929767192	0.0
WASF2	0.0	0.0	0.00025975395205119444	0.00363360518039759	0.0	0.0	0.002091009915723863	0.0	0.003462856329358936	0.002438454695467416	0.0006774497616073734	0.0035344784618285244	0.002705939314443972	0.005997020385943875	0.005854821514347442	0.0	0.0	0.009112430089177316	0.0011362740549885283	0.00031947885476401954	0.0013028848662635364	0.0	0.004417953722410383	0.006242608106865387	0.0013271386453862575	0.0	0.0	0.0	0.0037057708070267798	0.0	0.004108061772565368	0.0	0.004789901287689294	0.0	0.0	0.0005641426571850196	0.0	0.0	0.0	0.0	0.001291254049964634	0.0007048102404144891
C1orf216	0.0	0.0	0.007093557630807529	0.007257865012088767	0.0	0.0017403834556811142	0.0	0.002041477623662402	0.004107857393867058	0.001893941908691971	0.0017046515863385256	0.005933070499922921	0.005724378088909222	0.002123014076689771	0.0	0.0023458937479566683	0.0	0.0	0.0007580714630141845	0.0	0.002165600780035165	0.0007445749397706923	0.00023595633662648366	0.001091131821866787	8.275908778575592e-05	0.006797766385413547	0.0	0.0017772662775058067	0.0006940069213938091	0.0021499630547538767	0.0	0.0	0.000577546298983811	0.0	0.0	0.0023315657128054504	0.0	0.0	0.0016788421802764908	0.0	0.006527687211539016	0.0
