	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14
LRRC47	0.0013464791945134418	0.000759498195329591	0.0	0.0048332440235741075	0.007704229956048825	0.009634291284583128	0.0034973131523764914	0.00026130733117141024	0.004703424566100139	0.010795463217897042	0.005684590582312289	0.0	0.0	0.0
FBXO2	0.001739987724343867	0.0073987402844976425	0.0054761419334835425	0.0019174432543541463	0.0	0.01204950602204693	0.0023509637047697935	0.0	0.003925740433048371	0.004248128279016123	0.0	0.004396899895738448	0.0009577472904367316	0.0
SPATA21	0.0057204389304624376	0.0	0.0059836943117848075	0.0	0.0020952140306919652	0.0	0.006837972563537646	0.008614000937693489	0.0002836131642127346	0.0013281058794513852	0.00305438740314076	0.006860430461722327	0.007123847815904243	0.0030122522219803915
AKR7A3	0.0	0.004931666074964946	0.00953730421748593	0.0053537651427719695	0.004893851768227883	0.0	0.0	0.010583643065277974	0.00535898082080739	0.0012842970005256403	0.0005134204395519207	0.0	0.00044332049109975345	0.003101939940151386
USP48	0.001041790396529861	0.0061007727076381885	0.007982945236547996	0.003051655942163834	0.0	0.000841427635801346	0.0	0.0	0.004373305941092411	0.006789336780635959	0.004412541204488831	0.0038223272582765576	0.009149880245371864	0.002885253305714473
LDLRAD2	0.0030913180252148498	0.0	0.00041077270833745434	0.005443956315016934	0.007639279868582215	0.004580507751077393	0.007734255025179838	0.008487123971776523	0.0006080667196535644	0.0	0.002126714106283794	0.0019247311197479672	0.0	0.007602883657012644
TEX46	0.004034908076204609	0.0014016831514610613	0.0	0.0	0.008245622465966846	0.0038204009174890603	0.0009958314348700373	0.011626857382807948	0.0006515291037830549	0.0018183087180335927	0.007667424685824703	0.001776384945144672	0.007137917670277316	0.0
FABP3	0.0012557766649739803	0.007503659118209575	0.0031049283105651533	0.0012249867425811825	0.0	0.006736060143617316	0.005937389903169265	0.0	0.001597971877740742	0.005250419802142312	0.004202187548529343	0.0037516561352835846	0.008431959511620863	0.0
SF3A3	0.0032110858788673697	0.0023883203192787395	0.005085250144111288	0.0015686637828702516	0.005676787977150873	0.010463678389636976	0.0	0.0005870962806704094	0.0	0.0037919055860355325	0.0006989973951595002	0.008059597527837256	0.0010122155772188104	0.005435653665769914
NFIA	0.005939769020595786	0.00029459414409579646	0.0008189228869407855	0.007861429008844952	0.0	0.0018146480798518897	0.005708620057370912	0.004959166737863239	0.009065687372611486	0.005665711244933987	0.0	0.0025079204177348834	0.0005110041632819871	0.002286554608255618
ROR1	0.009286315276130457	0.0	0.0	0.0021446283518073133	0.003846154709570402	0.004607015081568096	0.005183125514100577	0.00047431257454985415	0.0	0.0016221320126436707	0.0	0.009845342681299269	0.003211244467515241	0.010708564418471274
SERBP1	0.0017627088289292607	0.005667540369285177	0.0026303920469996273	0.0	0.0	0.011255354535542179	0.0	0.0	0.0033455386586651514	0.004918400591506658	0.007215693504625943	0.003719107053471485	0.0058273465525985986	0.005695133564441687
LRRC8D	0.0006456343956666671	0.0	0.011401006242554862	0.0	0.0	0.001919194886282926	0.006091917871274573	0.007493352860680276	0.00631079538189499	0.010502727625472065	0.0	0.0	0.0028019251278969064	0.006367878768609724
FRRS1	0.002477974007852065	0.002977584222481492	0.0	0.007543408516782712	0.012088176707966873	0.0	0.0	0.009592378257318498	0.0	0.0021445334452021296	0.0	0.0014031374408217312	0.0	0.0103824326120427
AMPD2	0.009783879315516412	0.0005845041748062863	0.0032658700928777503	0.002310368528586434	0.0	0.0032860420100148903	0.002783580234101878	0.0007274799449179877	0.0015245529950919411	0.0	0.012134446057318253	0.0021013982663509634	0.008399030395614968	0.0
SLC16A1	0.0	0.008356605646692536	0.0	0.0	0.003811214168209071	0.004691864294145342	0.011927214829515422	0.0017804683679453668	0.0	0.0063023873928214685	0.006707157687457598	0.0	0.00514850444745626	0.0
NBPF11	0.0	0.009454194406688968	0.005191835816208463	0.0027343900587147594	0.0026111538872671406	0.0001972704100746117	0.006777866858227047	0.0006139509963918781	0.0	0.00188269565400999	0.008518841083637967	0.002271091797080123	0.006744717152183844	0.0
CIART	0.0035583400651234606	0.004795997210211471	0.005475635062175839	0.0	0.007035594003160799	0.009552864985061834	0.0	0.0	0.0005909660829738922	0.0	0.004401720494559674	0.006032690969683996	0.003685947776283971	0.001827104581859896
PI4KB	0.0	0.008999160106607632	0.0035988337955209027	0.00913136580764005	0.0009466407489710039	0.004995480659913152	0.0013123813163369695	0.0	0.0	0.0038953770175392446	0.002865059772134761	0.0	0.0072923126878626475	0.004616047537012185
TDRD10	0.002410859771865511	0.00399466112189155	0.008316849112471566	0.010646485450301208	0.0011913478343682895	0.0025089597395408017	0.001557373628154353	0.006252201550982093	0.0	0.002506800751084033	0.0	0.0	0.0004635981846412776	0.004792653190566413
ZBTB7B	0.008291858208799447	0.0	0.00311725030229902	0.005528748414128217	0.0	0.0002829538992530017	0.0031007877841037774	0.006230983783214809	0.008850289145093802	0.001331636846775539	0.0	0.006398740841488046	0.0015301176634444794	0.0023910873334586262
IQGAP3	0.00621235545590518	0.0060263232559684046	0.001620790407825955	0.0	0.00041590158205183673	0.013833649009787808	0.0052996113502838315	0.0	0.00010634887757821963	0.0	0.0004912929402465695	0.007776538023425583	0.0023278520611828635	0.0
TMCO1	0.0	0.004646587581743956	0.0027190493335375074	0.003940005238880162	0.0032602424462427	0.005567965729468107	0.000752463976416351	0.008992481334113935	0.0	0.00683093358968461	0.006821292970654949	0.0	0.005169962251777907	0.0
PTGS2	0.0022139533964231546	0.0073183687336470515	0.008101383399511327	0.0	0.001493832861731874	0.004980034526492085	0.0	0.0005081628884467011	0.004491492291627809	0.0011586648808462883	0.002533502629123239	0.007581625482067813	0.005461596907310843	0.0
UCHL5	0.007441793086254153	0.0	0.0	0.0	0.004671898363698779	0.0051049453688943236	0.015103950475313549	0.00317414286992886	0.0003498549884913319	0.00542728294547804	0.0	2.918093934957171e-05	0.003104565177257804	0.00442261282248576
CFH	0.002488531755223383	0.003055956978245791	0.0	0.0	0.003809586340209537	0.00043048107888883744	0.001248453260362707	0.003843106771142335	0.015584273559952776	0.007772606131331185	0.005972534301779678	0.0029725217824545518	0.004091667770652503	0.0
KDM5B	0.009571402381282007	0.0	0.0025588784012966406	0.004546148282146112	0.00598858064175686	0.0020305685046900467	0.008688423095727177	0.0008863148718556427	0.0010865530576802075	0.0011906792612440267	0.0	0.004338074288032981	6.932284889976697e-05	0.004505747924719864
NUCKS1	0.003430795079930053	0.0018195345777007963	0.0	0.011409557082022936	0.008257078901749091	0.006838741334143676	0.0	0.0	0.0	0.0	0.006704754940648918	0.0	0.0	0.0111678030294027
TRAF5	0.0	0.006381552309895604	0.0026359153323875853	0.0	0.0032618348936909744	0.005356787664580557	0.0021095714494929053	0.0016406453776622637	0.0	0.00539840052439941	0.0052458342262546856	0.009467574639337974	0.006042898168352777	0.003416552993549259
SLC30A10	0.006739788960053974	0.0015135302699088504	0.006552408658153957	0.0	0.00111832070256948	0.006068111922421944	0.005203782269636711	0.0	0.0059927937020147065	0.0002457261034748716	0.003816449533825845	0.006332617936750818	0.0	0.002197968803513442
RBM34	0.004601346400402133	0.00012278915193125883	0.0024388420650879876	0.002547326368906937	0.008077096769237284	0.0033326104345400838	0.0	0.002367701787165975	0.006073057787298375	0.003213381113949177	0.005400691515085781	0.003977266436592611	0.005777060522657037	0.0012361423078338177
WDR64	0.006685335986663868	0.0	0.00028810678439416886	0.0020348634810676775	0.00915990011652056	0.0	0.0047594593810357305	0.00535697364998284	0.004276188339963623	0.0	0.0	0.008039704082027522	0.0014156021020976725	0.008046751123648506
KRTCAP3	0.008537866806302096	0.0011592733761318136	0.0	0.0064095094411247815	0.007752850522688796	0.0	0.0	0.0017459869722427895	0.0021809247247365593	0.0	0.003523825276633229	0.008357062815161872	0.004324564331138036	0.0027902325991813214
CRIM1	0.0022701086068682447	0.0012871256780334734	0.0	0.0024624890113507337	0.005332436837356274	0.004359141401881524	0.007110719543001521	0.0013711968370896982	0.007145292018993269	0.0031902624041506575	0.005636849152150615	0.00040410345112414786	0.008219636297770455	0.002935390032676735
SLC3A1	0.0	0.005324431884838689	0.010408714757823932	0.009573197568165473	0.0	0.0005010743793985295	0.005960473351063389	0.008200608955352665	0.000877852157088751	0.0007870210022797461	0.0017218984427408482	0.0005006079060267129	0.0	0.0
CFAP36	0.00201202385221801	0.0094204536002425	0.006070956735418288	0.0	0.0009066782973185154	0.003882976096209648	0.0004624041939754006	0.0	0.0056398118742529	0.003938800564660403	0.004972906872902881	0.0041407237993550386	0.0042840813231687985	0.0
RNF103	0.0016217724763300597	0.0077167257681756765	0.0018316895065963457	0.0	0.0	0.006887971138157358	0.0014314164149684622	0.0	0.005559833554009562	0.008824167112234266	0.006659573877231096	0.0020228143752849897	0.007032641106027817	0.0
MAL	0.005119776357250637	0.0006877789710984502	0.0	0.0035716630314948502	0.005577162023182567	0.0014397386060134914	0.0030249371446439874	0.002013006753152566	0.006265752318780364	0.0024351601007151693	0.00600183866181944	0.005459495659171491	0.0051121714687227295	0.003970298499751996
ANKRD36C	0.006697202124312235	0.0	0.0008915015779295077	0.0	0.00902092916485157	0.0033033810032720985	0.0021982406423878913	0.007679727186819272	0.002643352859437728	0.007215196374345429	0.0	0.0022399178470721114	0.0	0.007687630878531462
LIPT1	0.0032597664539550774	0.003195441255765304	0.0049161301785184625	0.0	0.004635408427622604	0.0	0.0007014139388792247	0.004593284499080407	0.0	0.0002015756733870163	0.005496858865477813	0.012000749642995159	0.010375021635451986	0.0014850731527052137
CD8B2	0.006037770813231898	0.0	0.004798057208562704	0.004109608717605637	0.014783527939198644	0.0012399580022928068	0.0023347933023844416	0.003364577909869102	0.001537491701294821	0.0006248772356080744	0.002998550067018201	0.0016607736560892148	0.0	0.0
IL1B	0.0	0.004197968237652073	0.006117310879144794	0.0	0.005614927576541361	0.004614012550748449	0.0	0.006649678175960724	0.0	0.006077536502926216	0.006361054175555767	0.001733483795245783	0.00880387680325913	0.0
RAB6D	0.0036312978252794094	0.0	0.0065321773369041245	0.0	0.009777280755293362	0.0	0.0006691108049272036	0.005100800339720592	0.008685150360410291	0.0015326142778429156	0.006062415033843178	0.0043209997885814	0.0017339369008060265	0.00017101381318348653
PKP4	0.0009156517470948585	0.008197381394174679	0.0030381588496450097	0.0030402927926561	0.0004430340215129458	0.010231376377723088	0.0	0.0	0.002352274920315585	0.0035032074596896977	0.005846004294166682	0.0021012084870959237	0.007258038676610494	0.0
TTC30A	0.002258044437788475	0.0021288475576508787	0.0005193947440057889	0.012156893799349809	0.007534580245638264	0.0	0.003813881743160039	0.0	0.00017592995759712214	0.006074899926232031	0.00865356204995544	0.0	0.002148001882654423	0.002691361671086394
ITGA4	0.007252797815606713	0.00012860263759187495	0.0	0.0	0.00017498187233723128	0.00365465924605984	0.004006113386600989	3.141522168867113e-05	0.003367153147648543	0.010779086029877271	0.003172373854673449	0.0015252335409835062	0.010733582975672852	0.010196677426030852
MOB4	0.0	0.0067380291209598936	0.0	0.0	0.007396149440892467	0.0	0.006351035145479817	0.005673348928109592	0.0	0.012295144131539862	0.003298391643320144	0.003930958446299837	0.0	0.0054161064428601925
FZD7	0.004307497812282125	0.00793189637117795	0.0011506958535589457	0.0	0.0	0.009173684709408913	0.007542608459156446	0.0	0.0	0.005716843467608853	0.001657473457856341	0.001872524112923592	0.004806733538656327	0.002714685187342576
PECR	0.00795119256641887	0.002184983847883685	0.0	0.003859625707518108	0.005297760018264058	0.005382100957481455	0.0	0.013783156145639531	0.0	0.0	0.005215885196976269	0.0	0.00026759562555919925	0.0
RPL37A	0.001034792701730133	0.006539107947538798	0.006640581444836911	0.0007030219903594626	0.0	0.0064568858520242245	0.0	0.006355891676602084	0.0026569387059711736	0.007697180396191079	0.0001099383594287641	0.0	0.008622538075832246	0.000928257403462208
TRPM8	0.006611699010493857	0.0019066996287017374	0.0018999723044223588	0.0	0.0017857535437920844	0.001738369428223845	0.004340247959027412	0.010345083695437742	0.004604771147087183	0.004306844493379199	0.0034129333760874224	0.002719489126661795	0.002923171010876385	0.0007587460511466876
DUSP28	0.0	0.006556924740842056	0.00972396334998283	0.0037280198880596483	0.0	0.005416844151822087	0.0	0.0	0.0046014263387125	0.003983231736992619	0.007878872774079292	0.0	0.005045783404235951	0.0
TBC1D5	0.0	0.0	0.004627516393196489	0.0	0.011335511238388406	0.011817376082742205	0.00969198352078834	0.0038922794706801223	0.003268542726797443	0.0	0.0010146237647750452	0.001963801799155684	0.0	0.00046149708629257525
KAT2B	0.0	0.010049384729987799	0.005348334650161521	0.00869676815576443	0.0	0.0012029204220624188	0.004807431082659614	0.0	0.00020367893496786948	0.002348789366888374	0.005278834062362248	0.002535950597566121	0.0041671248523506696	0.0
ACAA1	0.0016695810852946078	0.007866332985473772	0.006623762884665991	0.0	0.0	0.005468552387811967	0.0	0.0	0.003697640995599319	0.0053580638441152	0.003882489197493941	0.0030264587737931295	0.0075161851123702085	0.003842501563706455
CX3CR1	0.0	0.006734185322047531	0.002781103800232245	0.0019504885313111574	0.001601212762887402	0.0036124294657409453	0.005293624541195461	0.0	0.005186806102089467	0.004666867593653844	0.007999265702682896	0.0012851618342875825	0.008704008127357554	0.0
TOPAZ1	0.004700748145944701	0.0	3.097556819916134e-05	0.009345578986679556	0.004888697062539249	0.0	0.012521366608640965	0.005618352014458124	0.003867406356057754	0.0	0.0	0.0024501035540023365	0.0	0.005367457897591632
NCKIPSD	0.0006927730271140948	0.0061430175961673045	0.005300942004738103	0.0	0.003931996107064375	0.00729038387925808	0.0	0.0	0.0	0.0075914149822532695	0.0038889992632561376	0.009824482426700585	0.0031235720563896827	0.0
PARP3	0.005364735257650174	0.0	0.0	0.002811489627796775	0.0031998688689697814	0.006166650096720614	0.000720145435248041	0.00826182875821847	0.00725171370536895	0.0	0.0	0.009101905476795794	0.0023830963675523205	0.005734053143187917
BAP1	0.0008087851897108035	0.007977560438609347	0.008900391122873014	0.0	0.0	0.0031592269889306507	0.00186843966503175	0.0	0.006224204934086905	0.003462064714179823	0.004903708503074249	0.0	0.006387746723008818	0.005158201736603665
FOXP1	0.0	0.007268270000842494	0.007297346300632848	0.0	0.0	0.008941803614960258	3.3173356417683584e-05	0.0	0.006529117444188416	0.004911020182603617	0.004643027888147862	0.0036119449018593326	0.004705416315543473	0.0
