	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14
LRRC47	0.00016046654680233134	0.004135277158223889	0.009876398916025294	0.0	0.0	0.005424521735296978	0.008519186422318494	0.001125323866669609	0.0	0.004891736873124257	0.008342224631569492	0.005080082600158986	0.0030791544960013266	0.0
FBXO2	0.008353487781723536	0.0032063971309122604	0.0021275663058606957	0.0026098975511614614	0.0	0.006582193734042656	0.0032253236584601132	0.001215253421100353	0.005246433816778453	0.0	0.01009850267759296	0.0	0.0006170482482548547	0.0
SPATA21	0.0	0.004369983948067898	0.0003042933641694037	0.010059842507773151	0.0018549913303067033	0.0	0.0	0.004164133219571615	0.007519228748095753	0.0024181959108851903	0.0	0.008554761843739522	0.00935657274925188	0.004498585423056998
AKR7A3	0.0024980809106059814	0.0003726957994881702	0.002665673083570861	0.014686040376728934	0.0060522617501668876	0.0006090509425282916	0.005643759507222277	0.004134028567870126	0.0	0.0033983608993265677	0.0	0.008948228176463568	0.0	0.0
USP48	0.0064899762579330635	0.0	0.0	0.007737018592008766	0.0	0.009695759664908767	0.0038846397600093546	0.0	0.005798938112619253	0.0033392609892463863	0.0	0.0034409684010295654	0.0	0.0073709729461665695
LDLRAD2	0.0	0.002955029960263971	0.004794931805884266	0.0025399477219922	0.01467916331864399	0.0	0.0019745266795316804	0.006434717286544726	0.0017944058178891832	0.004367999134789225	0.006977307150511857	0.0	0.003673182405711643	0.00011761991082931876
TEX46	0.0008866137236482923	0.006066414191354256	0.006227137085416937	0.0	0.006690847003038108	0.0006895824743009411	0.0	0.0006521525912605423	0.0029619179939405177	0.006897140088133154	0.004007527082614713	0.012883167764776444	0.00116999541538105	0.0
FABP3	0.009304629506767685	0.0007153429461494705	0.0	0.0	0.0	0.00746253037746699	0.004512224991669508	0.00040778445427316705	0.007136076858131416	0.002332989808168915	0.004646252556912801	0.0	0.0066523337895933385	0.0016996292935385752
SF3A3	0.004355460112568424	0.003729961224426539	0.009207621244368193	0.0026528423150367314	0.0023371216278231604	0.0	0.0008540528565987991	0.0	0.006869772450563702	0.0	0.010199443903819062	0.0	0.0	0.006808896898760691
NFIA	0.0	0.007391179606045952	0.0011599571694913247	0.00158531095973141	0.0064370226980479004	0.00890053772297539	0.009862448440842405	0.005177249005778937	0.0022535878127570327	0.0	0.0005876579949012972	0.0	0.003644976367450529	0.0016366214920806208
ROR1	0.0	0.007316027418113807	0.004419993551131077	0.0	0.00542647503641938	0.0004921722135419196	0.0	0.004154094781379553	0.009883335579436471	0.0	0.005887615768868883	0.0	0.0038428883240658527	0.011259323826356978
SERBP1	0.00734350120705287	0.0019430028479974595	0.0	3.65761712939706e-06	0.0	0.007657581508265456	0.0	0.00015741113109335965	0.0035708816449222147	0.006815615201004985	0.01242361436310765	0.0	0.0	0.007442914579856544
LRRC8D	0.0	0.0	0.001882049861615351	0.015588460191273412	0.005824531445138249	0.014491171279551717	0.0	0.00445543414090415	0.0	0.0	0.0019434626684927167	0.00029481514552771843	0.0025209351727614074	0.004484082425422563
FRRS1	0.0016579957120774755	0.004273940398799114	0.01152484197659956	0.0	0.014856051198139902	0.0	0.0037711034792623607	0.0	0.0	0.0005864296904159503	0.0	0.004584629310145345	0.0	0.006824140456984541
AMPD2	0.0025502527252312325	0.008598194935998229	0.0	0.0013400889763955704	0.0	0.0031829858642281714	0.0019132095884021193	0.0017629200227177897	0.006429518623436646	0.008378248353972124	0.0026544048633304162	0.0013330322118461492	0.0032642778678827946	0.007463521831605807
SLC16A1	0.006904996675333542	0.0	0.003612816233395444	0.0	1.3276840409403445e-05	0.004028581505387052	0.0	0.0	0.0	0.0051779221672233955	0.005626971994411852	0.008914870812924398	0.014451350694413674	0.0
