	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14
LRRC47	0.0	0.0	0.0	0.0	0.008923605599163649	0.0010310136400915732	0.0	0.007869686978714877	0.01559478043349263	0.009413642528611406	0.00928554604030146	0.002721421443620635	0.0008044911416262493	0.0
FBXO2	0.009318845740309141	0.006213161575464983	0.002715307275658244	0.0	0.00431683272495253	0.0018218848797835734	0.0	0.0038138412847396196	0.0	0.007547756946557976	0.0	0.004887284041339824	0.0	0.0
SPATA21	0.0	0.004560903290293682	0.008498072786689797	0.008712742172561466	0.0004686429021813685	0.0	0.011983954641939989	0.0	0.0	0.0	0.010917871706395072	0.0002297716113168717	0.0	0.0036757315514963865
AKR7A3	0.0017877000287932583	0.0	0.012879804435394491	0.004984985700110595	0.0032178219114057925	0.0	0.0004578909801876385	0.00406602957584671	0.0018086594990366644	0.0	0.0	0.003820240423757379	0.01457129852356936	0.0032837300139452693
USP48	0.007589974904676523	0.0024872341339650826	0.00905438295801447	0.0	0.0	0.002730526474187722	0.005511151840856306	0.007771243642459778	0.0	6.92352878414003e-05	0.0	0.0	0.001682865808434852	0.006686447982870547
LDLRAD2	0.0	0.0012607082797009672	0.0009613561400129562	0.011355348529263764	0.004086272966666621	0.006670603603235702	0.0027147777900150506	0.0	0.0010739913989136118	0.007704538874409633	0.0	0.006625976034716888	0.007878702841419036	0.002097147534403223
TEX46	0.0004450141395366782	0.003126306890222746	0.0	0.0038773858121790954	0.0052968482565302275	0.0	0.00799165162380744	0.00330135827405025	0.004871044532696855	0.0056664234308320535	0.005614680769733157	0.0	0.013660195401386428	0.0
FABP3	0.011254245811788542	0.0046954376785213105	0.0009903874040962635	0.0	0.0012982975598257861	0.005177229261353092	0.0017244738531546505	0.0037469303185462223	0.0012203098041207179	0.003180984234962453	0.0036335728860088716	0.002605868621300627	0.0	0.0
SF3A3	0.0032398844319474025	0.005676760881657882	0.002199897362206301	0.0	0.011453464460413596	0.004897711625061255	0.0020405660015823737	0.0	0.0	0.01073034628924537	0.0004918781152895414	0.0	0.0026627568363640926	0.0028390878935539853
NFIA	0.0	0.007708476714511712	0.0008728591560436671	0.003827190443371693	0.0012044703380981363	0.00789092016136082	0.0	0.009831294612380855	0.0019328535770195762	0.0	0.0006705291348837232	0.008689848456158646	0.006738655299786339	0.001748618378044875
ROR1	0.0	0.009618308629398676	0.0	0.007210847331282173	0.003151128836096182	0.008839700154786592	0.0038847225447285706	0.0	0.0	0.007859196509367027	0.0	0.0	0.0	0.008201828436941599
SERBP1	0.009622317713812098	0.005367831017387718	0.0	0.0	0.0	0.0	0.002252754373724157	0.0010778169517059132	0.0010477123851111568	0.012599487790115334	0.0	0.002168142733519913	0.0	0.010812698574005974
LRRC8D	0.0	0.0	0.013092210020185586	0.005048244239063486	0.0005922708827888906	0.0008702035137921041	0.0	0.01174483035654926	0.0	0.00263941723020113	0.006767839397625303	0.007480064891673698	0.0	0.005360017775190555
FRRS1	0.0015538439043917519	0.0	0.0	0.010148017533045632	0.009389445476906956	0.009249516581346838	0.0005773366034962618	0.0	0.0	0.0	0.0006371608365656525	0.0	0.012029072194941978	0.007342619106582273
AMPD2	0.0029286729140882446	0.00947529939517822	0.0018216699139228562	0.0013984738951632646	0.0	0.0026581441404331736	0.008109145787625654	0.001869095891812366	0.00957319445052374	0.0017387414132220885	0.0014197317419445239	0.0	0.0	0.005919696727712775
