	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14
LRRC47	0.0	0.0	0.0077391904719482036	0.0	0.013470751924259637	0.0	0.0012251351361159376	0.007837913838086328	0.009552428658495761	0.004333129463349621	0.002411808357547977	0.001556858176236262	0.0028154258435268793	0.0
FBXO2	0.010289318145580135	0.002690956816952284	0.0023415486745611276	0.0025734606967675777	0.003730240066991095	0.0	0.002464469258714342	0.002939547424163325	0.01076828576378017	0.0	0.0	0.0023682075115380777	0.0	0.0
SPATA21	0.0	0.005547512141438321	0.0009974795060901042	0.007286932431709142	0.0	0.010092620584707997	0.0	0.004468444348419977	0.0	0.001579638079106115	0.006309806035120464	0.006575467544211099	0.00036869731810983467	0.010802311978314558
AKR7A3	0.001468421190064239	0.0	0.004105030430237894	0.014454095578065413	0.003269621253863469	0.0073209646604900655	0.0	0.0	0.0	0.012740589908574455	0.0	0.0	0.003201685435781447	0.004157864549200111
USP48	0.007471847579102971	0.0018846505710244708	0.004390772006052545	0.008628002802874617	0.0	0.0	0.0023872424875786232	0.006024957597720081	0.000918727289258638	0.0023977336420753217	0.004960861030144535	0.0	0.0006993521808511632	0.006623756739412022
LDLRAD2	0.0	0.0010985442948245022	0.0	0.0023829633492318237	0.0027863021281160187	0.013337239494759434	0.0058480576287936814	0.0	0.006481189541472872	0.002135531888195801	0.002569176402487644	0.007952781476724772	0.006796082295256581	0.00051311064802176
TEX46	0.0	0.0038938459811782298	0.000788524017325982	0.0	0.004738100348955758	0.005005185925699127	0.0	0.002235165523014638	0.004749586825003606	0.012023264973851195	0.005703675538140196	0.0032270607539022418	0.00517677010725648	0.009312482408499082
FABP3	0.011468234493215606	0.002685487863195482	0.0020033002189289513	0.0	0.0007578527184483109	0.0	0.004173667929320255	0.004652358027932153	0.0033497507216960942	0.0	0.003979615029324487	0.004995423213696919	0.0	0.0053750927149368785
SF3A3	0.0018773505478177084	0.0040482203860006645	0.0	0.00390667385352189	0.01120381258298686	0.0	0.003055375059342354	0.005509615220963506	0.009215413095183768	0.0005048722274068422	0.006029591015886687	0.0	0.0008258125045019401	0.0006410754792990954
NFIA	0.0	0.005779001118532825	0.011213945602732802	0.0008870667626677312	0.001723390250994654	0.0037599078877379676	0.009182745065467698	0.006448999328324907	0.002561869779727626	0.0009323493501773358	0.0	0.0022218044652050745	0.0	0.0
