	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42
LRRC47	0.0	0.0	0.0	0.0	0.006272648846109156	0.0	0.012531958600547708	0.0	0.0	0.0	0.0	0.0	0.010380534099302483	0.0	0.0004542494421902648	0.0	0.007197858973594436	0.01040498932545795	0.014015380889319261	0.013627977717215328	0.0071455832114193105	0.0	0.0	0.0032199867485212916	0.013450774438859173	0.0	0.0014528339577357613	0.0	0.0	0.0017751819129731077	0.0	0.0	0.0	0.013445431272459344	0.0	0.0018049000965561287	0.0	0.006921245084294594	0.0	0.01708010909178684	0.006265452616331952	0.0
FBXO2	0.0018666202282432876	0.008203677096024617	0.014726571080896454	0.0	0.005289793459980822	0.009433819856467482	0.0009579999043300093	0.003798988322816905	0.004095542511900367	0.012648319431563883	0.0	0.0017138178562316653	0.0	0.0	0.0	0.0	0.015429782112344042	0.004023966171827254	0.012535734784521805	0.0	0.0005880805035988063	0.0	0.002915745602616332	6.990131293363184e-05	0.0056545236365319745	0.00822059771788082	0.01041052691763058	0.014055264046303499	0.0011753582187112675	0.00011047181305749695	0.0	0.0	0.004772720974590074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPATA21	0.005355236442020528	0.0	0.0	0.00641018929830674	0.0	0.0	0.0	0.009632770102890863	0.009205820438398524	0.0	0.018024644126636475	0.0	0.0	0.0	0.0	0.019171022869047205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005823357034154804	0.0	0.00998610588097659	0.0	0.0	0.001809546017310132	0.014598617239286007	0.005415835309768778	0.0019482802892940821	0.0	0.005013329347656268	0.009590783288223477	0.002291545813046296	0.0	0.006908385992203383	0.003758139847700283	0.0	0.00808543485599306	0.0036376734168112696
AKR7A3	0.001041487446958172	0.004486395879326902	0.003069696547925602	0.0	0.0	0.0031748298983077547	0.0	0.004021985947119738	0.0	0.0	0.013172164875305736	0.0	0.0	0.0	0.0	0.0048072376492596805	0.0	0.0	0.0	0.010832005557812314	0.0	0.0	0.009637330138659134	0.0	0.0	0.0	0.0	0.02529113621206527	0.005757552224680508	0.010548193511969221	0.0014759254881891992	0.0	0.0	0.0	0.0	0.0	0.01639640007521661	0.0	0.006506426390193636	0.009509498967403211	0.0	0.017823612682660667
USP48	0.0	0.004829716194647851	0.0002885559217526242	0.008523685217469306	0.001970743597556379	0.012810534414690397	0.0	0.013150442476472712	0.0	0.0	0.0	0.0	0.0059027079866024795	0.0	0.0	0.0024891445797000007	0.007713650042405063	0.0	0.0	0.0	0.0	0.0	0.004995642769515556	0.005338551464238641	0.0	0.0	0.011271547333683235	0.013170238565020413	0.0009132328700954731	0.005670946160172366	0.017251063101042182	0.0	0.0034072350126697817	0.0	0.012335655801975891	0.0	0.0	0.0038630462783548957	0.0	0.004665260435195915	0.0	0.0050305775254545024
LDLRAD2	0.018655309123490137	0.0	0.0	0.0	0.0	0.0	0.014433274440661408	0.0	0.010418236093766808	0.0	0.008125905227535783	0.0	0.0	0.0064003855055108205	0.0006570970917558616	0.007663356669558957	0.004162391179794824	0.0	0.005600447059568582	0.0	0.006732851262948887	0.0053619618875222165	0.010214738275550797	0.0	0.00220719144638696	0.001288218367257336	0.0	0.0	0.006485489338151244	0.0	0.0	0.012854568457818917	0.0	0.0	0.0	0.0	0.01440594122635076	0.0	0.0	0.0	0.007800849398462787	0.0
TEX46	0.0	0.0	0.0	0.0032778656758488014	0.0	0.0024385030588309617	0.004967225108779804	0.0	0.009274783646697031	0.0	0.0	0.0	0.0	0.003554982978276186	0.0	0.007062367148866103	0.004772714338329921	0.0003005061464487674	0.0	0.00513632448696601	0.022574575044916514	0.004471150039102656	0.0	0.0028323177399473447	0.0008113226101881221	0.0	0.0	0.008566913582307335	0.0	0.0	0.0	0.0	0.004810725110245643	0.005127081228953394	0.002797621078927759	0.004299147270002061	0.01670346202991703	0.002166751029221729	0.030154328071697333	0.0	0.0004986388851888676	0.0
FABP3	0.0	0.007023608417267617	0.01434436735253697	0.0057240393580339135	0.0	0.001704751448057239	0.0	0.010564596162863357	0.0	0.004166797247362133	0.0	0.0	0.009553306454781162	0.0	0.004809922183478578	0.0	0.01061997860357291	0.0016958685817354904	0.009298051739366552	0.0	0.0	0.0019462205524653046	0.0	0.0	0.0	0.0	0.016260816488978577	0.0	0.002786019605664993	0.0	0.006778350980373103	0.007254001858008423	0.009387757381296796	0.009082451361950877	0.005302524198316295	0.0008728868866113799	0.0	0.003922057677475018	0.001886617339545372	0.0	0.0	0.0
SF3A3	0.0	0.00043770075498989933	0.0	0.0	0.0	0.005831826458683934	0.0073761962110451195	0.0	0.0	0.004402196422013922	0.0	0.0	0.0	0.006854524312965559	0.014009206914171448	0.0	0.0	0.0	0.0	0.0	0.0	0.0013679676567906667	0.0	0.01308006921145918	0.015331152205925836	0.01499256422877781	0.0	0.0	0.0031970079334769225	0.004550943175403825	0.0012814240869303572	0.0	0.027205605192271665	0.0	0.0	0.0018629775069397322	0.0018736993077253464	0.010168554200656767	0.0	0.009779683354987257	0.002194396345930641	0.0013316581793701163
NFIA	0.0012559439418249527	0.0	0.0	0.006537148869386104	0.016406951898074014	0.0	0.0	0.0	0.0	0.0	0.011610683223246314	0.012176788693819182	0.0	0.0	0.005687638596910942	0.0	0.0	0.012019777939967353	0.008203925668214193	0.003939152279824786	0.012769944425284856	0.0021611384678090805	0.013738107393466948	0.007812865258813357	0.0018661924306263397	0.0018102151030050268	0.007374174836075074	0.0	0.002909859556862517	0.00014242551200776518	0.00047445999801831246	0.0	0.0	0.0073257852059174415	0.0022999554523548253	0.0	0.005207966491736781	0.0	0.0	0.0	0.0	0.0
ROR1	0.009612539646317657	0.0	0.0	0.003158755083047152	0.003120279206284788	0.0	0.0010569806732211734	0.0	0.012820361550893892	0.0	0.0004051074231315629	0.009651371024188069	0.0	0.017749806416542297	0.005764975094581099	0.009549033818212947	0.002307870812089582	0.0	0.010911328946201797	0.0	0.002617205201210098	0.0072073891001656135	0.003528894699381254	0.007560578195606691	0.006112181406972906	0.01238320235404758	0.0007260524796999996	0.0	0.0	0.0	0.0	0.0	0.0029730878940706492	0.0	0.0004980975118559734	0.0	0.0	0.01392333722870918	0.0	0.0	0.0007151321476088869	0.0
SERBP1	0.0	0.00554855756087556	0.0006461124960102489	0.011143331644702825	0.008323691386524328	0.002416160609985011	0.0	0.004999861550008202	0.0	0.008892867072345408	0.0	0.0	0.012617984024123705	0.008360733181724048	0.0	0.0	0.020897298564504528	6.127176586148494e-05	0.0018410142365651808	0.0	0.0	0.0037108835819503337	0.0	0.0	0.0029397239563142656	0.004968927992595275	0.0	0.003115260780927891	0.007419874769452229	0.0	0.009937440105987209	0.0	0.01768058478806648	0.0	0.00778840670368851	0.001656987968306119	0.0	0.0	0.0	0.0	0.0	0.0
LRRC8D	0.004705044696353755	0.0	0.0	0.0	0.010780787890896785	0.0	0.0	0.0	0.0	0.0	0.017141602835362403	0.0066364040867635055	0.0	0.0017278432282485678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027398911272754475	0.014174135864804187	0.014481298945750334	0.0	0.020511090457794725	0.011340647834958792	0.015188680345952095	0.010630984438040702	0.012542256220655716	0.0	0.0	0.00226361465309156	0.0	0.0	0.0	0.0014796422779525824	0.0	0.0	0.0	0.00037252337891807447
FRRS1	0.02565223042342262	0.0	0.0	0.0	0.0	0.0	0.007380075979878489	0.0	0.002526719380227244	0.0	0.0	0.0	0.0	0.0027051738231693777	0.016427724743746677	0.005056102219201852	0.0	0.0	0.0	0.0006350951936793268	0.0	0.0	0.005530981721826958	0.010961896436553575	0.006905637547294095	0.0	0.0	0.0	0.0	0.0016993874296707594	0.00030564869243600756	0.0	0.0	0.0	0.0	0.0	0.025961138256190838	0.006129254540920279	0.017239098254431644	0.010411214645840843	4.113760329980401e-05	0.0
AMPD2	0.0	0.0	0.0	0.026142821655190333	0.0	0.0	0.0	0.0	0.0	0.003423286201897436	0.0	0.0070662596846843865	0.010367635762116826	0.002608627755017373	0.005406839330760756	0.007674993715220914	0.005517330756780827	0.0	0.0037090422678238023	0.00886121877518395	0.0	0.0042952958562432085	0.0	0.007617819404034119	0.0	0.00900396667147153	0.0	0.0	0.0	0.0	0.004950034307957669	0.001873972070733553	0.006125351619526635	0.0005485778826449056	0.004593144522823028	0.00048390999174689644	0.0	0.00558243971919438	0.006300503385142467	0.0	0.003038446424164417	0.01110927311631998
SLC16A1	0.0	0.020605989918302255	0.00527106352957064	0.002091134510746862	0.0	0.0036970925125942612	0.0013840007360769889	0.0	0.0	0.006867568380934613	0.003790749781435299	0.0	0.01255572067396922	0.002350354654597205	0.0	0.0	0.003564504096935771	0.0023428583483314823	0.0	0.0	0.0046332152240313755	0.0013874127270305078	0.0	0.0	0.0049904423180932396	0.0	0.002700146301605065	0.0	0.0034597041735801135	0.0	0.0	0.008097305068828912	0.009355684337756845	0.020718033716861987	0.0	0.0031844939664911194	0.0025320721108931022	0.0	0.019330321128303272	0.0	0.0	0.0
